TEAM,Milwaukee Bucks,Miami Heat,Oklahoma City Thunder,Boston Celtics,Denver Nuggets,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Dallas Mavericks,Los Angeles Lakers,Philadelphia 76ers,Toronto Raptors,Utah Jazz,Memphis Grizzlies,Chicago Bulls,Orlando Magic,San Antonio Spurs,Brooklyn Nets,Detroit Pistons,Portland Trail Blazers,Charlotte Hornets,Cleveland Cavaliers,Golden State Warriors,New Orleans Pelicans,New York Knicks,Phoenix Suns,Sacramento Kings,Washington Wizards,Atlanta Hawks,Minnesota Timberwolves
%FGA 2PT,59.3,61.4,66.3,60.2,65.3,53.2,66,63.6,51.9,63.8,65.4,60.1,61.4,62,59.3,66,68.8,59.8,61.2,63,60.2,63.8,67.8,58.4,64.9,63.2,61.7,63.2,58.6,58.2
%FGA 3PT,40.7,38.6,33.7,39.8,34.7,46.8,34,36.4,48.1,36.2,34.6,39.9,38.6,38,40.7,34,31.2,40.2,38.8,37,39.8,36.2,32.2,41.6,35.1,36.8,38.3,36.8,41.4,41.8
%PTS 2PT,50.5,47.6,56.9,51.6,56.1,45.3,54.8,50.1,43,55.6,54.8,48.5,49.6,53.6,47.7,53.6,57.4,51.7,51.8,51.8,48.5,57.2,54.8,49,55.5,54.7,54.4,49.4,52.1,48.1
%PTS 2PT- MR,8.9,7.9,12.8,8.7,10.8,4.8,13.5,9.3,7.1,8.3,11.7,6.8,4.8,5.5,4.7,11.2,17.3,3.1,5.8,12.3,2.6,9.2,11.9,9.4,10.1,11.4,10.2,10.7,6.7,3.8
%PTS 3PT,35.6,33.1,24.9,34.4,30.1,39.9,31,31.4,41.6,28.7,31.2,33.6,35.5,32.2,37.7,31,28.8,31.9,33.5,32.6,34.3,30.3,28.6,37.3,28.4,29.4,32.4,31.8,33.9,32.7
%PTS FBPS,15.2,9.8,6.8,12.8,10,11.7,11.8,11.5,10.1,16.9,13.4,15.1,9.6,13.1,13.1,11.8,14.1,11.4,11.8,11.6,10.3,10.2,12.3,16.4,8.9,12.2,10,11.2,11.4,9.9
%PTS FT,13.9,19.3,18.1,13.9,13.8,14.8,14.2,18.5,15.3,15.7,14,17.9,14.9,14.2,14.6,15.4,13.9,16.4,14.8,15.6,17.2,12.4,16.5,13.6,16.1,15.9,13.2,18.9,14.1,19.2
%PTS OFFTO,13.6,12.6,16.7,16.3,17.4,15.5,14.5,17.2,14.6,15.2,12.8,17,13.4,16.3,19.5,17.4,15.1,14.8,14.5,12.9,15.5,13.1,16,14.4,13.6,15.6,16.7,17.4,17.1,13.5
%PTS PITP,41.6,39.7,44.1,42.9,45.2,40.5,41.2,40.9,35.9,47.3,43.1,41.7,44.8,48,43,42.4,40.1,48.5,45.9,39.5,45.9,48,42.9,39.6,45.4,43.4,44.2,38.6,45.3,44.3
2FGM %AST,53.5,53.3,44.4,48.1,57.5,44.5,56.4,44.9,47.7,52,51.9,54.3,45.5,55.1,50.7,51.2,46.9,50.8,49.6,41.7,60.7,43.8,55.1,47.3,43.3,60.6,45.9,52.6,48.6,40.8
2FGM %UAST,46.5,46.7,55.6,51.9,42.5,55.5,43.6,55.1,52.3,48,48.1,45.7,54.5,44.9,49.3,48.8,53.1,49.2,50.4,58.3,39.3,56.3,44.9,52.8,56.7,39.4,54.1,47.4,51.4,59.2
3FGM %AST,78.3,81.9,75.7,68.5,86.4,60.6,86.9,79.8,80.3,86,95.7,83.8,78,89.2,79.6,83.4,90.3,79.9,85.3,62.7,74.7,87.1,81.2,87.2,91.4,92.2,78.1,78.6,78.6,75.6
3FGM %UAST,21.7,18.1,24.3,31.5,13.6,39.4,13.1,20.2,19.7,14,4.3,16.2,22,10.8,20.4,16.6,9.7,20.1,14.7,37.3,25.3,12.9,18.8,12.8,8.6,7.8,21.9,21.4,21.4,24.4
FGM %AST,61.4,62.4,51.5,54.4,65.1,50.5,64.8,55.1,60.5,60.7,63.9,63.6,56,64.9,60.7,60.2,57.8,59.3,60.4,47.9,65.2,55.1,61.9,60.7,55.5,68.9,55.1,60.4,57.7,51.7
%UAST,38.6,37.6,48.5,45.6,34.9,49.5,35.2,44.9,39.5,39.3,36.1,36.4,44,35.1,39.3,39.8,42.2,40.7,39.6,52.1,34.8,44.9,38.1,39.3,44.5,31.1,44.9,39.6,42.3,48.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
