date,time,away,score_away,home,score_home,audience
"Sun, Dec 1, 2019",3:00p,Miami Heat,109,Brooklyn Nets,106,"17,026"
"Sun, Dec 1, 2019",3:30p,Memphis Grizzlies,115,Minnesota Timberwolves,107,"12,276"
"Sun, Dec 1, 2019",3:30p,Boston Celtics,113,New York Knicks,104,"18,005"
"Sun, Dec 1, 2019",4:00p,Dallas Mavericks,114,Los Angeles Lakers,100,"18,997"
"Sun, Dec 1, 2019",5:00p,San Antonio Spurs,98,Detroit Pistons,132,"14,270"
"Sun, Dec 1, 2019",5:00p,Oklahoma City Thunder,107,New Orleans Pelicans,104,"15,427"
"Sun, Dec 1, 2019",6:00p,Golden State Warriors,96,Orlando Magic,100,"15,052"
"Sun, Dec 1, 2019",6:00p,Utah Jazz,110,Toronto Raptors,130,"18,132"
"Sun, Dec 1, 2019",10:30p,Washington Wizards,125,Los Angeles Clippers,150,"19,068"
"Mon, Dec 2, 2019",7:00p,Phoenix Suns,109,Charlotte Hornets,104,"11,221"
"Mon, Dec 2, 2019",7:00p,Utah Jazz,94,Philadelphia 76ers,103,"20,208"
"Mon, Dec 2, 2019",7:30p,Golden State Warriors,79,Atlanta Hawks,104,"14,278"
"Mon, Dec 2, 2019",8:00p,Indiana Pacers,117,Memphis Grizzlies,104,"11,919"
"Mon, Dec 2, 2019",8:00p,New York Knicks,88,Milwaukee Bucks,132,"17,385"
"Mon, Dec 2, 2019",10:00p,Chicago Bulls,113,Sacramento Kings,106,"17,257"
"Tue, Dec 3, 2019",7:00p,Detroit Pistons,127,Cleveland Cavaliers,94,"17,504"
"Tue, Dec 3, 2019",7:00p,Orlando Magic,127,Washington Wizards,120,"13,159"
"Tue, Dec 3, 2019",7:30p,Dallas Mavericks,118,New Orleans Pelicans,97,"14,664"
"Tue, Dec 3, 2019",7:30p,Miami Heat,121,Toronto Raptors,110,"19,800"
"Tue, Dec 3, 2019",8:30p,Houston Rockets,133,San Antonio Spurs,135,"18,354"
"Tue, Dec 3, 2019",9:00p,Los Angeles Lakers,105,Denver Nuggets,96,"19,658"
"Tue, Dec 3, 2019",10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117,"19,068"
"Wed, Dec 4, 2019",7:00p,Golden State Warriors,91,Charlotte Hornets,106,"14,355"
"Wed, Dec 4, 2019",7:00p,Milwaukee Bucks,127,Detroit Pistons,103,"15,742"
"Wed, Dec 4, 2019",7:00p,Phoenix Suns,114,Orlando Magic,128,"15,176"
"Wed, Dec 4, 2019",7:30p,Brooklyn Nets,130,Atlanta Hawks,118,"15,694"
"Wed, Dec 4, 2019",7:30p,Miami Heat,93,Boston Celtics,112,"19,156"
"Wed, Dec 4, 2019",8:00p,Memphis Grizzlies,99,Chicago Bulls,106,"15,017"
"Wed, Dec 4, 2019",8:00p,Indiana Pacers,107,Oklahoma City Thunder,100,"18,203"
"Wed, Dec 4, 2019",8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121,"19,671"
"Wed, Dec 4, 2019",9:00p,Los Angeles Lakers,121,Utah Jazz,96,"18,306"
"Wed, Dec 4, 2019",10:00p,Sacramento Kings,116,Portland Trail Blazers,127,"19,393"
"Thu, Dec 5, 2019",7:00p,Philadelphia 76ers,113,Washington Wizards,119,"16,554"
"Thu, Dec 5, 2019",7:30p,Denver Nuggets,129,New York Knicks,92,"18,171"
"Thu, Dec 5, 2019",7:30p,Houston Rockets,119,Toronto Raptors,109,"19,800"
"Thu, Dec 5, 2019",8:00p,Phoenix Suns,139,New Orleans Pelicans,132,"15,607"
"Fri, Dec 6, 2019",7:00p,Brooklyn Nets,111,Charlotte Hornets,104,"15,075"
"Fri, Dec 6, 2019",7:00p,Orlando Magic,93,Cleveland Cavaliers,87,"18,446"
"Fri, Dec 6, 2019",7:00p,Indiana Pacers,101,Detroit Pistons,108,"14,894"
"Fri, Dec 6, 2019",8:00p,Denver Nuggets,95,Boston Celtics,108,"19,156"
"Fri, Dec 6, 2019",8:00p,Golden State Warriors,100,Chicago Bulls,98,"18,841"
"Fri, Dec 6, 2019",8:00p,Washington Wizards,103,Miami Heat,112,"19,600"
