TEAM,Milwaukee Bucks,Houston Rockets,Los Angeles Lakers,Boston Celtics,Oklahoma City Thunder,Toronto Raptors,Los Angeles Clippers,Sacramento Kings,Denver Nuggets,New Orleans Pelicans,Dallas Mavericks,Philadelphia 76ers,Orlando Magic,Atlanta Hawks,Miami Heat,Charlotte Hornets,Memphis Grizzlies,New York Knicks,Utah Jazz,Washington Wizards,Brooklyn Nets,Indiana Pacers,Cleveland Cavaliers,San Antonio Spurs,Portland Trail Blazers,Phoenix Suns,Detroit Pistons,Golden State Warriors,Minnesota Timberwolves,Chicago Bulls
FTA RATE,0.237,0.245,0.298,0.295,0.316,0.237,0.24,0.27,0.243,0.262,0.253,0.251,0.236,0.285,0.297,0.238,0.24,0.267,0.263,0.278,0.247,0.222,0.224,0.234,0.221,0.259,0.193,0.251,0.312,0.225
OPP EFG%,47.2,52.1,52.6,50,53.4,49.5,50,53.8,53.5,52.3,52.6,52.7,55.7,55.2,55.8,52.7,50.9,54.6,55.1,54.9,49.8,51.1,56.4,57.9,55.3,55.1,54.8,56.7,58.2,59.3
OPP FTA RATE,0.214,0.243,0.258,0.328,0.211,0.285,0.253,0.295,0.263,0.223,0.237,0.264,0.207,0.257,0.28,0.207,0.239,0.291,0.213,0.292,0.225,0.25,0.222,0.257,0.245,0.274,0.228,0.255,0.306,0.355
OPP TOV%,13.4,17.3,15.3,13.7,14.1,17,12.5,15.5,12.7,13.1,11.1,12.9,14.1,13.4,14.4,12.4,12.8,13,10.1,17.9,10.4,14,13,14.2,13.2,16.7,13.6,15,15,17.8
OPP OREB%,21.5,31.3,22,25.2,29.2,29.2,25,27.1,28.6,25.4,26.1,28,24.7,29.9,24,28,25.6,23.3,24.3,30.3,24.7,28.1,25.9,22.5,27.7,30.5,28.2,28,27.6,32.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
