TEAM,Milwaukee Bucks,Boston Celtics,Houston Rockets,Los Angeles Lakers,Dallas Mavericks,Los Angeles Clippers,Oklahoma City Thunder,Sacramento Kings,Toronto Raptors,Atlanta Hawks,Denver Nuggets,Miami Heat,New Orleans Pelicans,Orlando Magic,Philadelphia 76ers,Brooklyn Nets,Charlotte Hornets,Indiana Pacers,Memphis Grizzlies,New York Knicks,Utah Jazz,Washington Wizards,Cleveland Cavaliers,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Detroit Pistons,Golden State Warriors,Minnesota Timberwolves,Chicago Bulls
OFFRTG,112.5,114.5,115.8,113.9,118.1,113.4,113.5,112.3,113.6,115,117.3,115.9,112.7,111.8,109,112.6,102.5,107.3,105.1,109,113.3,109.6,109.4,108.8,111,109.9,107.1,105.2,113,110.7
DEFRTG,98.3,108.2,108.1,105.6,112.4,106.1,112.5,110.7,105.2,117.4,114.2,113.7,109.1,113.3,112.5,108.2,111.8,108.1,107.4,111.7,116.7,109.6,115.3,112.6,117,115.1,113.3,114.8,117.8,119.4
NETRTG,14.2,6.3,7.7,8.3,5.8,7.2,1,1.7,8.4,-2.4,3.1,2.2,3.6,-1.5,-3.5,4.4,-9.3,-0.7,-2.3,-2.7,-3.4,0,-5.9,-3.8,-6,-5.2,-6.2,-9.6,-4.8,-8.7
AST%,60.5,50.2,50.1,62.7,61.6,60.8,51.4,61.9,60.3,60.8,61.5,70,72.4,66.9,61.3,63.2,61.4,63.4,59.1,58.2,52.6,59.1,62.7,67.8,45.8,59.8,63.4,69.7,60.2,56.7
AST/TO,1.72,1.57,1.63,1.74,2.08,1.93,1.76,2.08,1.73,1.82,1.97,2.21,1.82,2.19,1.96,1.89,1.56,1.95,1.78,1.64,1.4,1.87,1.52,1.64,1.51,2.32,1.62,1.68,1.67,1.34
AST RATIO,18.3,15.2,15.5,18.8,18.5,18.4,16.1,18.4,18,18,19.8,20.3,21.1,19.8,17.6,18.1,16.8,19.2,17.3,17.4,16,17.4,18.6,19.3,14.5,18.2,18,19.7,17.3,17
OREB%,25.3,27.2,21.9,30.9,24.7,24.9,22.7,22.3,27.5,25.4,27.4,24.5,29.1,26.2,27.5,31.5,28.6,23.6,30.7,33.6,27.2,24.1,30.3,27.7,26.4,21.8,30.2,22.2,25,32.4
DREB%,78.5,74.8,68.7,78,73.9,75,70.8,72.9,70.8,70.1,71.4,76,74.6,75.3,72,75.3,72,71.9,74.4,76.7,75.7,69.7,74.1,69.5,72.3,77.5,71.8,72,72.4,67.4
REB%,53.7,51.5,45.3,54.4,50.1,51.2,47.4,47,50,48,50.9,50.2,52.7,50.1,49.3,53.5,49.9,48.4,52.7,54.6,52.1,46.3,51.8,48.6,49.1,48.3,49.7,46.7,47.2,48.4
TOV%,14.6,12.9,12.4,15.3,12.2,13.1,12,12,14.3,13.5,14,12.9,16.7,12.7,12.5,13.6,14.9,13.5,13.6,15,15.3,12.6,17.1,16.5,12.7,10.6,15.7,16.2,14.1,17.6
