TEAM,Milwaukee Bucks,Boston Celtics,Houston Rockets,Los Angeles Lakers,Dallas Mavericks,Los Angeles Clippers,Oklahoma City Thunder,Sacramento Kings,Toronto Raptors,Atlanta Hawks,Denver Nuggets,Miami Heat,New Orleans Pelicans,Orlando Magic,Philadelphia 76ers,Brooklyn Nets,Charlotte Hornets,Indiana Pacers,Memphis Grizzlies,New York Knicks,Utah Jazz,Washington Wizards,Cleveland Cavaliers,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Detroit Pistons,Golden State Warriors,Minnesota Timberwolves,Chicago Bulls
%FGA 2PT,58.4,62.5,46.1,62.4,52.4,61.5,67.7,58,56.1,59.9,66.9,56.8,61.2,60.2,64.2,56.8,61.4,67,71.8,73.3,58.8,64.3,63.8,67,64.2,67.2,60.7,61.9,54.2,60
%FGA 3PT,41.6,37.5,53.9,37.6,47.6,38.5,32.3,42,43.9,40.1,33.1,43.2,38.8,39.8,35.8,43.2,38.6,33,28.2,26.7,41.2,35.7,36.2,33,35.8,32.8,39.3,38.1,45.8,40
%PTS 2PT,49.4,48.1,40.5,54.5,41.4,49.9,55.2,46.3,46.7,48.4,57.7,44.5,51.6,52,51.5,47.1,52,60.1,63.6,62.8,48.3,52.5,54.6,54.6,52.9,54.5,51.1,54.9,44.2,50.7
%PTS 2PT- MR,11.3,7.8,4,8.4,6.8,9.1,11.9,4.8,5.9,5.6,11.8,7.3,6.2,8.7,10,4.6,4.6,13.5,8.3,11.5,4.6,11.9,7.7,10,13.3,15.9,6,9.4,3.9,6.6
%PTS 3PT,36.1,34.1,44.1,30.2,42.9,34.9,25.9,38.5,38.7,33.2,28.3,38.3,34,33.3,32.3,37.6,33.1,26.1,21.5,22.2,35.6,30.6,32,28,33.7,30.1,35.9,28.9,37.5,37
%PTS FBPS,15.1,14.3,14.1,17.9,9.9,13.1,7.5,11.1,23.3,13.1,9.8,10.2,17.6,10.2,12.4,9.7,12.1,12.5,18,7,10.5,14,9.6,13.2,13.3,9.8,7.7,14.6,12.1,13.7
%PTS FT,14.5,17.8,15.3,15.3,15.7,15.2,18.9,15.2,14.6,18.4,14,17.2,14.4,14.7,16.2,15.3,14.9,13.8,14.9,15,16,16.9,13.4,17.4,13.4,15.4,13,16.1,18.3,12.3
%PTS OFFTO,14.2,14.7,17.2,16,10.6,13.2,16.8,17,15.9,15.5,13.3,14.5,13.2,15,12.9,9.9,12.5,15.3,15.3,11.3,11.4,18.4,13.5,17.7,14.2,13.2,13.1,14.4,15.8,19.6
%PTS PITP,38.1,40.3,36.6,46.1,34.6,40.8,43.3,41.5,40.8,42.8,45.9,37.2,45.4,43.3,41.4,42.6,47.4,46.7,55.3,51.3,43.8,40.6,46.9,44.7,39.6,38.6,45,45.6,40.3,44.1
2FGM %AST,50.9,42,35,55.4,48,49.1,44.2,50.9,51.5,53.2,54.4,60,63.8,56.4,49,56.3,54.3,57.6,52.5,51.1,41.1,49.3,53.7,60.4,36.9,47.1,51.7,62.1,50.7,46.7
