TEAM,Milwaukee Bucks,Los Angeles Lakers,Indiana Pacers,Boston Celtics,Denver Nuggets,Houston Rockets,Los Angeles Clippers,Philadelphia 76ers,Toronto Raptors,Brooklyn Nets,Dallas Mavericks,Miami Heat,Sacramento Kings,Utah Jazz,Minnesota Timberwolves,Charlotte Hornets,Oklahoma City Thunder,Chicago Bulls,New Orleans Pelicans,Orlando Magic,Phoenix Suns,Portland Trail Blazers,Washington Wizards,Detroit Pistons,Memphis Grizzlies,San Antonio Spurs,Cleveland Cavaliers,Golden State Warriors,New York Knicks,Atlanta Hawks
%FGA 2PT,57.2,65.7,70.7,62.2,68,49.2,63.2,66.1,59.2,57.5,56.2,60.7,59.5,61.9,57.6,59.5,63.6,61,58.7,65.1,59.7,62.3,63.9,60.8,66.7,70.8,63.4,67.9,65.6,63.4
%FGA 3PT,42.8,34.3,29.3,37.8,32,50.8,36.8,33.9,40.8,42.5,43.8,39.3,40.5,38.1,42.4,40.5,36.4,39,41.3,34.9,40.3,37.7,36.1,39.2,33.3,29.2,36.6,32.1,34.4,36.6
%PTS 2PT,50.7,56.8,60.8,51.8,58.1,41.4,51.2,55.8,46.5,49.1,45.8,48.8,50,47.1,49.2,50,51.8,48.6,47.5,54.5,48.5,51,54.8,49.2,56.8,59.1,50.7,54.9,50.8,54.2
%PTS 2PT- MR,4.8,9.4,16,8,11.1,3.7,7.8,13.3,4.3,4.2,6,6.9,11.3,7.1,5.8,3.8,11.7,5,6.7,11.6,8.3,13.9,13,5.2,6.7,21.3,7.7,14.9,12.2,5.6
%PTS 3PT,33.6,29.7,26,31.1,29,39.9,30.8,29.3,38.7,35.1,37.7,34,35.8,34.1,34.4,34.9,30.8,35.4,38.2,28.2,34.5,33.9,32,35.2,30.9,25.3,32,27,33.5,28.8
%PTS FBPS,16,14.5,12.5,14,12.3,12.1,13.9,12.5,17.3,10.8,9.5,10.6,11.1,8.6,8.2,11.4,8.5,13.8,11.7,12.6,12,10.7,10.6,11.9,15.3,11.4,11.4,12.5,10.2,11.4
%PTS FT,15.7,13.5,13.2,17.1,12.9,18.7,18,14.9,14.8,15.8,16.6,17.1,14.2,18.8,16.4,15,17.4,16,14.4,17.3,17,15.1,13.2,15.6,12.3,15.5,17.3,18.1,15.7,17
%PTS OFFTO,16.1,16.5,15.4,14.5,16,16,15,15.1,18.6,14.8,11.7,17.4,15.9,13.1,13.5,18.1,14.4,21,15,17.3,16.2,11.2,15.7,14.5,12.7,13.5,14.1,16.8,18,14.8
%PTS PITP,46,47.5,44.8,43.8,47,37.7,43.4,42.5,42.2,44.9,39.8,42,38.8,40,43.4,46.2,40.2,43.6,40.8,42.9,40.2,37.2,41.8,44,50.1,37.8,43.1,39.9,38.6,48.6
2FGM %AST,46.8,56.3,47.9,53,59.5,42.2,46.9,55.9,52.8,52.8,49.3,57.3,49.1,44.4,49,53,51.2,50.9,43.2,51.4,56,40.9,56.1,54,55.9,50.3,42.3,57,42.3,53.8
