TEAM,Los Angeles Clippers,Miami Heat,Philadelphia 76ers,Toronto Raptors,Utah Jazz,Boston Celtics,Dallas Mavericks,Denver Nuggets,Houston Rockets,Los Angeles Lakers,Minnesota Timberwolves,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Atlanta Hawks,Charlotte Hornets,Cleveland Cavaliers,Detroit Pistons,Milwaukee Bucks,Orlando Magic,Brooklyn Nets,Chicago Bulls,Golden State Warriors,Indiana Pacers,Memphis Grizzlies,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Washington Wizards,Sacramento Kings
OFFRTG,112.9,106.6,104,107.5,101.8,106.8,112.2,106,117.7,107.9,104.8,108.7,104.7,108.6,102,104.9,105.5,106.3,108.7,97.2,108.1,103.7,107,105.3,95.7,112.2,99.8,99,113.6,97.4
DEFRTG,107.5,99.3,94.1,99.1,93.1,100.7,108.6,107.3,117.2,96.8,103.2,100.2,103.8,106.2,103.4,114.2,107.7,110.4,107.3,94.7,109.2,109.6,118.5,108.5,108.1,114.2,107.9,97.7,113.6,114
NETRTG,5.3,7.4,9.8,8.4,8.7,6.1,3.6,-1.3,0.5,11.1,1.6,8.5,1,2.4,-1.4,-9.3,-2.2,-4.1,1.4,2.5,-1.1,-5.9,-11.5,-3.3,-12.3,-2,-8.1,1.3,0,-16.6
AST%,54,61.7,62.9,60.2,56.5,55.7,60.8,58.3,62.9,58.8,55.6,70.9,43.5,53.8,61.9,63.8,54.7,60,59.5,59.4,52.4,54.4,67.3,59.8,62.7,68.6,51.6,49.2,60,55.8
AST/TO,1.35,1.19,1.2,1.26,1.12,2,1.85,1.56,1.78,1.54,1.31,1.78,1.07,1.36,1.36,1.3,1.32,1.23,1.84,1.77,1.13,1.81,1.64,2,1.32,1.89,1.02,0.97,1.69,1.12
AST RATIO,16.7,16.9,16.8,17.1,16.2,15.5,17.3,16.2,17.7,16.9,15.2,19.5,12.9,16.1,17.3,18,16.1,17.2,18,15.9,14.8,15.2,17.2,17.9,16.3,20.1,13.8,13.5,18.5,14.8
OREB%,24.8,28.5,33,23.3,20.5,27.2,24.6,30.6,27.8,28.4,27.3,24.1,24.2,27.9,28.6,26,27.4,25.8,15.1,24.1,30.5,27.2,32.9,26,26.5,26.1,30.7,25.8,27.8,27.3
DREB%,72.8,73.9,78.4,73,79.2,73.5,72.2,73.6,73.9,73.8,72.9,75.1,74.1,75.6,69.5,68,78.2,75.3,78,77.1,75,66.1,73.8,67.7,72.4,67.5,73.7,75.2,70.5,70.5
REB%,49.6,52.5,56.1,51.1,52.2,48,48.3,51.4,50,51.4,49.5,50.2,49.8,52.8,49.6,47.3,53.1,50.9,48.2,49.2,52.5,45.2,51.2,45.8,48.4,46.9,51.6,51.8,49.3,47.2
TOV%,16.5,19.2,19.3,18,18.8,10.7,12.7,14.4,13.8,15.1,15.5,15.3,15.3,16,17.4,19,16.4,18.7,12.8,12.2,17.8,11.4,15,12.3,16.8,15,18.3,18,15.2,17.8
EFG%,56.1,54.6,50.9,54.4,54.1,47.9,52.9,48.4,53.3,51.3,49.6,52.7,51,51.8,51.2,55,52,54.7,55.9,44.8,53.1,46.7,46.9,49.6,46.2,55,48.1,48.9,55.6,47.5
TS%,59.9,58.3,55.1,59.1,57.8,51.3,57.2,52.9,58.7,55.6,54.2,57.4,55.6,56,54.2,57.3,55.2,58.3,58,48.5,56.2,50.7,53.2,53,50.5,57.6,51.5,53,58.4,50.8
PACE,101.5,106.09,107,104.23,99.2,102.63,102.13,97.57,108.75,101,106.6,103.93,106.1,104.75,101.2,103,100.5,101.7,106.84,98.75,105.86,101.8,106.75,99.88,108.91,106.09,100.8,103.5,104.88,101.3
PIE,52.2,55.3,59.4,56.2,57.4,52.3,53.2,48.8,50,57.6,52.1,56.5,49,52.6,50.4,44.4,48.7,46.5,52.2,50.9,48.1,44.7,44.5,48.1,43.2,48.7,43.4,51.8,49.6,38.5
