TEAM,Los Angeles Clippers,Miami Heat,Philadelphia 76ers,Toronto Raptors,Utah Jazz,Boston Celtics,Dallas Mavericks,Denver Nuggets,Houston Rockets,Los Angeles Lakers,Minnesota Timberwolves,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Atlanta Hawks,Charlotte Hornets,Cleveland Cavaliers,Detroit Pistons,Milwaukee Bucks,Orlando Magic,Brooklyn Nets,Chicago Bulls,Golden State Warriors,Indiana Pacers,Memphis Grizzlies,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Washington Wizards,Sacramento Kings
%FGA 2PT,64.9,61.2,63.4,57.6,63.8,62,53,66.1,49.3,66.9,56.6,61,66.7,74.2,62.1,58.4,63,67.2,50.1,63.5,60.6,61.5,63.4,73.8,66.4,55,67,65.9,59.6,60.4
%FGA 3PT,35.1,38.8,36.6,42.4,36.2,38,47,33.9,50.7,33.1,43.4,39,33.3,25.8,37.9,41.6,37,32.8,49.9,36.5,39.4,38.5,36.6,26.2,33.6,45,33,34.1,40.4,39.6
%PTS 2PT,54,47.1,53.4,45.7,51.9,48.3,46.6,52.5,42.2,55.4,48.8,48.2,52.6,60.8,56.9,45.9,55.2,51.6,45.7,54.8,47.5,53,49.8,61.3,57,46.5,52.5,53.2,51.2,49.9
%PTS 2PT- MR,10.8,6.2,5.4,6.3,7.1,6.8,8.3,10.2,1.2,9.6,3.9,3.8,13,13.7,6.6,3,8,10,8,11,3.8,3.8,6.1,12.8,7.9,5.3,11.5,9.4,11.3,9.3
%PTS 3PT,28.5,33.7,26.9,36.6,31.5,35.5,33.3,30,36.3,26.8,31.4,33.3,29.2,20.5,27.3,41.7,29.7,31.2,40.3,29.8,35,30.1,27.5,24.9,25.2,40.6,29.8,27.6,36.5,35.3
%PTS FBPS,13.3,9,9.9,17.5,14.3,10.5,13.3,10.2,14.6,14,9.4,14.6,13.7,18.7,10.8,15.2,8.3,7.4,15.3,11.7,13.8,15,14.4,10,15.4,16,10.3,9.6,10.7,12.6
%PTS FT,17.5,19.2,19.7,17.6,16.6,16.2,20,17.5,21.5,17.8,19.8,18.5,18.2,18.7,15.9,12.4,15.1,17.3,14,15.4,17.5,16.9,22.7,13.8,17.8,12.9,17.7,19.2,12.4,14.8
%PTS OFFTO,18.7,15.9,21.3,15.7,17.6,22.8,14.4,16.2,14.5,18.3,15.9,19.2,15,11.9,18.8,14.6,10.4,13.2,14.9,15.9,16,19.5,17.7,22.6,14.7,16.5,19.3,14.9,13.2,16.8
%PTS PITP,43.2,40.8,48,39.4,44.8,41.5,38.3,42.3,41,45.8,44.9,44.4,39.6,47.1,50.3,43,47.2,41.6,37.7,43.9,43.8,49.2,43.7,48.5,49.1,41.3,41,43.8,39.8,40.6
2FGM %AST,41.6,53.7,50.4,49.6,46.6,50.9,49.5,48.2,56.5,48.8,49.1,60.4,34.9,45.7,55.1,51.6,47,46.8,40.4,46.7,43,44.3,62.3,55,54.9,55.3,39.4,42.6,51.6,45.5
2FGM %UAST,58.4,46.3,49.6,50.4,53.4,49.1,50.5,51.8,43.5,51.2,50.9,39.6,65.1,54.3,44.9,48.4,53,53.2,59.6,53.3,57,55.7,37.7,45,45.1,44.7,60.6,57.4,48.4,54.5
3FGM %AST,89.2,78.5,100,80,81.1,65.4,84.3,84.9,74.2,89.7,70.8,93.8,66.7,90.3,83,84,76.2,92.9,92.2,94.7,71.4,81.1,81,77.1,88.9,91.5,84,68.1,77.6,77.6
3FGM %UAST,10.8,21.5,0,20,18.9,34.6,15.7,15.1,25.8,10.3,29.2,6.3,33.3,9.7,17,16,23.8,7.1,7.8,5.3,28.6,18.9,19,22.9,11.1,8.5,16,31.9,22.4,22.4
FGM %AST,54,61.7,62.9,60.2,56.5,55.7,60.8,58.3,62.9,58.8,55.6,70.9,43.5,53.8,61.9,63.8,54.7,60,59.5,59.4,52.4,54.4,67.3,59.8,62.7,68.6,51.6,49.2,60,55.8
%UAST,46,38.3,37.1,39.8,43.5,44.3,39.2,41.7,37.1,41.3,44.4,29.1,56.5,46.2,38.1,36.2,45.3,40,40.5,40.6,47.6,45.6,32.7,40.2,37.3,31.4,48.4,50.8,40,44.2
