Away, Away_Score, Home, Home_Score
Miami Heat, 109, Brooklyn Nets, 106
Memphis Grizzlies, 115, Minnesota Timberwolves, 107
Boston Celtics, 113, New York Knicks, 104
Dallas Mavericks, 114, Los Angeles Lakers, 100
San Antonio Spurs, 98, Detroit Pistons, 132
Oklahoma City Thunder, 107, New Orleans Pelicans, 104
Golden State Warriors, 96, Orlando Magic, 100
Utah Jazz, 110, Toronto Raptors, 130
Washington Wizards, 125, Los Angeles Clippers, 150
Phoenix Suns, 109, Charlotte Hornets, 104
Utah Jazz, 94, Philadelphia 76ers, 103
Golden State Warriors, 79, Atlanta Hawks, 104
Indiana Pacers, 117, Memphis Grizzlies, 104
New York Knicks, 88, Milwaukee Bucks, 132
Chicago Bulls, 113, Sacramento Kings, 106
Detroit Pistons, 127, Cleveland Cavaliers, 94
Orlando Magic, 127, Washington Wizards, 120
Dallas Mavericks, 118, New Orleans Pelicans, 97
Miami Heat, 121, Toronto Raptors, 110
Houston Rockets, 133, San Antonio Spurs, 135
Los Angeles Lakers, 105, Denver Nuggets, 96
Portland Trail Blazers, 97, Los Angeles Clippers, 117
Golden State Warriors, 91, Charlotte Hornets, 106
Milwaukee Bucks, 127, Detroit Pistons, 103
Phoenix Suns, 114, Orlando Magic, 128
Brooklyn Nets, 130, Atlanta Hawks, 118
Miami Heat, 93, Boston Celtics, 112
Memphis Grizzlies, 99, Chicago Bulls, 106
Indiana Pacers, 107, Oklahoma City Thunder, 100
Minnesota Timberwolves, 114, Dallas Mavericks, 121
Los Angeles Lakers, 121, Utah Jazz, 96
Sacramento Kings, 116, Portland Trail Blazers, 127
Philadelphia 76ers, 113, Washington Wizards, 119
Denver Nuggets, 129, New York Knicks, 92
Houston Rockets, 119, Toronto Raptors, 109
Phoenix Suns, 139, New Orleans Pelicans, 132
Brooklyn Nets, 111, Charlotte Hornets, 104
Orlando Magic, 93, Cleveland Cavaliers, 87
Indiana Pacers, 101, Detroit Pistons, 108
Denver Nuggets, 95, Boston Celtics, 108
Golden State Warriors, 100, Chicago Bulls, 98
Washington Wizards, 103, Miami Heat, 112
Minnesota Timberwolves, 127, Oklahoma City Thunder, 139
Los Angeles Clippers, 91, Milwaukee Bucks, 119
Sacramento Kings, 104, San Antonio Spurs, 105
Los Angeles Lakers, 136, Portland Trail Blazers, 113
New Orleans Pelicans, 84, Dallas Mavericks, 130
Indiana Pacers, 104, New York Knicks, 103
Cleveland Cavaliers, 94, Philadelphia 76ers, 141
Phoenix Suns, 109, Houston Rockets, 115
Memphis Grizzlies, 112, Utah Jazz, 126
Denver Nuggets, 102, Brooklyn Nets, 105
Atlanta Hawks, 122, Charlotte Hornets, 107
Chicago Bulls, 105, Miami Heat, 110
Toronto Raptors, 104, Philadelphia 76ers, 110
Los Angeles Clippers, 135, Washington Wizards, 119
Sacramento Kings, 110, Dallas Mavericks, 106
Oklahoma City Thunder, 108, Portland Trail Blazers, 96
Minnesota Timberwolves, 125, Los Angeles Lakers, 142
Los Angeles Clippers, 110, Indiana Pacers, 99
Cleveland Cavaliers, 88, Boston Celtics, 110
Toronto Raptors, 93, Chicago Bulls, 92
Sacramento Kings, 119, Houston Rockets, 118
Orlando Magic, 101, Milwaukee Bucks, 110
Detroit Pistons, 105, New Orleans Pelicans, 103
Minnesota Timberwolves, 109, Phoenix Suns, 125
Oklahoma City Thunder, 104, Utah Jazz, 90
Memphis Grizzlies, 110, Golden State Warriors, 102
Washington Wizards, 107, Charlotte Hornets, 114
Atlanta Hawks, 121, Miami Heat, 135
Denver Nuggets, 92, Philadelphia 76ers, 97
New York Knicks, 87, Portland Trail Blazers, 115
Houston Rockets, 116, Cleveland Cavaliers, 110
Boston Celtics, 117, Indiana Pacers, 122
Los Angeles Lakers, 96, Orlando Magic, 87
Los Angeles Clippers, 112, Toronto Raptors, 92
Charlotte Hornets, 113, Brooklyn Nets, 108
Atlanta Hawks, 102, Chicago Bulls, 136
