Away, Away_Score, Home, Home_Score
Orlando Magic, 122, Washington Wizards, 101
Portland Trail Blazers, 93, New York Knicks, 117
Minnesota Timberwolves, 104, Milwaukee Bucks, 106
Phoenix Suns, 107, Los Angeles Lakers, 117
Charlotte Hornets, 109, Cleveland Cavaliers, 106
Denver Nuggets, 124, Indiana Pacers, 116
Toronto Raptors, 76, Miami Heat, 84
Utah Jazz, 102, Chicago Bulls, 98
Golden State Warriors, 84, Minnesota Timberwolves, 99
Brooklyn Nets, 111, Dallas Mavericks, 123
Oklahoma City Thunder, 109, San Antonio Spurs, 103
Memphis Grizzlies, 123, Sacramento Kings, 128
Detroit Pistons, 112, Los Angeles Clippers, 126
Atlanta Hawks, 106, Boston Celtics, 109
Miami Heat, 85, Orlando Magic, 105
Portland Trail Blazers, 122, Washington Wizards, 103
Philadelphia 76ers, 108, Houston Rockets, 118
New York Knicks, 112, Phoenix Suns, 120
New Orleans Pelicans, 113, Los Angeles Lakers, 123
Memphis Grizzlies, 140, Los Angeles Clippers, 114
Toronto Raptors, 121, Brooklyn Nets, 102
Utah Jazz, 109, Orlando Magic, 96
Indiana Pacers, 111, Atlanta Hawks, 116
Oklahoma City Thunder, 121, Cleveland Cavaliers, 106
Boston Celtics, 111, Chicago Bulls, 104
Denver Nuggets, 114, Washington Wizards, 128
Charlotte Hornets, 123, Dallas Mavericks, 120
Detroit Pistons, 111, Golden State Warriors, 104
San Antonio Spurs, 118, Milwaukee Bucks, 127
New Orleans Pelicans, 117, Sacramento Kings, 115
New York Knicks, 132, Los Angeles Clippers, 135
Portland Trail Blazers, 111, Miami Heat, 122
Minnesota Timberwolves, 118, Cleveland Cavaliers, 103
Memphis Grizzlies, 121, Phoenix Suns, 114
Detroit Pistons, 99, Los Angeles Lakers, 106
Indiana Pacers, 115, Charlotte Hornets, 104
Brooklyn Nets, 89, Orlando Magic, 101
Oklahoma City Thunder, 113, Philadelphia 76ers, 120
Boston Celtics, 94, Washington Wizards, 99
Denver Nuggets, 123, Atlanta Hawks, 115
Utah Jazz, 128, New Orleans Pelicans, 126
Chicago Bulls, 110, Dallas Mavericks, 118
Milwaukee Bucks, 104, San Antonio Spurs, 126
Golden State Warriors, 98, Sacramento Kings, 111
Detroit Pistons, 115, Cleveland Cavaliers, 113
Portland Trail Blazers, 101, Toronto Raptors, 99
Oklahoma City Thunder, 111, Brooklyn Nets, 103
Minnesota Timberwolves, 112, Memphis Grizzlies, 119
Sacramento Kings, 114, Phoenix Suns, 103
New York Knicks, 87, Los Angeles Lakers, 117
San Antonio Spurs, 129, Boston Celtics, 114
Toronto Raptors, 112, Charlotte Hornets, 110
Miami Heat, 122, Indiana Pacers, 108
Washington Wizards, 89, Orlando Magic, 123
Houston Rockets, 122, Atlanta Hawks, 115
Denver Nuggets, 107, Dallas Mavericks, 106
Chicago Bulls, 108, New Orleans Pelicans, 123
New York Knicks, 104, Utah Jazz, 128
Milwaukee Bucks, 107, Golden State Warriors, 98
Cleveland Cavaliers, 115, Detroit Pistons, 112
Boston Celtics, 98, Philadelphia 76ers, 109
Portland Trail Blazers, 102, Minnesota Timberwolves, 116
Houston Rockets, 92, Oklahoma City Thunder, 113
Atlanta Hawks, 101, Washington Wizards, 111
New Orleans Pelicans, 123, New York Knicks, 111
Miami Heat, 113, Brooklyn Nets, 117
Indiana Pacers, 116, Chicago Bulls, 105
San Antonio Spurs, 121, Memphis Grizzlies, 134
Orlando Magic, 94, Phoenix Suns, 98
Charlotte Hornets, 92, Utah Jazz, 109
Los Angeles Lakers, 129, Dallas Mavericks, 114
Milwaukee Bucks, 127, Sacramento Kings, 106
Golden State Warriors, 100, Los Angeles Clippers, 109
Minnesota Timberwolves, 109, Houston Rockets, 139
New Orleans Pelicans, 105, Boston Celtics, 140
Chicago Bulls, 108, Detroit Pistons, 99
Los Angeles Lakers, 125, Oklahoma City Thunder, 110
Philadelphia 76ers, 91, Dallas Mavericks, 109
Cleveland Cavaliers, 111, Denver Nuggets, 103
Milwaukee Bucks, 122, Portland Trail Blazers, 101
Miami Heat, 121, New York Knicks, 124
Utah Jazz, 127, Washington Wizards, 116
Atlanta Hawks, 86, Brooklyn Nets, 108
Golden State Warriors, 102, Memphis Grizzlies, 122
San Antonio Spurs, 105, Toronto Raptors, 104
Los Angeles Clippers, 104, Denver Nuggets, 114
Charlotte Hornets, 92, Phoenix Suns, 100
New Orleans Pelicans, 117, Detroit Pistons, 110
Philadelphia 76ers, 95, Indiana Pacers, 101
Chicago Bulls, 101, Boston Celtics, 113
Oklahoma City Thunder, 117, Minnesota Timberwolves, 104
Charlotte Hornets, 112, Portland Trail Blazers, 115
Orlando Magic, 114, Sacramento Kings, 112
Cleveland Cavaliers, 99, Los Angeles Lakers, 128
Phoenix Suns, 110, Atlanta Hawks, 123
Utah Jazz, 118, Brooklyn Nets, 107
Houston Rockets, 110, Memphis Grizzlies, 121
New York Knicks, 102, Milwaukee Bucks, 128
Dallas Mavericks, 124, Golden State Warriors, 97
Cleveland Cavaliers, 103, Los Angeles Clippers, 128
Detroit Pistons, 116, Boston Celtics, 103
Brooklyn Nets, 106, Philadelphia 76ers, 117
San Antonio Spurs, 100, Miami Heat, 106
Washington Wizards, 106, Chicago Bulls, 115
Indiana Pacers, 104, Minnesota Timberwolves, 99
Toronto Raptors, 130, Oklahoma City Thunder, 121
Charlotte Hornets, 86, Denver Nuggets, 100
Portland Trail Blazers, 117, Houston Rockets, 107
Dallas Mavericks, 127, Sacramento Kings, 123
Orlando Magic, 119, Los Angeles Lakers, 118
Phoenix Suns, 121, New York Knicks, 98
Boston Celtics, 123, Milwaukee Bucks, 128
Utah Jazz, 132, New Orleans Pelicans, 138
Denver Nuggets, 134, Golden State Warriors, 131
Orlando Magic, 95, Los Angeles Clippers, 122
Minnesota Timberwolves, 114, Indiana Pacers, 116
Chicago Bulls, 89, Philadelphia 76ers, 100
Washington Wizards, 111, Toronto Raptors, 140
Cleveland Cavaliers, 109, Memphis Grizzlies, 113
Miami Heat, 115, Oklahoma City Thunder, 108
Atlanta Hawks, 121, San Antonio Spurs, 120
Portland Trail Blazers, 112, Dallas Mavericks, 120
Los Angeles Clippers, 133, New Orleans Pelicans, 130
Milwaukee Bucks, 117, Brooklyn Nets, 97
Phoenix Suns, 123, Boston Celtics, 119
Detroit Pistons, 136, Atlanta Hawks, 103
Philadelphia 76ers, 90, New York Knicks, 87
Cleveland Cavaliers, 116, Chicago Bulls, 118
Toronto Raptors, 122, Minnesota Timberwolves, 112
Orlando Magic, 95, Golden State Warriors, 109
Los Angeles Lakers, 124, Houston Rockets, 115
Portland Trail Blazers, 106, Oklahoma City Thunder, 119
Sacramento Kings, 101, Utah Jazz, 123
Miami Heat, 102, San Antonio Spurs, 107
Indiana Pacers, 115, Denver Nuggets, 107
Detroit Pistons, 100, Washington Wizards, 106
Toronto Raptors, 122, Atlanta Hawks, 117
Philadelphia 76ers, 117, Brooklyn Nets, 111
Orlando Magic, 106, Charlotte Hornets, 83
New York Knicks, 106, Cleveland Cavaliers, 86
Oklahoma City Thunder, 112, Houston Rockets, 107
New Orleans Pelicans, 126, Memphis Grizzlies, 116
Sacramento Kings, 113, Miami Heat, 118
Chicago Bulls, 98, Milwaukee Bucks, 111
Los Angeles Lakers, 107, Boston Celtics, 139
Denver Nuggets, 107, Minnesota Timberwolves, 100
San Antonio Spurs, 120, Phoenix Suns, 118
Indiana Pacers, 88, Utah Jazz, 118
Golden State Warriors, 124, Portland Trail Blazers, 129
Los Angeles Clippers, 110, Dallas Mavericks, 107
Sacramento Kings, 106, Detroit Pistons, 127
Oklahoma City Thunder, 120, Orlando Magic, 114
Philadelphia 76ers, 95, Toronto Raptors, 107
Los Angeles Clippers, 95, Atlanta Hawks, 102
Memphis Grizzlies, 95, Boston Celtics, 119
Washington Wizards, 129, Miami Heat, 134
Los Angeles Lakers, 100, New York Knicks, 92
Minnesota Timberwolves, 110, Chicago Bulls, 117
Denver Nuggets, 105, Houston Rockets, 121
Indiana Pacers, 112, Phoenix Suns, 87
San Antonio Spurs, 121, New Orleans Pelicans, 117
Utah Jazz, 129, Golden State Warriors, 96
Washington Wizards, 124, Cleveland Cavaliers, 112
Los Angeles Lakers, 128, Brooklyn Nets, 113
Dallas Mavericks, 133, Portland Trail Blazers, 125
Milwaukee Bucks, 116, Charlotte Hornets, 103
Memphis Grizzlies, 125, Detroit Pistons, 112
Boston Celtics, 109, Orlando Magic, 98
Toronto Raptors, 118, New York Knicks, 112
Sacramento Kings, 98, Chicago Bulls, 81
Los Angeles Clippers, 122, Miami Heat, 117
Houston Rockets, 131, Minnesota Timberwolves, 124
Denver Nuggets, 113, New Orleans Pelicans, 106
Atlanta Hawks, 111, Oklahoma City Thunder, 140
Phoenix Suns, 103, San Antonio Spurs, 99
Indiana Pacers, 129, Golden State Warriors, 118
Dallas Mavericks, 107, Utah Jazz, 112
Brooklyn Nets, 121, Detroit Pistons, 111
Chicago Bulls, 118, Cleveland Cavaliers, 106
Oklahoma City Thunder, 113, Minnesota Timberwolves, 104
Los Angeles Lakers, 91, Philadelphia 76ers, 108
Houston Rockets, 110, Denver Nuggets, 117
Toronto Raptors, 110, San Antonio Spurs, 106
Washington Wizards, 133, Atlanta Hawks, 152
Phoenix Suns, 109, Memphis Grizzlies, 114
Boston Celtics, 108, New Orleans Pelicans, 123
Brooklyn Nets, 97, New York Knicks, 110
Los Angeles Clippers, 112, Orlando Magic, 97
Indiana Pacers, 129, Portland Trail Blazers, 139
Cleveland Cavaliers, 115, Detroit Pistons, 100
Orlando Magic, 92, Miami Heat, 113
San Antonio Spurs, 109, Chicago Bulls, 110
Sacramento Kings, 133, Minnesota Timberwolves, 129
Dallas Mavericks, 107, Oklahoma City Thunder, 97
Houston Rockets, 126, Utah Jazz, 117
New York Knicks, 92, Charlotte Hornets, 97
Golden State Warriors, 104, Philadelphia 76ers, 115
New Orleans Pelicans, 125, Cleveland Cavaliers, 111
Atlanta Hawks, 114, Toronto Raptors, 130
Denver Nuggets, 96, Memphis Grizzlies, 104
Boston Celtics, 109, Miami Heat, 101
Washington Wizards, 131, Milwaukee Bucks, 151
Phoenix Suns, 133, Dallas Mavericks, 104
Chicago Bulls, 106, Indiana Pacers, 115
Detroit Pistons, 115, Brooklyn Nets, 125
Memphis Grizzlies, 127, New York Knicks, 106
Utah Jazz, 120, San Antonio Spurs, 127
Houston Rockets, 112, Portland Trail Blazers, 125
Oklahoma City Thunder, 120, Sacramento Kings, 100
Toronto Raptors, 115, Cleveland Cavaliers, 109
Charlotte Hornets, 107, Washington Wizards, 121
Philadelphia 76ers, 117, Atlanta Hawks, 127
Golden State Warriors, 104, Boston Celtics, 119
Utah Jazz, 100, Denver Nuggets, 106
Sacramento Kings, 124, Los Angeles Clippers, 103
Toronto Raptors, 105, Detroit Pistons, 92
Chicago Bulls, 118, Brooklyn Nets, 133
Dallas Mavericks, 121, Houston Rockets, 128
Memphis Grizzlies, 111, New Orleans Pelicans, 139
Denver Nuggets, 127, Milwaukee Bucks, 115
Oklahoma City Thunder, 111, Phoenix Suns, 107
Portland Trail Blazers, 127, Los Angeles Lakers, 119
