TEAM,Milwaukee Bucks,Miami Heat,Oklahoma City Thunder,Boston Celtics,Denver Nuggets,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Dallas Mavericks,Los Angeles Lakers,Philadelphia 76ers,Toronto Raptors,Utah Jazz,Memphis Grizzlies,Chicago Bulls,Orlando Magic,San Antonio Spurs,Brooklyn Nets,Detroit Pistons,Portland Trail Blazers,Charlotte Hornets,Cleveland Cavaliers,Golden State Warriors,New Orleans Pelicans,New York Knicks,Phoenix Suns,Sacramento Kings,Washington Wizards,Atlanta Hawks,Minnesota Timberwolves
OFFRTG,115.6,112.1,110.5,115.4,112.7,114.4,108.7,113.1,113.6,112.1,110.4,108.3,110.6,110.5,104.8,106.3,109,104.1,110.4,110.4,105.2,104.8,103.2,106,104.8,109.9,107.6,111.5,101.6,104.9
DEFRTG,99.4,111.1,106.9,105.1,109,110,107.1,105.5,106.6,107.5,107.3,106.1,108.4,111.6,101.3,109.6,108.6,104.2,113.1,113.1,109.9,115.4,108.6,110.2,113.2,113.3,110.7,117.3,110.5,112.3
NETRTG,16.2,1,3.5,10.3,3.7,4.3,1.6,7.6,6.9,4.6,3.2,2.3,2.1,-1.1,3.5,-3.3,0.5,-0.1,-2.7,-2.6,-4.7,-10.6,-5.4,-4.3,-8.4,-3.4,-3.1,-5.8,-8.9,-7.4
AST%,61.4,62.4,51.5,54.4,65.1,50.5,64.8,55.1,60.5,60.7,63.9,63.6,56,64.9,60.7,60.2,57.8,59.3,60.4,47.9,65.2,55.1,61.9,60.7,55.5,68.9,55.1,60.4,57.7,51.7
AST/TO,1.79,1.8,1.51,1.59,2,1.48,2.24,1.54,1.89,1.64,1.9,1.66,1.38,1.85,1.45,1.92,1.92,1.53,1.63,1.49,1.67,1.23,1.59,1.64,1.65,1.97,1.53,1.93,1.4,1.32
AST RATIO,19,17.7,15.8,17,19.5,15.4,19.3,16.3,17.6,18.2,19,17.8,16.9,19.3,17.2,17.4,18.1,16.4,17.9,14.7,17.5,16.1,17.2,17.3,15.8,19.8,16.5,17.3,16.3,14.3
OREB%,27.3,27.8,25.7,30.2,30.9,28,23.3,28.6,27,29.4,29,26.9,24.9,26.1,24.1,26,20.9,28.7,27.5,27.2,29.4,32.1,26.9,26.9,28.3,27.6,27.6,26.5,24.2,26.1
DREB%,76,76.3,71.7,73.1,70.2,71.9,69.2,72.9,74.8,72.5,74.5,71.4,75.6,73.8,73.2,72.2,74,74,71.7,71.4,70.1,75,72.4,74.9,72.3,74,72.8,69.6,70.8,70.8
REB%,53.8,52.6,49.7,52.3,50.3,49.9,47.3,51.2,51.2,51.4,52.1,49.4,51.5,50,48.3,48.3,48.8,52.1,49.4,49.8,48.9,52.9,48.9,50.3,49.8,49.7,49.8,46.7,46.6,47.4
TOV%,14.7,13.5,13.8,14.7,14,14,11.8,14.4,12.8,15.5,14.1,14.7,16.4,14.5,15.9,12.3,12.6,14.7,15.1,13.1,14.7,18.2,14.9,14.5,13.2,14.3,14.7,12.3,15.6,14.3
EFG%,57,52.8,52.8,55.7,53.3,54.5,52.3,52.9,53.8,54.2,53.6,51.5,55.8,53.9,51.8,50.2,54.1,48.9,53.6,52.2,48.5,51.5,49.1,51.2,48.8,52,52,51.1,50.1,48.9
TS%,59.7,57.3,57.2,58.8,56.5,57.8,55.6,57.4,57.3,57.3,56.5,55.9,59,57.2,55.3,53.5,57.1,52.6,56.5,56.1,52.3,54,52.9,54.1,52.2,55.8,55,55.4,53.3,53.5
PACE,103.23,97.58,97.48,97.5,97.38,101.88,98.81,103.33,99.77,99.96,99.2,100.78,99.71,102.72,99.41,98.53,101.54,101.83,99.87,100.29,95.9,98.69,99.42,100.96,100.25,102.25,96.58,102.22,103.69,101.79
PIE,59.5,51.6,53,54.5,52.3,50.2,51.4,53.2,53.5,53.6,52.9,51.9,50.5,50,50.8,48.7,52.2,51.8,48.4,48.6,46.1,43.7,47.2,47.3,45.4,49.2,46.5,46.3,43.9,45.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
