TEAM,Milwaukee Bucks,Boston Celtics,Miami Heat,Oklahoma City Thunder,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Utah Jazz,Denver Nuggets,Dallas Mavericks,San Antonio Spurs,Philadelphia 76ers,Toronto Raptors,Chicago Bulls,Memphis Grizzlies,Orlando Magic,Brooklyn Nets,Portland Trail Blazers,Detroit Pistons,Cleveland Cavaliers,New York Knicks,Charlotte Hornets,Golden State Warriors,New Orleans Pelicans,Phoenix Suns,Washington Wizards,Sacramento Kings,Atlanta Hawks,Minnesota Timberwolves
MIN,48,48,49.7,48.7,48.7,48.3,48,48,48,48,48.3,50.5,48.3,48.6,48.7,48,48,48.8,48,48,48.4,48.4,48.3,48.7,48.7,48.7,48.3,48.9,48.4,49.4
PTS,119.3,112.6,113.5,109.1,118.3,108.3,116.7,111.9,110,109.7,114.3,116.5,110.4,110.6,105.7,113.4,105.1,107.8,111.1,110,103.9,105.8,101.5,104.1,108.7,113.7,114.5,105.8,106.2,109.9
FGM,44.3,42,39.5,40.1,42.5,40.9,41.5,41.8,40.3,41.8,40.5,44.6,41.8,39.2,38.5,42.6,39,39.3,40.9,40.7,40.2,39.4,36.2,38.5,40.2,42.3,40.4,40.2,39.6,38.4
FGA,90.1,87.1,86.8,84.7,92.4,88.8,89.9,86.9,83.8,88.7,90,92.7,88.6,88.1,87.2,90.3,88.5,92.2,89.9,87.5,88.3,90.9,86.6,88.5,91.7,91.9,91,88.3,91.1,90.9
FG%,49.1,48.2,45.5,47.4,46,46,46.1,48.1,48.1,47.1,45,48.1,47.1,44.5,44.1,47.2,44.1,42.7,45.5,46.6,45.6,43.3,41.8,43.4,43.8,46,44.4,45.5,43.5,42.3
3PM,14.1,12.9,12.5,9.1,15.7,11.2,12.2,10.7,13,11,15.9,11.2,11.5,12.4,13.3,12.2,10.9,11.5,12.1,12.3,10.5,10,11.6,9.9,13.5,11.1,12.1,11.4,12,12
3PA,36.7,34.7,33.5,28.5,43.2,30.2,32.7,31.5,32.4,30.8,43.3,28.9,30.6,35.2,35.5,34.3,30.1,37.1,33.2,33.9,31.9,31.9,34.5,28.5,38.2,33.9,33.5,33.8,37.7,38
3P%,38.5,37.3,37.5,31.8,36.4,37.1,37.3,34,40.2,35.7,36.7,38.6,37.6,35.2,37.4,35.6,36.1,30.9,36.3,36.1,32.9,31.3,33.7,34.9,35.4,32.9,36.3,33.8,31.8,31.6
FTM,16.6,15.7,21.9,19.8,17.5,15.4,21.6,17.6,16.4,15.2,17.5,16.2,15.4,19.8,15.4,16.1,16.2,17.7,17.4,16.3,12.9,17.1,17.5,17.2,14.8,18.1,21.6,13.9,14.9,21.1
FTA,22.3,19.6,27.8,24.5,22.5,19.6,27,24.1,21.6,19,22.1,21.1,20.9,24.6,19.1,20.4,21.9,23.5,20.9,22.4,18.1,23.9,23.5,22.2,20.1,22.7,28,18,19.3,26.8
