TEAM,Milwaukee Bucks,Boston Celtics,Houston Rockets,Los Angeles Lakers,Dallas Mavericks,Los Angeles Clippers,Oklahoma City Thunder,Sacramento Kings,Toronto Raptors,Atlanta Hawks,Denver Nuggets,Miami Heat,New Orleans Pelicans,Orlando Magic,Philadelphia 76ers,Brooklyn Nets,Charlotte Hornets,Indiana Pacers,Memphis Grizzlies,New York Knicks,Utah Jazz,Washington Wizards,Cleveland Cavaliers,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Detroit Pistons,Golden State Warriors,Minnesota Timberwolves,Chicago Bulls
OPP FGM,38.8,37.7,41.5,40,42,40.2,41.8,39.9,36.8,45.2,40.7,39.5,44,42.8,41.6,40.6,40.6,38.8,40.3,40.5,43.2,42.2,44.8,40.7,43,42.2,42.1,42.9,45.7,42.8
OPP FGA,95.4,87.4,90.4,86.9,91.5,92.4,90,85.1,87.3,93.9,88.3,85.1,95.1,89.2,89.2,92.5,88.5,87.9,92.1,85.5,90.6,88.9,90.5,85.2,90.5,84.9,85.1,88,89.5,82
OPP FG%,40.7,43.1,45.9,46,45.9,43.5,46.4,46.9,42.2,48.1,46.1,46.5,46.3,47.9,46.7,43.9,45.9,44.2,43.7,47.3,47.6,47.4,49.5,47.7,47.5,49.7,49.5,48.8,51.1,52.2
OPP 3PM,12.5,12.2,11.3,11.5,12.2,11.9,12.5,11.7,12.8,13.5,13,15.8,11.4,13.9,10.7,10.9,12,12.2,13.3,12.5,13.5,13.3,12.4,12.5,14.1,13.9,9,14,12.6,11.8
OPP 3PA,38.5,36.8,33.8,30.9,35.8,34.7,34.8,33.7,37.9,35.2,34.4,40.7,33.5,34.5,31.2,33.6,36.4,33.9,35.6,32.6,34,35,32.7,34.2,34.5,33.3,27,33.9,32.3,29.9
OPP 3P%,32.3,33,33.3,37.1,34,34.3,35.9,34.8,33.8,38.3,37.8,38.9,34,40.3,34.4,32.5,33,35.9,37.2,38.4,39.8,37.9,37.8,36.6,40.8,41.8,33.3,41.3,39.2,39.4
OPP FTM,15.5,23.2,17.2,16.6,16,17.8,15.4,19.8,19.6,19.3,18.5,18.8,15.7,14.4,18.3,15.7,13.5,17.5,16.5,18.7,15.2,18.5,15.4,18.8,17.5,16.6,15.2,17,21.5,22.6
OPP FTA,20.5,28.7,22,22.5,21.7,23.4,19,25.1,24.9,24.2,23.2,23.8,21.2,18.5,23.5,20.8,18.4,22,22,24.9,19.3,26,20.1,23.4,22.2,21.8,19.4,22.5,27.4,29.1
OPP FT%,76,80.8,78.1,74.1,73.8,76.3,81.1,79,78.7,79.9,79.7,79,74.1,77.9,77.6,75.2,73.8,79.5,74.8,75.2,78.8,71,76.5,80.6,78.9,76.3,78.4,75.7,78.4,77.5
OPP OREB,9.1,10.3,12.3,8.2,10.3,10.4,11.3,9.1,11.2,11.6,10.3,7.9,9.7,8.7,9.7,10.4,11,10.5,10.8,7.9,9.1,11.8,9.5,10.2,11,7.5,9.6,8.7,9.8,11.3
OPP DREB,36,34.1,37.2,31.8,35,35.8,34.6,36.1,34.1,35.5,30.9,34.5,33.5,34.6,35.5,33.6,34.7,35.4,35.2,30.9,32.5,37.5,32.6,32.4,35.4,37.3,33.3,35.8,36.6,32.1
OPP REB,45.1,44.3,49.5,40,45.3,46.2,45.9,45.2,45.3,47.1,41.2,42.5,43.2,43.3,45.3,44,45.7,45.9,46,38.8,41.6,49.4,42.1,42.6,46.4,44.7,42.9,44.5,46.5,43.4
OPP AST,23,19,24.4,25.3,23.8,25,25.2,25,25.6,25.2,26,25.7,25.7,27.1,23.8,23.7,26.2,23.2,24.7,25,21.7,23.3,29.5,24.6,26.7,27,26.5,28.3,26.2,27.7
OPP TOV,14.4,14,17.8,15.6,11.1,13,14,15.6,17.1,14,12.6,14.4,13.8,14.2,12.9,10.3,11.8,13.9,13.2,13.1,10,18.9,13.3,16.8,13.3,14.2,13,15.3,16,17.9
OPP STL,7.6,7.3,7.7,8.5,6.8,7.5,5.9,6.9,7.7,8.2,6.9,6.8,9,7.3,5.5,6.9,8.7,7.7,7.5,7.9,9.1,7.5,11.1,8.6,6.9,6.1,8.2,8.8,8,9.9
OPP BLK,4,5.9,5,3,3.9,4.7,3.1,4.6,4.9,6.8,3,4.1,5.8,5.3,3.8,5,5.2,3.8,5.5,5.5,4.3,4.2,6.3,5.8,4.6,5,5.6,3.9,5.6,5.1
OPP BLKA,6.1,4.6,5.6,5.5,5.5,5.1,4.6,3.5,5.2,5.1,5.2,4.9,5.1,6.1,5.7,4.3,3.7,5.2,5.5,4.5,3.1,4.1,3.5,4.2,5,4.4,3.7,5.7,5.7,3.2
OPP PF,20.1,21.1,17.5,23.2,20.1,19.1,23.2,21.2,19.2,21.6,19.7,22.5,19.6,18.2,19.1,19.1,19,19,19.4,20.4,20.5,24.2,19.3,21.9,18.1,17.9,18.2,19.2,22.7,19.3
OPP PFD,19.2,22.2,20.6,19.7,19.3,21.8,19.2,21.7,21.7,21.1,20.4,20.4,19.6,16.6,18.6,20.2,16.5,19.3,19.8,21.7,18.5,22.5,18.2,20.9,20.3,18.4,19.5,20.7,22.3,23.3
OPP PTS,105.6,110.7,111.4,108.1,112.2,110.1,111.5,111.4,106,123.1,112.9,113.8,115.1,113.8,112.3,107.8,106.8,107.3,110.3,112.2,115.1,116.1,117.4,112.8,117.6,114.9,108.4,116.8,125.5,119.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
