TEAM,Milwaukee Bucks,Houston Rockets,Los Angeles Lakers,Boston Celtics,Oklahoma City Thunder,Toronto Raptors,Los Angeles Clippers,Sacramento Kings,Denver Nuggets,New Orleans Pelicans,Dallas Mavericks,Philadelphia 76ers,Orlando Magic,Atlanta Hawks,Miami Heat,Charlotte Hornets,Memphis Grizzlies,New York Knicks,Utah Jazz,Washington Wizards,Brooklyn Nets,Indiana Pacers,Cleveland Cavaliers,San Antonio Spurs,Portland Trail Blazers,Phoenix Suns,Detroit Pistons,Golden State Warriors,Minnesota Timberwolves,Chicago Bulls
MIN,48.5,48.5,48.5,49.3,48,48,48.9,48,49,48,48,48.5,48.4,48.8,48.4,48,48,49.4,48,48.5,48.4,48,48.9,48,48,48,48.9,48,48,48
PTS,120.8,119.3,117.5,117.2,112.3,114.8,118.1,112.7,115.5,119,118.3,108.8,112.5,120.2,115.8,97.9,107.8,109.5,111.7,116,112.4,106.4,111.5,109.7,111.9,108.2,102.5,106.5,120.1,111.8
FGM,44.4,41.7,43.8,41.5,40.7,41.6,43.2,40.5,44.2,44.2,41.4,39.7,41.8,42.4,40.5,36.3,42,42.5,40.3,42.3,40.6,41.3,42.4,40.9,42.2,39.6,38.5,39.5,41.5,42.1
FGA,93.4,90.7,88.8,88.8,84.5,89,91.3,87.6,86,90.9,88.7,89.8,89.8,90.6,86.6,85.3,93.5,89.5,85.3,92.5,91.7,87.3,89.1,89.5,91.1,85.5,87.2,85.7,91.1,88.9
FG%,47.5,46,49.3,46.7,48.2,46.7,47.3,46.3,51.4,48.6,46.7,44.2,46.5,46.8,46.8,42.5,44.9,47.5,47.2,45.7,44.3,47.3,47.6,45.7,46.3,46.3,44.1,46.1,45.6,47.4
3PM,14.5,17.5,11.8,13.3,9.7,14.8,13.7,14.5,10.9,13.5,16.9,11.7,12.5,13.3,14.8,10.8,7.7,8.1,13.3,11.8,14.1,9.3,11.9,11,12.6,10.1,12.3,10.3,15,13.8
3PA,38.8,48.9,33.4,33.3,27.3,39.1,35.2,36.8,28.5,35.3,42.2,32.2,35.8,36.3,37.4,32.9,26.4,23.9,35.1,33,39.6,28.8,32.3,29.4,32.6,28.2,34.3,32.6,41.7,35.6
3P%,37.5,35.9,35.4,40,35.5,37.9,39,39.3,38.2,38.2,40.1,36.4,35,36.7,39.5,32.9,29.3,33.8,37.8,35.8,35.6,32.1,36.9,37.5,38.6,35.7,35.8,31.5,35.9,38.8
FTM,17.5,18.3,18,20.8,21.2,16.8,18,17.2,16.2,17.1,18.6,17.6,16.5,22.1,19.9,14.5,16.1,16.5,17.9,19.6,17.2,14.7,14.9,16.9,15,18.8,13.4,17.2,22,13.8
FTA,22.1,22.3,26.5,26.3,26.7,21.1,21.9,23.6,20.9,23.8,22.4,22.5,21.2,25.8,25.7,20.3,22.5,23.9,22.5,25.7,22.7,19.3,20,20.9,20.2,22.2,16.8,21.5,28.5,20
FT%,79.4,82,68,79.4,79.4,79.6,82.2,72.7,77.5,71.8,82.9,78.2,78,85.4,77.5,71.7,71.7,68.8,79.8,76.3,75.7,75.9,74.5,80.9,74.4,85.1,79.5,79.7,77.3,68.9
OREB,9.5,7.6,11.4,10.3,7.9,9.5,9.8,8.2,9.4,11.2,9,11.3,10,9.3,8.5,11.1,12.6,12.8,9.6,9.5,11.8,8.3,10.8,8.2,10.7,10.2,11.5,8.5,8.5,12.3
DREB,44.7,32.7,37,37.3,33,35.1,38.6,32.6,33.1,38.6,36.3,34.1,33.9,33.7,34.5,33.9,37.9,34.6,36.1,32.5,38.7,34.7,33.1,33.4,33.4,30.9,29.8,31.5,31.7,26.8
REB,54.2,40.4,48.4,47.6,40.9,44.6,48.5,40.8,42.5,49.8,45.3,45.4,43.9,43,43,45,50.5,47.5,45.7,41.9,50.5,42.9,43.9,41.5,44.1,41.2,41.3,40.1,40.3,39.1
AST,26.8,20.9,27.5,20.8,20.9,25.1,26.3,25.1,27.2,32,25.5,24.4,27.9,25.8,28.4,22.3,24.8,24.7,21.2,25,25.7,26.2,26.5,24.5,19.3,26.8,24.4,27.5,25,23.9
TOV,15.6,12.8,15.8,13.3,11.9,14.5,13.6,12.1,13.8,17.6,12.3,12.5,12.8,14.2,12.8,14.3,13.9,15.1,15.1,13.4,13.6,13.4,17.5,10.5,12.8,16.4,15,16.4,15,17.8
STL,6.8,10.2,8.9,8,7.6,8.8,6.6,7.5,7.8,8.3,5.3,7.8,8.4,7.4,8.1,6.5,7.5,7.9,5,10,5.7,7.5,6.8,8.4,6.3,8.4,6.5,9,9.4,10.4
BLK,6.1,5.6,5.5,4.6,4.6,5.2,5.1,3.5,5.2,5.1,5.5,5.7,6.1,5.1,4.9,3.7,5.5,4.5,3.1,4.1,4.3,5.2,3.5,4.4,5,4.2,3.7,5.7,5.7,3.2
BLKA,4,5,3,5.9,3.1,4.9,4.7,4.6,3,5.8,3.9,3.8,5.3,6.8,4.1,5.2,5.5,5.5,4.3,4.2,5,3.8,6.3,5,4.6,5.8,5.6,3.9,5.6,5.1
PF,19.2,20.6,19.7,22.2,19.2,21.7,21.8,21.7,20.4,19.6,19.3,18.6,16.6,21.1,20.4,16.5,19.8,21.7,18.5,22.5,20.2,19.3,18.2,18.4,20.3,20.9,19.5,20.7,22.3,23.3
PFD,20.1,17.5,23.2,21.1,23.2,19.2,19.1,21.2,19.7,19.6,20.1,19.1,18.2,21.6,22.5,19,19.4,20.4,20.5,24.2,19.1,19,19.3,17.9,18.1,21.9,18.2,19.2,22.7,19.3
+/-,15.2,7.9,9.4,6.5,0.8,8.8,8,1.4,2.6,3.9,6.2,-3.5,-1.3,-2.9,2,-8.9,-2.5,-2.7,-3.4,-0.1,4.7,-0.9,-5.8,-5.2,-5.7,-4.6,-5.8,-10.3,-5.5,-8.1
