date,time,away,score_away,home,score_home,audience
"Sat, Feb 1, 2020",3:30p,Minnesota Timberwolves,106,Los Angeles Clippers,118,"19,068"
"Sat, Feb 1, 2020",7:00p,New York Knicks,92,Indiana Pacers,85,"17,923"
"Sat, Feb 1, 2020",7:00p,Miami Heat,102,Orlando Magic,89,"18,846"
"Sat, Feb 1, 2020",8:00p,Golden State Warriors,131,Cleveland Cavaliers,112,"18,410"
"Sat, Feb 1, 2020",8:00p,Brooklyn Nets,107,Washington Wizards,113,"18,196"
"Sat, Feb 1, 2020",8:30p,Philadelphia 76ers,95,Boston Celtics,116,"19,156"
"Sat, Feb 1, 2020",8:30p,Atlanta Hawks,100,Dallas Mavericks,123,"20,328"
"Sat, Feb 1, 2020",9:00p,Charlotte Hornets,90,San Antonio Spurs,114,"18,615"
"Sat, Feb 1, 2020",10:00p,Los Angeles Lakers,129,Sacramento Kings,113,"17,583"
"Sat, Feb 1, 2020",10:30p,Utah Jazz,107,Portland Trail Blazers,124,"19,603"
"Sun, Feb 2, 2020",12:30p,Denver Nuggets,123,Detroit Pistons,128,"15,488"
"Sun, Feb 2, 2020",2:00p,New Orleans Pelicans,109,Houston Rockets,117,"18,055"
"Sun, Feb 2, 2020",2:00p,Phoenix Suns,108,Milwaukee Bucks,129,"17,754"
"Sun, Feb 2, 2020",3:00p,Chicago Bulls,102,Toronto Raptors,129,"19,800"
"Mon, Feb 3, 2020",7:00p,Orlando Magic,112,Charlotte Hornets,100,"12,337"
"Mon, Feb 3, 2020",7:00p,New York Knicks,139,Cleveland Cavaliers,134,"16,303"
"Mon, Feb 3, 2020",7:00p,Dallas Mavericks,112,Indiana Pacers,103,"15,086"
"Mon, Feb 3, 2020",7:00p,Golden State Warriors,125,Washington Wizards,117,"17,120"
"Mon, Feb 3, 2020",7:30p,Boston Celtics,123,Atlanta Hawks,115,"16,231"
"Mon, Feb 3, 2020",7:30p,Phoenix Suns,97,Brooklyn Nets,119,"14,891"
"Mon, Feb 3, 2020",7:30p,Philadelphia 76ers,106,Miami Heat,137,"19,725"
"Mon, Feb 3, 2020",8:00p,Detroit Pistons,82,Memphis Grizzlies,96,"14,597"
"Mon, Feb 3, 2020",10:00p,Minnesota Timberwolves,109,Sacramento Kings,113,"15,819"
"Mon, Feb 3, 2020",10:30p,San Antonio Spurs,105,Los Angeles Clippers,108,"19,068"
"Tue, Feb 4, 2020",7:30p,Milwaukee Bucks,120,New Orleans Pelicans,108,"15,424"
"Tue, Feb 4, 2020",8:00p,Charlotte Hornets,110,Houston Rockets,125,"18,055"
"Tue, Feb 4, 2020",9:00p,Portland Trail Blazers,99,Denver Nuggets,127,"19,520"
"Tue, Feb 4, 2020",10:00p,San Antonio Spurs,102,Los Angeles Lakers,129,"18,997"
"Wed, Feb 5, 2020",7:00p,Phoenix Suns,108,Detroit Pistons,116,"13,707"
"Wed, Feb 5, 2020",7:30p,Orlando Magic,100,Boston Celtics,116,"19,156"
"Wed, Feb 5, 2020",7:30p,Golden State Warriors,88,Brooklyn Nets,129,"14,352"
"Wed, Feb 5, 2020",7:30p,Indiana Pacers,118,Toronto Raptors,119,"19,800"
"Wed, Feb 5, 2020",8:00p,Atlanta Hawks,127,Minnesota Timberwolves,120,"10,779"
"Wed, Feb 5, 2020",8:00p,Cleveland Cavaliers,103,Oklahoma City Thunder,109,"18,203"
"Wed, Feb 5, 2020",8:30p,Memphis Grizzlies,121,Dallas Mavericks,107,"20,069"
"Wed, Feb 5, 2020",9:00p,Denver Nuggets,98,Utah Jazz,95,"18,306"
"Wed, Feb 5, 2020",10:00p,Miami Heat,111,Los Angeles Clippers,128,"19,068"
"Thu, Feb 6, 2020",7:30p,Orlando Magic,103,New York Knicks,105,"18,895"
"Thu, Feb 6, 2020",8:00p,New Orleans Pelicans,125,Chicago Bulls,119,"18,247"
"Thu, Feb 6, 2020",8:00p,Philadelphia 76ers,101,Milwaukee Bucks,112,"17,928"
"Thu, Feb 6, 2020",10:00p,San Antonio Spurs,117,Portland Trail Blazers,125,"19,653"
"Thu, Feb 6, 2020",10:30p,Houston Rockets,121,Los Angeles Lakers,111,"18,997"
"Fri, Feb 7, 2020",7:00p,Memphis Grizzlies,107,Philadelphia 76ers,119,"20,779"
"Fri, Feb 7, 2020",7:00p,Dallas Mavericks,118,Washington Wizards,119,"20,476"
"Fri, Feb 7, 2020",7:30p,Atlanta Hawks,107,Boston Celtics,112,"19,156"
"Fri, Feb 7, 2020",8:00p,Toronto Raptors,115,Indiana Pacers,106,"17,028"
"Fri, Feb 7, 2020",8:00p,Detroit Pistons,101,Oklahoma City Thunder,108,"18,203"
"Fri, Feb 7, 2020",9:00p,Houston Rockets,91,Phoenix Suns,127,"17,043"
"Fri, Feb 7, 2020",10:00p,Miami Heat,97,Sacramento Kings,105,"16,760"
"Fri, Feb 7, 2020",10:30p,Portland Trail Blazers,114,Utah Jazz,117,"18,306"
"Sat, Feb 8, 2020",5:00p,Milwaukee Bucks,111,Orlando Magic,95,"16,632"
"Sat, Feb 8, 2020",7:00p,Dallas Mavericks,116,Charlotte Hornets,100,"19,370"
"Sat, Feb 8, 2020",7:00p,New York Knicks,95,Detroit Pistons,92,"15,980"
"Sat, Feb 8, 2020",7:30p,New Orleans Pelicans,124,Indiana Pacers,117,"17,923"
"Sat, Feb 8, 2020",7:30p,Brooklyn Nets,118,Toronto Raptors,119,"19,800"
"Sat, Feb 8, 2020",8:00p,Los Angeles Clippers,115,Minnesota Timberwolves,142,"18,978"
"Sat, Feb 8, 2020",8:30p,Los Angeles Lakers,125,Golden State Warriors,120,"18,064"
