TEAM,Milwaukee Bucks,Toronto Raptors,Memphis Grizzlies,Utah Jazz,Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Clippers,Denver Nuggets,Indiana Pacers,Philadelphia 76ers,New Orleans Pelicans,Miami Heat,Boston Celtics,Dallas Mavericks,Portland Trail Blazers,Houston Rockets,Orlando Magic,Phoenix Suns,San Antonio Spurs,Sacramento Kings,Atlanta Hawks,Washington Wizards,Chicago Bulls,Brooklyn Nets,Detroit Pistons,Charlotte Hornets,New York Knicks,Minnesota Timberwolves,Cleveland Cavaliers,Golden State Warriors
FTA RATE,0.292,0.228,0.246,0.258,0.277,0.278,0.303,0.25,0.23,0.25,0.293,0.266,0.254,0.246,0.251,0.3,0.254,0.305,0.287,0.233,0.27,0.28,0.231,0.266,0.295,0.264,0.224,0.241,0.196,0.262
OPP EFG%,48.6,51.9,51.9,52.2,51.7,52.9,51.1,54.8,54.7,51.2,52.2,51,52.2,53.7,53.4,52.3,51.9,51.9,53.5,54,52.4,55.2,57.6,53.6,53.9,55.8,54.9,54.4,56.1,55.1
OPP FTA RATE,0.24,0.278,0.276,0.234,0.248,0.187,0.3,0.268,0.254,0.298,0.262,0.236,0.284,0.226,0.235,0.269,0.226,0.279,0.257,0.309,0.37,0.296,0.277,0.238,0.237,0.2,0.28,0.276,0.233,0.245
OPP TOV%,12.4,18.2,14.7,11.4,14.2,13.1,12,14.5,14.9,15.4,12.4,10.6,14.5,11.3,11.4,13.7,14.7,15,11.5,15.2,12.7,13.4,17.6,13.1,14.8,14.8,13.5,14.7,12.3,15.3
OPP OREB%,20.9,27.4,27.7,25,27.3,24.7,28.9,26.2,27.8,26.3,29,23.9,25.4,28,29.8,28.6,24.1,27.2,25.6,25.7,27.9,29.1,26.8,25.4,28.3,30.1,24.9,25.2,26.4,27.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
