TEAM,Oklahoma City Thunder,Toronto Raptors,Denver Nuggets,Memphis Grizzlies,Milwaukee Bucks,Utah Jazz,Los Angeles Lakers,Boston Celtics,Indiana Pacers,Los Angeles Clippers,New Orleans Pelicans,Dallas Mavericks,Miami Heat,Philadelphia 76ers,Portland Trail Blazers,Houston Rockets,Orlando Magic,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Chicago Bulls,Sacramento Kings,Washington Wizards,Brooklyn Nets,Detroit Pistons,New York Knicks,Charlotte Hornets,Cleveland Cavaliers,Minnesota Timberwolves,Golden State Warriors
PTS OFF TO,15.5,22.4,14.8,18.5,14.7,13.1,20.6,17.8,15.9,14.9,16.3,14.1,12.4,18.4,12.5,16.1,15.9,18.2,13.2,14.3,20.4,16.5,16.1,14.5,18.6,15.8,15.5,13.7,16.7,17.1
2ND PTS,11.2,12.5,15.8,12.3,9.3,14.7,14.8,13.3,11.5,14.8,15.1,15.6,10.5,9.9,14.2,11.1,14.2,12.1,10.6,13.8,11.2,11.9,15.8,11.9,12.8,14.6,11.9,14.4,14.4,10.8
FBPS,11.1,16.7,11.6,20.8,19.3,10.2,21.2,16.4,11.7,11,16.5,13.2,9.3,15.8,13.4,14.1,10.3,14.2,12.2,12,16.5,15.3,11.1,15.8,11.2,9.5,11.4,8.9,9.9,14.3
PITP,47.1,50.3,48.6,60.3,49.7,51.3,53.9,49.9,52.4,50.5,52.8,48,43.7,47.8,45.9,49.1,46.1,47.2,39.6,49.1,54,49.7,48.3,48.4,51.6,50.1,45,50,47.2,37.7
OPP PTS OFF TO,14.8,17.2,13.9,15.5,14.2,15.4,17.1,16.6,13.4,17,18.8,13.9,16.1,14.2,12.9,16.6,13.2,15.4,15.2,18.8,17,17.1,18.9,17.7,15.6,16.8,16.1,20.9,17.1,17.5
OPP 2ND PTS,12.4,13.7,12.4,15.2,12.5,11.8,12.9,11.1,12.4,13.5,13.7,15.7,12.6,12.1,15.9,14.4,9.9,10.9,13.1,14.7,11.5,12.4,14.7,12.8,13.4,11.9,14,12.6,11.1,13.5
OPP FBPS,9.4,13.5,13.3,14.5,12,11.4,17.1,16.6,12.6,13.8,16.1,16.4,10.6,15,16.4,13.6,10.1,12.1,13.5,15.4,11.2,13.1,13.6,14,12.3,14.6,11.5,12.8,12.2,15.4
OPP PITP,49.5,40.3,50.1,44.9,37.5,46.7,50.3,43.6,49.7,45.1,56.4,52.7,47.3,45.8,47.9,52.3,44,48,42.8,53.3,51.3,47.7,55.5,51.1,54.8,45.3,53,58.3,49.5,50.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
