TEAM,Oklahoma City Thunder,Toronto Raptors,Denver Nuggets,Memphis Grizzlies,Milwaukee Bucks,Utah Jazz,Los Angeles Lakers,Boston Celtics,Indiana Pacers,Los Angeles Clippers,New Orleans Pelicans,Dallas Mavericks,Miami Heat,Philadelphia 76ers,Portland Trail Blazers,Houston Rockets,Orlando Magic,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Chicago Bulls,Sacramento Kings,Washington Wizards,Brooklyn Nets,Detroit Pistons,New York Knicks,Charlotte Hornets,Cleveland Cavaliers,Minnesota Timberwolves,Golden State Warriors
OPP FGM,41.6,37.3,40.6,40.7,38.5,41.5,41.2,39.6,40.9,40.3,44,42.7,39.5,37.9,43.1,42.7,38.9,40.3,40.7,42.1,41.3,40.4,44.1,42.6,42.8,40.6,42.1,44.1,42.2,43.1
OPP FGA,90.6,84.8,85.4,91,93.8,88.9,90.4,86.8,85.1,91.2,95,90.9,89.5,84.7,94.4,92.7,85.9,87.7,89.1,89.8,81.6,86.5,90.6,90.9,88.9,86.1,86.5,89.2,87.2,90.1
OPP FG%,45.9,44,47.5,44.7,41.1,46.7,45.6,45.6,48,44.2,46.3,47,44.1,44.8,45.7,46.1,45.3,45.9,45.7,46.8,50.6,46.7,48.7,46.9,48.1,47.2,48.7,49.5,48.4,47.9
OPP 3PM,12.5,13.3,12.3,13.1,14.2,9.9,11.1,11.5,11.4,12.5,11.3,12.2,12.2,10.8,14.5,11.5,11.3,10.5,13.8,9.9,11.5,12.7,11.7,12.2,10.3,13.2,12.4,11.8,10.5,13.1
OPP 3PA,35.2,38.3,32.6,36,40.2,29.5,32.1,32.9,32.1,36.5,31.7,33.1,37.8,31,38.1,35.1,32.8,31.3,37.7,30.3,30.3,36.4,32.7,33.6,28.5,33.5,34,32.4,30.7,35.5
OPP 3P%,35.6,34.8,37.8,36.5,35.4,33.4,34.4,34.9,35.6,34.4,35.6,36.9,32.3,35,38.2,32.8,34.6,33.5,36.6,32.7,37.9,35,35.9,36.3,36,39.4,36.5,36.2,34.1,36.8
OPP FTM,13.2,18.1,16.9,20,19,15.7,16.6,18.6,17.9,20.2,19.4,16.3,17.4,18,16.1,19.4,15.5,19,18,25.1,16.9,21.6,20.9,16.3,16.5,18.1,12.8,15.8,19.3,17.3
OPP FTA,16.9,23.6,22.9,25.1,22.5,20.8,22.4,24.7,21.6,27.3,24.9,20.5,21.1,25.2,22.2,24.9,19.4,24.5,22.9,33.3,22.6,26.7,26.8,21.7,21.1,24.1,17.3,20.8,24.1,22.1
OPP FT%,78.1,76.6,73.8,79.6,84.3,75.6,74.2,75.4,82.5,73.8,77.8,79.5,82.4,71.3,72.7,77.7,80.1,77.7,78.7,75.4,74.7,80.7,78.1,75.4,78.3,75.1,73.6,76.2,80.3,78.3
OPP OREB,9.8,9.9,9.9,10.7,9.2,9.5,10.4,9.3,8.7,11.5,11.3,11.3,9.6,9.7,12.5,10.9,8.7,9.1,9.6,10.7,9.2,8.7,10.8,10,10.4,9.4,11.2,10.3,8.9,10.8
OPP DREB,33,35.9,32.6,33.5,36.8,31.1,33.3,33.9,33.5,34.9,33.3,33.2,33.6,35.5,36.3,36.5,36.9,32.7,35.1,36.2,33.9,35.9,33.6,36.1,34.6,36,34.6,31.7,37.4,39.1
OPP REB,42.8,45.8,42.5,44.3,46.1,40.5,43.7,43.2,42.2,46.5,44.6,44.5,43.2,45.2,48.8,47.4,45.6,41.8,44.7,46.9,43.2,44.6,44.4,46.1,45,45.4,45.8,41.9,46.3,49.9
OPP AST,22.8,25.5,26.3,24.2,22.8,21.8,23.3,23.5,22.9,25.7,23.3,24.7,25.8,22.5,25.2,25,23.5,23.3,25.7,24.4,26.9,25.1,24.6,23.7,24.1,24.7,26.3,25.5,22.9,26.6
OPP TOV,13.1,18.3,14.3,15.3,13.2,11.3,14.5,14.8,14.6,12.2,13,11.1,10.4,15.3,11.6,14.4,14.4,15.2,11.4,13.3,17.4,15.6,13.7,13.5,14.9,13.4,14.2,12.2,15.1,15.9
OPP STL,5.9,7.2,6.7,7.9,7.1,6.4,7.8,7.4,6.2,7.7,9.6,6.7,6.9,6.5,5.3,8.1,6.5,8.7,6.3,8.7,6.9,7.6,8.3,8.3,7.9,6.9,6.8,9.4,8,9.1
OPP BLK,4.1,5.7,5.6,4.5,4.5,4.5,4.4,5.4,3.7,4.9,4,3.9,4.4,3.2,5.3,6.1,4.9,5.6,4,5.2,5.2,3.9,4.4,5.1,6.1,5.4,5.4,5.4,5.9,5
