TEAM,Brooklyn Nets,Dallas Mavericks,Los Angeles Clippers,Los Angeles Lakers,Toronto Raptors,Utah Jazz,Denver Nuggets,Indiana Pacers,Memphis Grizzlies,Miami Heat,New York Knicks,Oklahoma City Thunder,Orlando Magic,Portland Trail Blazers,Sacramento Kings,Washington Wizards,Boston Celtics,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Golden State Warriors,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,Philadelphia 76ers,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Houston Rockets,Detroit Pistons
OFFRTG,109.1,111.2,119.1,110.5,113.5,113.9,111.2,108.1,112.3,109,110.8,112.6,119.4,121,115.7,111.4,108.6,113.9,106.4,110.9,114.2,99.8,107.1,109.9,124,118.2,114.3,107.9,107.6,106.8
DEFRTG,109.7,104.3,109.6,103.1,110.4,109.5,111.7,109.5,100.4,106.5,114.8,106.8,116.8,113.4,115.3,113.7,110.2,113.6,108.4,114.9,118.2,103.8,113.7,109.3,121.2,119.4,116.8,117.7,115.5,117.2
NETRTG,-0.5,6.8,9.5,7.4,3.1,4.4,-0.5,-1.4,11.9,2.5,-4,5.7,2.6,7.6,0.4,-2.3,-1.6,0.3,-2,-4,-4.1,-4,-6.6,0.6,2.7,-1.2,-2.5,-9.9,-7.8,-10.4
AST%,59.1,60.5,52.5,53.1,60.2,60.9,66.4,54,62.7,74.7,56.4,51.2,63.9,53.8,55.7,66.5,50.5,64.5,57.6,67.5,70.7,56.6,58.5,64.7,61.1,69.3,58.6,60.2,58.7,66.3
AST/TO,1.37,1.86,1.66,1.59,1.74,1.76,1.81,1.54,1.56,1.81,1.67,1.57,2.33,1.8,1.69,1.65,1.61,1.96,1.75,1.78,2.2,1.37,1.61,1.67,2.1,1.92,2.37,1.55,1.39,1.82
AST RATIO,16.1,18.1,15.8,16.5,17.3,18.7,20.4,17.1,18.1,20.8,17.1,16.2,19.9,17.7,17.4,17.7,14.5,18.8,17.4,19.7,20.7,15.9,17.1,18.5,19,20.1,18.5,17.1,16.2,18.2
OREB%,30.8,26.2,27.4,23.7,22.5,23.5,25.4,21.7,33.3,21.7,30.4,21.1,28,25.3,26.6,22.2,31.7,28,28.2,27.5,25.7,22.7,25.3,33.2,32.4,25.5,14.9,28.7,26,27.3
DREB%,74.6,76.7,75.6,71.3,75.7,69.4,74.3,72.7,71.7,72.7,73.7,72.2,74.1,70.4,78.2,73.2,69.2,70.1,71.4,73.8,74,80.8,75.4,75.9,78.8,76.7,72.4,73.4,68.5,69.6
REB%,53.1,51.5,52.8,48.7,49.9,48.5,50,48.8,54.3,48.4,52.4,48.3,50.6,49.9,53,46.1,49.7,48.5,47.5,50.1,49.6,51.6,49.1,53.7,53.6,51.2,44.1,49.6,46.2,47
TOV%,16.1,13.4,12.7,13.8,13.3,14.3,15.8,14.6,16.4,16,14.2,13.6,12,13.2,13.9,14.4,12.4,13.4,13.7,15.5,13.4,15.4,14.5,15.9,13,14.6,10.2,15.4,15.7,14
EFG%,50.7,54.3,55.5,53.9,54.4,57.8,56.1,54.4,55.1,56,53,55.1,55.8,58.9,56,53.9,48.9,54,51.4,55,55,49.6,52.9,52.1,57.9,56.9,55.3,50.9,51,51.6
TS%,55.4,56.6,60.7,57.5,59.8,60.7,58.4,57.6,57.9,58.9,56.5,58.4,59.8,62.3,60.2,59.5,52.8,57.8,53.7,57.9,58.3,52.9,55.7,54.9,61,62,59.8,54.2,55.7,54.2
PACE,101,100.86,100.3,103,102.4,94.6,98.17,101.3,101.8,95.9,100.01,98.25,100.2,99.8,100.7,102,97.96,92.46,100.3,98.45,99.3,104.92,105.92,107.27,96.9,102.88,100.21,101.08,102.2,94
PIE,49.6,53.3,55.1,54.6,50.8,53.3,50.5,50.5,58.5,53.3,51.3,52.7,52,53.5,51.3,47.5,49.2,49.4,46.9,48.8,48.1,47.5,45.4,49.8,49.5,51.2,50.1,41.3,44.4,42.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
