TEAM,Brooklyn Nets,Dallas Mavericks,Los Angeles Clippers,Los Angeles Lakers,Toronto Raptors,Utah Jazz,Denver Nuggets,Indiana Pacers,Memphis Grizzlies,Miami Heat,New York Knicks,Oklahoma City Thunder,Orlando Magic,Portland Trail Blazers,Sacramento Kings,Washington Wizards,Boston Celtics,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Golden State Warriors,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,Philadelphia 76ers,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Houston Rockets,Detroit Pistons
PTS OFF TO,12,18.1,18.2,19.4,15,13.2,16.5,20.2,17.2,14.6,15.5,18,19,16,14.8,20.8,17,18.8,21.2,19,17.2,15.2,18,15.6,16.6,18.8,17.8,14.2,19.4,15.2
2ND PTS,14.6,13.1,14,10.4,8.2,11,13.2,11,16.4,7,15.5,10.3,15.2,11.6,11.8,7.3,15.6,14.7,13.8,13.4,10.2,12.5,11,16,17.6,11.3,7.6,14.8,11.2,10.8
FBPS,14.4,12.4,15.4,21.2,21,10.4,12.5,15.6,19.2,15.4,9.3,10,13.6,16.8,18,15.3,15.2,9.8,10.2,12.2,10.8,17.2,14.5,18.6,12.2,17.8,14.2,13.2,12.2,9.2
PITP,48,45.7,44.4,50.4,46.4,44,47.3,52.8,50,39.2,60,43.5,49.2,46.4,53.6,35.7,43.2,44.3,52.8,50.8,48,48,54.3,57.6,46,39,43.6,48.8,46.4,42.4
OPP PTS OFF TO,17.8,12.1,18.6,16.6,18.8,15,20,15.2,16.8,19.2,17.2,16.8,13.8,13.4,18.6,18.8,14.6,14.5,19.6,18,17.8,18.8,18.2,20.4,17.6,18.3,14.4,18,20.8,14.4
OPP 2ND PTS,12,12.4,12,13.6,12.4,13.4,11.3,9.6,15.8,12.6,13,12,9.8,14,8.4,12,17,10.5,11,14.4,13.6,8.8,12.3,11.8,7.2,11.8,17.2,14.2,14.6,14.2
OPP FBPS,14.4,17.7,10.6,20.4,15.4,11.6,14.2,19.4,14.8,9.6,9.5,9.5,13.8,15.6,16.2,14.5,10.2,10.8,12.4,12,17.2,13.8,15.8,21,15.4,14.3,10.8,17.4,15,11.6
OPP PITP,45.2,48,44.4,44.8,45.2,49.6,47.3,47.2,41.6,37.6,45.3,44,50.8,37.2,42.8,52.7,42,47,50,48.8,47.2,41.3,56.7,54.8,57.2,51.5,48,51.6,50.4,53.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
