TEAM,Brooklyn Nets,Dallas Mavericks,Los Angeles Clippers,Los Angeles Lakers,Toronto Raptors,Utah Jazz,Denver Nuggets,Indiana Pacers,Memphis Grizzlies,Miami Heat,New York Knicks,Oklahoma City Thunder,Orlando Magic,Portland Trail Blazers,Sacramento Kings,Washington Wizards,Boston Celtics,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Golden State Warriors,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,Philadelphia 76ers,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Houston Rockets,Detroit Pistons
%FGA 2PT,55.2,53.2,58.5,60.9,53.5,51,62.3,70.5,61.7,53.6,73.2,67.4,65.1,60.8,62.4,56.2,59.6,58.7,62.7,61.6,57,56.2,59.4,61.2,57.8,55.2,64.2,58.5,51,54.8
%FGA 3PT,44.8,46.8,41.5,39.1,46.5,49,37.7,29.5,38.3,46.4,26.8,32.6,34.9,39.2,37.6,43.8,40.4,41.3,37.3,38.4,43,43.8,40.6,38.8,42.2,44.8,35.8,41.5,49,45.2
%PTS 2PT,47.4,47.7,46.1,54.8,43.7,45.9,55.3,60,49.8,41.7,61.6,55.1,52.8,50.3,51.5,36,50,45.8,58.4,52,51.1,53.3,51.4,53.6,45,42,50.8,49.4,44.7,45.4
%PTS 2PT- MR,4.6,7.5,9,10.5,3.8,5.2,11.9,11.7,6.3,4.2,8.5,15.5,11.7,11.9,5.5,4.7,10.3,5.2,9,6.5,8.5,7.6,3.5,5.7,6.7,9.9,13.4,7,2.5,3.2
%PTS 3PT,32.1,39.9,32.1,30.1,35.6,40.6,33,25.8,34.5,44.2,21.2,28,30.6,34.3,31.9,41.7,34.2,38.5,30.3,32.8,32.4,31.9,34.4,31.4,40.5,39.5,31.9,36,36,40
%PTS FBPS,12.8,10.9,12.9,18.6,18.1,9.6,11.5,14.3,16.7,14.7,8.2,9.1,11.4,13.9,15.4,13.5,14,9,9.6,10.9,9.6,16.3,12.8,15.5,10.2,14.6,12.2,11.5,11.1,9.2
%PTS FT,20.5,12.4,21.9,15.1,20.7,13.5,11.8,14.3,15.7,14.1,17.2,16.9,16.6,15.4,16.6,22.3,15.8,15.7,11.2,15.2,16.5,14.8,14.2,15,14.5,18.5,17.3,14.6,19.3,14.5
%PTS OFFTO,10.7,15.9,15.2,17,12.9,12.2,15.1,18.5,15,14,13.7,16.4,15.9,13.2,12.7,18.3,15.6,17.3,19.9,17,15.2,14.4,15.9,13,13.8,15.4,15.3,12.3,17.6,15.1
%PTS PITP,42.8,40.2,37.1,44.3,39.9,40.7,43.4,48.3,43.6,37.5,53,39.6,41.1,38.4,46,31.3,39.7,40.6,49.4,45.5,42.6,45.7,47.9,47.9,38.3,32.1,37.4,42.4,42.2,42.2
2FGM %AST,51.1,51.1,39.9,42.9,51.2,47.6,58.6,44.5,53.8,65.1,49.8,43,54.4,42.8,43.3,58.5,43.4,54,46.2,58.6,61.1,47,51.4,55.9,48.9,56.9,45.3,52.1,43.9,64.9
2FGM %UAST,48.9,48.9,60.1,57.1,48.8,52.4,41.4,55.5,46.2,34.9,50.2,57,45.6,57.2,56.7,41.5,56.6,46,53.8,41.4,38.9,53,48.6,44.1,51.1,43.1,54.7,47.9,56.1,35.1
3FGM %AST,76.7,77.4,79.7,80.7,76.8,83.6,86.1,87.2,81.8,88.3,85.4,75.6,88.5,78.3,85.5,76.8,66.1,83.3,90.7,88.5,93.4,80.6,74.4,87.3,81.5,89.1,90.3,76.8,86.4,68.7
3FGM %UAST,23.3,22.6,20.3,19.3,23.2,16.4,13.9,12.8,18.2,11.7,14.6,24.4,11.5,21.7,14.5,23.2,33.9,16.7,9.3,11.5,6.6,19.4,25.6,12.7,18.5,10.9,9.7,23.2,13.6,31.3
FGM %AST,59.1,60.5,52.5,53.1,60.2,60.9,66.4,54,62.7,74.7,56.4,51.2,63.9,53.8,55.7,66.5,50.5,64.5,57.6,67.5,70.7,56.6,58.5,64.7,61.1,69.3,58.6,60.2,58.7,66.3
%UAST,40.9,39.5,47.5,46.9,39.8,39.1,33.6,46,37.3,25.3,43.6,48.8,36.1,46.2,44.3,33.5,49.5,35.5,42.4,32.5,29.3,43.4,41.5,35.3,38.9,30.7,41.4,39.8,41.3,33.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
