TEAM,Milwaukee Bucks,Los Angeles Lakers,Denver Nuggets,Toronto Raptors,Indiana Pacers,Boston Celtics,Los Angeles Clippers,Miami Heat,Houston Rockets,Dallas Mavericks,Philadelphia 76ers,Sacramento Kings,Brooklyn Nets,Utah Jazz,Minnesota Timberwolves,Oklahoma City Thunder,Phoenix Suns,Washington Wizards,Charlotte Hornets,New Orleans Pelicans,Orlando Magic,Chicago Bulls,Portland Trail Blazers,Detroit Pistons,Memphis Grizzlies,San Antonio Spurs,New York Knicks,Cleveland Cavaliers,Golden State Warriors,Atlanta Hawks
MIN,48,48.3,48.8,48,48.7,48.4,48.4,48,48,48.4,48.3,48.4,48,48,48.7,48.4,48,48,48.3,48,48,48,48.3,48,48,48,48,48,48.3,48.7
PTS,120.5,113.8,107,111.5,110.8,110.9,113.5,109.9,118.2,118.9,108.2,106.4,110.5,108.6,113.9,109.5,114.5,118.2,104.7,112.9,102.6,106.2,114.5,106.6,109.5,111,101.7,104.3,105.5,109.2
FGM,44.1,43.6,41.4,40.3,43.3,40.2,40.7,39.3,40.2,42.1,40.8,39.3,40.1,37.9,41.1,39.6,40.9,45,38.4,41.1,37.6,38.3,42.1,38.7,42.4,42.2,37.2,37.6,38.4,40.1
FGA,91.4,88.9,90.9,88,90.5,89.3,92.5,80.5,89,90.6,85.9,85.6,89.5,85.4,92.7,84.2,88.1,94.4,87,91.4,87.1,89.7,93.3,83.9,90.3,90.3,86.9,87.3,88,89.7
FG%,48.2,49,45.6,45.8,47.8,45,44,48.8,45.2,46.5,47.4,45.9,44.8,44.4,44.3,47,46.5,47.7,44.1,45,43.2,42.8,45.2,46.1,46.9,46.7,42.8,43.1,43.7,44.7
3PM,13.5,11.3,10.3,14.4,9.6,11.5,11.6,12.5,15.7,14.9,10.6,12.7,12.9,12.4,13.1,11.2,13.2,12.6,12.2,14.4,9.6,12.5,12.9,12.5,11.3,9.4,11.4,11.1,9.5,10.5
3PA,39.1,30.5,29.1,35.9,26.5,33.8,34,31.6,45.2,39.7,29.1,34.7,38,32.6,39.4,30.7,35.5,34.1,35.3,37.8,30.4,35,35.1,32.9,30.1,26.3,29.9,32,28.3,32.8
3P%,34.5,36.9,35.5,40,36.2,34,34.2,39.4,34.8,37.6,36.3,36.6,34,37.9,33.2,36.6,37,37,34.6,38,31.8,35.8,36.8,38,37.5,35.6,37.9,34.8,33.6,31.9
FTM,18.9,15.3,13.8,16.5,14.7,18.9,20.4,18.8,22.1,19.7,16.1,15.1,17.5,20.4,18.6,19.1,19.5,15.6,15.8,16.2,17.8,17,17.3,16.6,13.5,17.3,15.9,18,19.1,18.6
FTA,26,21.1,19.9,21.4,18.1,22.7,26.1,24.2,28.7,25.1,21.4,19.2,23.1,26.3,25.1,23.4,24.1,19.1,21.5,22.2,22.6,23.2,21.3,22.4,17.9,21.8,23.7,22.7,23,24.4
