TEAM,Philadelphia 76ers,Miami Heat,Toronto Raptors,Utah Jazz,Boston Celtics,Dallas Mavericks,Houston Rockets,Los Angeles Lakers,Minnesota Timberwolves,San Antonio Spurs,Los Angeles Clippers,Denver Nuggets,Phoenix Suns,Portland Trail Blazers,Cleveland Cavaliers,Milwaukee Bucks,Orlando Magic,Atlanta Hawks,Charlotte Hornets,Detroit Pistons,Brooklyn Nets,Golden State Warriors,Indiana Pacers,Memphis Grizzlies,Washington Wizards,Chicago Bulls,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Sacramento Kings
FTA RATE,0.338,0.36,0.265,0.278,0.26,0.357,0.358,0.28,0.323,0.315,0.304,0.251,0.287,0.274,0.251,0.275,0.207,0.278,0.216,0.304,0.33,0.321,0.191,0.257,0.197,0.245,0.219,0.307,0.322,0.222
OPP EFG%,48,48.4,45.9,46.4,50.8,52.3,58.2,46,54,49.9,53.3,50.7,46.8,48.8,53,51,46.5,48.1,54.3,54.9,53.2,60.9,54.7,50.5,53.4,54.2,52.8,52.3,45.4,57.3
OPP FTA RATE,0.393,0.333,0.21,0.26,0.339,0.195,0.227,0.27,0.262,0.234,0.277,0.299,0.42,0.381,0.223,0.282,0.236,0.319,0.214,0.226,0.26,0.266,0.295,0.381,0.284,0.27,0.277,0.309,0.259,0.196
OPP TOV%,18,17.4,15.1,16.9,19.3,14.2,14.3,18.4,18.5,11.7,16.4,15.3,17.7,16.2,12.2,12.3,15.7,17.4,15.5,14.3,13.4,17.8,19.3,15.7,14.6,19.1,14.7,15.7,14.3,16.6
OPP OREB%,21.6,26.1,27,20.8,26.5,27.8,26.1,26.2,27.1,24.4,27.2,26.4,24.9,25.9,21.8,22,22.9,30.5,32,24.7,25,26.2,32.3,27.6,29.5,33.9,32.5,26.3,24.8,29.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
