TEAM,Philadelphia 76ers,Miami Heat,Toronto Raptors,Utah Jazz,Boston Celtics,Dallas Mavericks,Houston Rockets,Los Angeles Lakers,Minnesota Timberwolves,San Antonio Spurs,Los Angeles Clippers,Denver Nuggets,Phoenix Suns,Portland Trail Blazers,Cleveland Cavaliers,Milwaukee Bucks,Orlando Magic,Atlanta Hawks,Charlotte Hornets,Detroit Pistons,Brooklyn Nets,Golden State Warriors,Indiana Pacers,Memphis Grizzlies,Washington Wizards,Chicago Bulls,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Sacramento Kings
MIN,48,49,49,48,48,48,48,48,49.3,48,48,49,49,48,48,49.3,48,48,48,48,50.5,48,48,49.3,48,48,49,48,48,48
PTS,111.5,115.6,114.6,101,109.8,114.8,128,109.3,114.8,113.5,114.2,106,115.4,111,106,119.3,95.8,103.4,108,107.8,120,114.5,105.3,107,119.3,105.6,121.2,100.6,102.2,98.6
FGM,39.8,40.2,40.2,36.8,39.5,39.5,42.5,40,40,42.3,41.7,38.4,40.6,40,39.8,43.3,35.8,38.8,39.8,39,42.5,39,41,39.5,45,38.6,44.6,36.4,36.6,36.2
FGA,88,85.6,86.8,77.8,96,86.8,94.3,87.5,92.8,89,84,90.2,89.2,89,86.5,91.8,90.5,85,86,81.6,93.3,94.3,91.5,95.3,94,94,96,86,84.4,88.4
FG%,45.2,47,46.3,47.3,41.1,45.5,45.1,45.7,43.1,47.5,49.6,42.6,45.5,44.9,46,47.1,39.5,45.6,46.3,47.8,45.6,41.4,44.8,41.5,47.9,41.1,46.5,42.3,43.4,41
3PM,10,13,14,10.6,13,12.8,15.5,9.8,12,7.8,10.8,10.6,12.8,10.8,10.5,16,9.5,9.4,15,11.2,14,10.5,8.8,9,14.5,10.6,16.4,10,9.4,11.6
3PA,32.3,33.2,36.8,28.2,36.5,40.8,47.8,29,40.3,23,29.5,30.6,34.8,29.6,32,45.8,33,32.2,35.8,26.8,36.8,34.5,24,32,38,36.2,43.2,28.4,28.8,35
3P%,31,39.2,38,37.6,35.6,31.3,32.5,33.6,29.8,33.7,36.7,34.6,36.8,36.5,32.8,35,28.8,29.2,41.9,41.8,38.1,30.4,36.5,28.1,38.2,29.3,38,35.2,32.6,33.1
FTM,22,22.2,20.2,16.8,17.8,23,27.5,19.5,22.8,21.3,20,18.6,21.4,20.2,16,16.8,14.8,16.4,13.4,18.6,21,26,14.5,19,14.8,17.8,15.6,17.8,19.6,14.6
FTA,29.8,30.8,23,21.6,25,31,33.8,24.5,30,28,25.5,22.6,25.6,24.4,21.8,25.3,18.8,23.6,18.6,24.8,30.8,30.3,17.5,24.5,18.5,23,21,26.4,27.2,19.6
FT%,73.9,72.1,87.8,77.8,71,74.2,81.5,79.6,75.8,75.9,78.4,82.3,83.6,82.8,73.6,66.3,78.7,69.5,72,75,68.3,86,82.9,77.6,79.7,77.4,74.3,67.4,72.1,74.5
OREB,11.5,9.6,8,5,12.3,9.8,11.8,10,11.3,11.8,8.3,11.4,8.8,8.6,10.5,6,11.5,10,10,8.8,12.5,13.3,10,11.3,9.5,11.6,10,13,10.2,11.2
DREB,39.8,37.6,41.6,38.4,34.8,36,34.8,36,34.8,39,33.7,34.4,37.6,38.2,37.8,42.8,36.3,34.4,32.4,33,37.8,33,29.5,36.5,34.3,30.2,34.2,35,40.6,30.4
REB,51.3,47.2,49.6,43.4,47,45.8,46.5,46,46,50.8,42,45.8,46.4,46.8,48.3,48.8,47.8,44.4,42.4,41.8,50.3,46.3,39.5,47.8,43.8,41.8,44.2,48,50.8,41.6
AST,25,24.8,24.2,20.8,22,24,26.8,23.5,22.3,22.8,22.5,22.4,28.8,17.4,21.8,25.8,21.3,24,25.4,23.4,22.3,26.3,24.5,24.8,27,21,30.6,18.8,18,20.2
TOV,20.8,20.8,19.2,18.6,11,13,15,15.3,17,16.8,16.7,14.4,16.2,16.2,16.5,14,12,17.6,19.6,19,19.8,16,12.3,18.8,16,11.6,16.2,18.4,18.6,18
STL,11.5,9.2,7.8,7.6,8,6.8,7.3,8.5,11.3,5.8,7.7,7.4,9.2,7.2,5.5,6.8,8.5,9,5.8,5.8,7.8,9,8.8,9,6,9.2,7.8,8.2,7,7.4
BLK,6.8,7,5,3.6,5.8,5,5.3,8,4.3,6.5,4.5,5,4,5.8,4.8,6.3,5.8,5.2,3.8,4.4,5.3,2.5,3.8,6.5,5.3,4.6,5,5,4,4.6
BLKA,4.5,4.8,5.2,4.6,5.3,2.8,4.8,3.5,7.3,4.5,3.8,4.4,6.4,4,4.8,4,5.8,7.6,6.2,3.4,5,5.3,5.3,7,5.8,7,3.8,5.4,5.4,4.6
PF,29,25.2,23.8,24.4,23.8,19.3,23.8,21.5,20.3,21,25,23,29.4,27,19.5,23.8,17.5,22,21.4,20.4,24.3,20,24.3,27,23.8,21.8,25.4,24.6,23,21.8
PFD,25.8,24.8,22.2,23.2,27.3,27,27.8,24.3,27.3,24.3,24.7,23.2,26,22.2,21,24.3,19,20.8,21.2,21.8,26.5,23,19.5,23.8,20.8,20.8,22.2,21.8,24.2,21
+/-,11,8.2,9.4,8.6,6.5,4,0.5,11.8,2,2,4.7,-0.4,9.2,0.8,-2.3,1.8,2,-1,-9.6,-4.8,-2,-11.8,-3,-13.8,0.3,-6,-2.8,-8.2,0.8,-17
