,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,25.0,240.0,41.4,86.3,0.48,14.7,35.1,0.42,26.7,51.2,0.52,17.2,20.3,0.85,9.5,34.6,44.1,24.3,7.5,4.8,13.2,19.1,114.8,40.0,85.9,0.47,12.0,33.0,0.36,28.1,52.9,0.53,15.8,20.0,0.79,8.8,32.3,41.1,23.2,7.0,3.1,13.8,17.6,107.8,29.1,17.0,8.0,18.0,7.0,6.96,-0.88,6.08,118.1,110.9,7.2,97.2,0.23,0.41,0.6,0.57,12.2,22.8,0.2,0.54,12.7,Los Angeles Clippers
0,24.0,241.0,40.2,89.3,0.45,13.6,36.5,0.37,26.6,52.8,0.5,16.5,21.8,0.75,11.2,33.0,44.1,28.1,8.1,4.9,14.5,18.7,110.5,40.5,87.6,0.46,14.8,40.2,0.37,25.7,47.4,0.54,15.3,20.9,0.73,10.8,35.4,46.3,28.0,7.7,5.7,16.0,19.4,111.1,24.8,11.0,13.0,12.0,12.0,-0.63,-0.39,-1.02,110.8,111.5,-0.7,99.3,0.24,0.41,0.56,0.53,12.8,24.0,0.18,0.55,14.2,Charlotte Hornets
0,22.0,241.1,42.5,88.7,0.48,13.5,35.8,0.38,29.0,52.9,0.55,16.7,21.0,0.79,8.9,35.0,43.8,26.2,7.6,4.1,16.5,20.4,115.1,42.3,88.8,0.48,12.7,34.5,0.37,29.5,54.3,0.54,19.0,24.7,0.77,9.3,33.9,43.1,24.1,8.5,4.0,14.9,20.2,116.2,25.0,9.0,13.0,10.0,12.0,-1.14,-0.54,-1.68,111.5,112.6,-1.1,102.7,0.24,0.4,0.59,0.56,14.4,20.7,0.19,0.55,13.0,Chicago Bulls
0,23.0,241.1,41.8,92.1,0.45,10.9,30.1,0.36,30.9,62.0,0.5,16.8,21.4,0.78,9.3,35.8,45.2,25.1,7.0,5.0,11.0,17.1,111.2,42.5,89.9,0.47,12.8,32.8,0.39,29.7,57.0,0.52,14.0,19.2,0.73,9.4,38.6,48.0,24.7,6.0,6.1,13.8,19.0,111.8,26.8,13.0,10.0,11.0,12.0,-0.61,0.41,-0.2,110.1,110.7,-0.6,100.5,0.23,0.33,0.55,0.51,9.7,19.5,0.18,0.54,12.3,San Antonio Spurs
0,22.0,241.1,41.3,87.5,0.47,11.4,31.9,0.36,29.9,55.6,0.54,17.6,24.7,0.71,11.4,35.2,46.6,24.0,7.4,4.1,14.9,17.7,111.5,40.1,87.7,0.46,15.5,41.2,0.38,24.7,46.5,0.53,16.6,20.5,0.81,9.1,33.0,42.1,27.5,7.6,5.5,13.8,21.0,112.3,25.1,10.0,12.0,10.0,12.0,-0.77,0.49,-0.29,112.2,112.9,-0.7,99.0,0.28,0.36,0.57,0.54,13.2,25.6,0.2,0.55,12.5,New Orleans Pelicans
0,23.0,240.0,41.1,89.1,0.46,14.1,37.8,0.37,27.0,51.3,0.53,18.3,23.6,0.78,8.2,35.5,43.7,27.1,7.8,5.4,14.3,23.1,114.5,39.4,89.1,0.44,13.3,36.1,0.37,26.0,53.0,0.49,22.1,28.3,0.78,11.4,37.2,48.6,23.2,7.0,4.8,15.4,21.3,114.2,26.8,12.0,11.0,12.0,11.0,0.3,0.78,1.08,110.9,110.6,0.3,103.3,0.26,0.42,0.57,0.54,12.6,18.0,0.2,0.52,13.2,Golden State Warriors
0,22.0,241.1,39.5,87.0,0.45,13.0,38.1,0.34,26.4,48.9,0.54,15.5,21.2,0.73,7.3,36.9,44.1,22.6,7.2,4.8,14.8,17.6,107.5,43.2,93.4,0.46,13.5,37.4,0.36,29.7,56.0,0.53,14.0,18.5,0.76,10.3,38.2,48.5,25.0,8.2,4.0,13.1,19.0,113.9,23.8,10.0,12.0,7.0,15.0,-6.41,-0.06,-6.47,105.2,111.5,-6.3,101.7,0.24,0.44,0.56,0.53,13.3,16.0,0.18,0.54,11.5,Oklahoma City Thunder
0,18.0,241.4,42.4,91.8,0.46,10.9,30.9,0.35,31.4,60.8,0.52,14.1,18.1,0.78,10.6,34.6,45.1,28.1,9.9,5.5,13.9,18.7,109.8,40.4,87.2,0.46,12.7,33.2,0.38,27.8,54.0,0.51,16.2,21.5,0.76,9.8,35.1,44.9,25.7,8.1,6.3,16.1,17.1,109.8,24.7,9.0,9.0,9.0,9.0,0.0,0.64,0.64,109.0,109.0,0.0,100.1,0.2,0.34,0.55,0.52,12.2,23.1,0.15,0.54,14.2,Memphis Grizzlies
0,25.0,240.0,38.3,85.3,0.45,9.8,27.6,0.35,28.5,57.7,0.49,16.4,21.5,0.76,10.6,36.0,46.6,21.0,6.6,5.0,13.8,20.7,102.7,37.8,86.6,0.44,12.0,37.8,0.32,25.8,48.7,0.53,16.5,22.0,0.75,10.4,34.4,44.7,22.5,6.5,5.7,11.4,18.8,104.1,24.5,11.0,14.0,11.0,14.0,-1.4,0.16,-1.24,107.6,109.1,-1.5,95.5,0.25,0.32,0.54,0.51,12.7,23.6,0.19,0.51,10.6,New York Knicks
0,22.0,241.1,40.0,88.0,0.46,14.4,39.7,0.36,25.7,48.3,0.53,16.5,21.9,0.76,8.4,36.0,44.4,23.3,8.0,6.0,15.7,20.4,111.0,39.7,89.2,0.45,11.3,32.5,0.35,28.4,56.7,0.5,18.2,24.3,0.75,10.4,36.7,47.0,22.0,8.4,6.1,15.5,19.1,108.9,28.4,11.0,11.0,12.0,10.0,2.09,-0.94,1.15,108.0,106.0,2.0,102.2,0.25,0.45,0.57,0.54,13.8,18.6,0.19,0.51,13.5,Houston Rockets
0,24.0,242.1,42.5,89.3,0.48,12.4,33.9,0.37,30.1,55.3,0.54,15.7,20.5,0.76,8.7,33.9,42.5,26.8,8.5,5.9,13.8,20.6,113.1,41.0,88.7,0.46,12.9,32.9,0.39,28.1,55.8,0.5,16.9,22.0,0.77,10.5,34.8,45.3,25.3,7.3,5.8,15.2,18.4,111.9,26.8,12.0,12.0,13.0,11.0,1.17,0.44,1.6,112.1,110.9,1.2,100.0,0.23,0.38,0.57,0.55,12.3,20.0,0.18,0.54,13.4,Indiana Pacers
