Away, Away_Score, Home, Home_Score
Sacramento Kings, 119, Cleveland Cavaliers, 105
Oklahoma City Thunder, 112, Minnesota Timberwolves, 103
Charlotte Hornets, 100, San Antonio Spurs, 97
Utah Jazz, 120, Chicago Bulls, 95
Toronto Raptors, 99, Houston Rockets, 117
Boston Celtics, 126, Memphis Grizzlies, 132
Indiana Pacers, 113, Milwaukee Bucks, 140
Atlanta Hawks, 110, Los Angeles Clippers, 119
Denver Nuggets, 110, Orlando Magic, 99
Los Angeles Lakers, 111, New Orleans Pelicans, 128
Washington Wizards, 113, New York Knicks, 131
Phoenix Suns, 110, Miami Heat, 100
Philadelphia 76ers, 108, Golden State Warriors, 98
Brooklyn Nets, 116, Portland Trail Blazers, 112
Detroit Pistons, 111, Indiana Pacers, 116
Boston Celtics, 119, Milwaukee Bucks, 121
Denver Nuggets, 111, Toronto Raptors, 135
Cleveland Cavaliers, 103, Chicago Bulls, 94
Charlotte Hornets, 122, Houston Rockets, 97
Dallas Mavericks, 128, Minnesota Timberwolves, 108
Memphis Grizzlies, 116, Oklahoma City Thunder, 107
Phoenix Suns, 111, Orlando Magic, 112
Los Angeles Clippers, 134, San Antonio Spurs, 101
Atlanta Hawks, 108, Sacramento Kings, 110
Brooklyn Nets, 88, Utah Jazz, 118
Portland Trail Blazers, 125, Miami Heat, 122
Washington Wizards, 102, New York Knicks, 106
Los Angeles Clippers, 98, San Antonio Spurs, 85
Philadelphia 76ers, 109, Los Angeles Lakers, 101
Golden State Warriors, 119, Sacramento Kings, 141
Brooklyn Nets, 113, Detroit Pistons, 111
Boston Celtics, 122, Milwaukee Bucks, 114
Phoenix Suns, 104, Toronto Raptors, 100
Miami Heat, 105, Charlotte Hornets, 110
Houston Rockets, 101, Minnesota Timberwolves, 107
Denver Nuggets, 113, New Orleans Pelicans, 108
Portland Trail Blazers, 112, Orlando Magic, 105
Indiana Pacers, 109, Dallas Mavericks, 94
Memphis Grizzlies, 114, Utah Jazz, 117
Atlanta Hawks, 124, Golden State Warriors, 108
Cleveland Cavaliers, 86, Los Angeles Lakers, 100
New York Knicks, 102, Milwaukee Bucks, 96
Houston Rockets, 129, Minnesota Timberwolves, 107
Detroit Pistons, 92, Washington Wizards, 106
Chicago Bulls, 104, San Antonio Spurs, 120
Dallas Mavericks, 103, New Orleans Pelicans, 112
Boston Celtics, 111, Oklahoma City Thunder, 94
Memphis Grizzlies, 110, Utah Jazz, 126
Philadelphia 76ers, 112, Los Angeles Clippers, 122
Cleveland Cavaliers, 98, Sacramento Kings, 100
