TEAM,Milwaukee Bucks,Los Angeles Lakers,Toronto Raptors,Los Angeles Clippers,Boston Celtics,Denver Nuggets,Miami Heat,Utah Jazz,Dallas Mavericks,Houston Rockets,Oklahoma City Thunder,Indiana Pacers,Philadelphia 76ers,Memphis Grizzlies,Brooklyn Nets,Orlando Magic,Portland Trail Blazers,New Orleans Pelicans,Sacramento Kings,San Antonio Spurs,Phoenix Suns,Washington Wizards,Charlotte Hornets,Chicago Bulls,New York Knicks,Atlanta Hawks,Detroit Pistons,Cleveland Cavaliers,Minnesota Timberwolves,Golden State Warriors
OFFRTG,112.3,112.6,111.3,112.9,112.3,112,112.2,112.1,115.8,113.4,111,109.7,109.7,108.9,107.8,107.5,112,110.6,109,111.3,110.2,111.1,105.9,105.8,105.9,107,108.8,106.9,107.6,104.4
DEFRTG,101.6,105.5,104.9,106.6,106.2,108.9,109.2,108.8,110,109.9,108.4,107.7,107.6,109.9,108.3,108.7,113.6,111.6,110.8,112.8,111.3,115,112.8,108.9,112.4,114.4,112.3,114.8,111.6,113
NETRTG,10.7,7.1,6.4,6.4,6.1,3.1,3,3.3,5.8,3.4,2.5,2,2.1,-1,-0.6,-1.2,-1.5,-1,-1.7,-1.5,-1,-3.9,-7,-3.1,-6.5,-7.4,-3.5,-7.9,-4,-8.6
AST%,59.5,60.3,62.6,57.3,55.4,63.4,65.6,55.2,58.8,52.2,54.3,61.5,63.4,63.2,60.2,61.1,48.2,63.3,58,58.4,66.6,60.4,63.9,58.7,55.2,58.9,61.2,57.3,59,66.3
AST/TO,1.74,1.71,1.76,1.61,1.67,1.94,1.74,1.49,1.91,1.46,1.63,1.98,1.82,1.77,1.55,1.9,1.55,1.66,1.62,2,1.8,1.8,1.63,1.5,1.54,1.48,1.58,1.4,1.55,1.72
AST RATIO,18.1,18.3,18.2,16.9,16.6,19,18.8,16.7,17.6,15.5,16.5,18.9,18.6,18.8,17,17.6,15,18.4,17.3,17.9,19.1,17.8,17.7,16.9,16,16.9,17.7,16.8,16.7,18.2
OREB%,24.1,28.4,25.9,28.4,28.4,29.4,25.9,25.8,27.5,26.1,23.9,24.6,27.8,27.4,28.4,26.8,26.3,28.8,25.6,22.8,26.1,26,28,26.7,30,26.7,27.7,29.6,26.4,25.5
DREB%,77.6,73.4,71.5,73.4,73.2,72.8,75.6,74.7,73.8,71.4,72.8,72.1,75.4,73,73.7,74.8,71,73.1,73.5,75.1,72.8,70.8,70.6,71.9,74.2,70.8,71.7,73.8,73.1,72.2
REB%,52.4,51.4,49.4,51.5,50.9,51,51.6,51.2,51,48.7,49.2,49,51.5,50.7,51.4,49.9,49.1,50.9,49,49.1,49.4,47.6,48.6,48.1,51.3,48.4,49.3,51.2,48.8,48.1
TOV%,14.1,14.9,14.2,14.4,13.6,13.9,14.9,15,12.7,14.1,13.5,13.2,14.2,14.8,15.1,12.7,12.8,15.4,14.4,12.1,14.8,13.5,15,15.3,14.3,15.5,15.5,16.5,14.6,14.6
EFG%,55.3,54.8,53.6,53.2,52.9,53.2,54.9,55.2,54.8,53.9,53.4,53.3,53,53,51.5,50.3,53,53.8,53.1,52.9,52.8,52.8,50.4,51.5,50.1,51.5,52.9,52.2,51.4,49.7
TS%,58.3,57.7,57.4,57.4,56.7,56.4,58.7,58.7,58.1,57.8,57.7,56.5,56.2,56.1,55,54,56.6,56.7,56.3,56.9,57.2,56.8,53.9,54.7,53.1,55.4,56.1,55.3,55.1,54
PACE,105.36,101.11,100.87,102.39,99.78,97.66,98.46,98.95,99.78,103.62,99.21,99.05,99.38,103.26,101.51,98.7,101.15,103.96,99.08,100.6,101.76,103.52,96.24,100.46,99.11,103.28,97.86,99.17,103.94,101.04
PIE,56.8,54.9,53.1,53.1,53.1,52,52.6,51.8,52.6,49.7,52.5,51.9,52.5,50.8,50,49.8,48.3,49.7,47.8,49.8,50.4,47.8,45.5,46.6,46.1,45.4,47.3,45.3,47.2,46.2
