TEAM,Milwaukee Bucks,Los Angeles Lakers,Toronto Raptors,Los Angeles Clippers,Boston Celtics,Denver Nuggets,Miami Heat,Utah Jazz,Dallas Mavericks,Houston Rockets,Oklahoma City Thunder,Indiana Pacers,Philadelphia 76ers,Memphis Grizzlies,Brooklyn Nets,Orlando Magic,Portland Trail Blazers,New Orleans Pelicans,Sacramento Kings,San Antonio Spurs,Phoenix Suns,Washington Wizards,Charlotte Hornets,Chicago Bulls,New York Knicks,Atlanta Hawks,Detroit Pistons,Cleveland Cavaliers,Minnesota Timberwolves,Golden State Warriors
OPP FGM,38.7,39,37.9,39.4,38.3,39.6,38.9,40.3,41.4,42.2,41.1,39.5,39.6,40.8,41.2,40.1,41.6,42.9,39.9,42.2,41.4,43.4,41.7,39.5,39.9,43.3,41.9,43.9,43.1,42.2
OPP FGA,93.8,87.7,88.5,90.3,86.8,86.2,87,89.3,91.2,91.5,90,88.1,85.6,90.7,93.3,86.6,92.1,92.2,85.3,89.9,87.2,88.6,87.5,82.5,86,90.7,87.3,89.4,90.4,88.6
OPP FG%,41.3,44.4,42.9,43.6,44.2,45.9,44.7,45.2,45.4,46.1,45.6,44.8,46.2,45,44.2,46.3,45.1,46.5,46.8,46.9,47.5,49,47.6,47.9,46.3,47.8,48,49.1,47.7,47.6
OPP 3PM,13.7,11.3,13,12,11.8,11.6,13.1,11.1,11.8,12.3,11.4,11.4,10.2,12.8,12.1,12.4,13.3,12.1,12.3,13.1,11.8,12.5,12.4,11.2,13.3,11.9,10.7,12.4,11.6,13.5
OPP 3PA,38.6,33,38.5,35.2,34.5,33.6,38,31.6,34.3,35.2,33.2,33.2,28.9,35.2,34.6,33.4,35.2,33.9,34.6,34.9,32.2,33.1,35.1,31.6,34.9,32.7,29.6,33,31.9,34.8
OPP 3P%,35.6,34.2,33.7,34.1,34.2,34.6,34.6,35.1,34.5,34.8,34.4,34.5,35.4,36.3,35,37,37.7,35.5,35.5,37.6,36.8,37.8,35.2,35.3,38.1,36.3,36.1,37.5,36.3,38.9
OPP FTM,16.2,17.7,17.7,18.9,18.4,16.7,18.1,16.1,15.6,17.8,14.8,17,18,19.3,16.9,14.8,18.8,19.1,18.9,17.4,19.3,20.3,14,19.7,19.2,21.2,16.2,14.7,19.7,17.1
OPP FTA,20.6,22.8,23,24.8,24.2,22.1,23.3,20.9,20.7,23.3,18.6,21.6,24.3,24.5,22.1,19.1,24.3,24.4,23.8,22.7,24.7,26.3,18.4,26,25.7,27.4,20.9,19.2,25.2,21.9
OPP FT%,78.4,77.4,76.8,76.2,76.1,75.6,77.6,76.9,75.7,76.1,79.5,78.9,74.2,78.6,76.3,77.2,77.3,78.2,79.3,77,78.1,77.2,75.8,75.9,74.9,77.2,77.7,76.7,78.3,78.3
OPP OREB,9.4,9.8,11.2,10.9,10.2,10,9.2,9.6,10.6,11.1,10.4,10.1,8.6,10.5,10.8,9.1,11.8,10,9,9.4,9.2,10.6,10.9,10.2,9.6,11.2,10.1,9.7,10.1,10.2
OPP DREB,36.3,32.5,35.1,34.6,34,32.8,33,33,34.7,35.9,34,34.6,33.3,34.5,35.2,36,35.7,35.1,34.5,36.3,34.4,35.7,35,35.4,34.6,35.9,33.4,33.1,37.2,36.3
OPP REB,45.7,42.3,46.3,45.5,44.3,42.8,42.2,42.6,45.3,47,44.4,44.7,41.9,45,46,45.1,47.5,45.1,43.5,45.7,43.6,46.3,46,45.5,44.2,47,43.5,42.9,47.3,46.5
OPP AST,23.8,23.2,25.6,23.6,22.2,25,24.7,21.2,23.8,25.3,23.1,23.2,22.7,24.8,22.4,24.5,24.7,24.6,24.5,25.7,23.8,25.3,26.6,25.4,24.3,25,24.6,26.1,24.4,26.1
OPP TOV,14.3,15.7,16.8,14.2,15.3,14.3,13.7,12,12.2,15.8,14,14.4,14,14.6,12.6,14.8,12.7,14.5,15.1,13,16,16.3,14.4,18.3,13.7,15,14,13,15.5,15.6
OPP STL,7.4,8.2,7,7.9,7,7.1,7.5,7.8,7.1,7.9,6.7,6.8,7,7.9,7.8,7,6.8,8.6,7.8,6.7,8.1,7.5,8,8.2,7.2,9,8.2,9.4,7.8,8.2
OPP BLK,4.6,3.7,5.3,4.9,5.6,4.5,4.2,4.6,4,4.9,4.1,4.5,3.9,5.3,5.3,4.8,5,4.8,4.3,4.4,5.6,5,5,5.9,5,6.4,5.6,6.3,5.5,4.9
