TEAM,Milwaukee Bucks,Los Angeles Lakers,Toronto Raptors,Los Angeles Clippers,Boston Celtics,Denver Nuggets,Utah Jazz,Miami Heat,Houston Rockets,Oklahoma City Thunder,Indiana Pacers,Philadelphia 76ers,Dallas Mavericks,Memphis Grizzlies,Brooklyn Nets,Orlando Magic,Portland Trail Blazers,New Orleans Pelicans,Sacramento Kings,San Antonio Spurs,Phoenix Suns,Washington Wizards,Charlotte Hornets,Chicago Bulls,New York Knicks,Detroit Pistons,Atlanta Hawks,Minnesota Timberwolves,Cleveland Cavaliers,Golden State Warriors
MIN,48.2,48.2,48.3,48.2,48.4,48.5,48.1,48.7,48.2,48.3,48.3,48.2,48.3,48.1,48.6,48.1,48.2,48.5,48.5,48.6,48.2,48.2,48.5,48.2,48.4,48.4,48.6,48.6,48.4,48.4
PTS,118.6,114.3,113,116.2,113,110.4,111,112.2,118.1,110.8,109.3,109.6,116.4,112.6,110.8,106.4,113.6,116.2,109,113.2,112.6,115.6,102.9,106.8,105.8,107.2,111.8,113.3,106.9,106.3
FGM,43.5,42.9,40.6,41.6,41.2,41.8,40.1,39.6,41.1,40.3,42.2,40.8,41.6,42.8,40,39.2,41.9,42.6,40.4,42,40.8,41.9,37.3,39.6,40,39.3,40.6,40.4,40.3,38.6
FGA,91.2,88.6,88.5,89.7,89.6,88.9,84.6,84.4,90.7,85.1,88.4,87.7,90,91,90,88.8,90.9,92.2,87.8,89.5,87.8,91,85.9,88.6,89.3,85.7,90.6,91.6,87.9,88.2
FG%,47.7,48.5,45.8,46.4,45.9,47.1,47.5,47,45.4,47.3,47.7,46.5,46.2,47,44.4,44.2,46.1,46.2,45.9,47,46.4,46.1,43.4,44.7,44.7,45.9,44.9,44.1,45.8,43.8
3PM,13.7,11.2,13.8,12.2,12.4,10.9,13.2,13.4,15.4,10.4,10,11.4,15.3,10.9,12.9,10.9,12.6,14,12.6,10.7,11.2,12.3,12.1,12.2,9.6,12,12,13.3,11.2,10.4
3PA,38.6,31.4,37,33.2,34.2,30.4,34.4,34.8,44.3,29.3,27.5,31.6,41.5,31.1,37.9,32,33.8,37.6,34.7,28.7,31.7,33.1,34.3,35.1,28.4,32.7,36.1,39.7,31.8,31.3
3P%,35.6,35.5,37.1,36.6,36.3,35.8,38.3,38.3,34.8,35.5,36.3,36.2,36.9,35.2,34,34.1,37.2,37.2,36.4,37.1,35.3,37.2,35.2,34.8,33.7,36.7,33.3,33.6,35.1,33.4
FTM,17.8,17.3,18.1,20.8,18.3,15.9,17.6,19.5,20.5,19.8,15.1,16.6,17.9,16.2,18,17,17.3,16.9,15.6,18.4,19.8,19.5,16.2,15.5,16.3,16.6,18.5,19.1,15.1,18.7
FTA,24,23.7,22.6,26.2,22.8,20.5,22.8,25.1,26,24.8,19.1,22.1,23.1,21.3,24.1,22.1,21.7,23.2,20.3,22.8,24,24.8,21.6,20.5,23.5,22.4,23.4,25.4,19.9,23.2
FT%,74.2,73,80,79.2,80.1,77.5,77.2,77.8,78.7,79.7,78.7,75.2,77.3,76.1,74.4,77,79.8,72.9,76.9,80.9,82.6,78.7,74.8,75.5,69.4,74.3,79,75.3,75.8,80.3
OREB,9.5,10.6,9.7,11,10.7,10.8,8.8,8.5,10.4,8.1,8.8,10.4,10.6,10.4,10.8,10.4,10.1,11.2,9.6,8.8,9.8,10.1,11,10.5,12,9.8,9.9,10.5,10.8,10
DREB,42.2,35.5,35.5,37,35.3,33.5,36.3,36,34.6,34.6,34,35.1,36.4,36.3,37.6,34.2,35.4,35.8,32.9,35.6,33.3,31.6,31.8,31.4,34.5,32,33.4,34.3,33.4,32.9
REB,51.7,46.1,45.2,48,46,44.3,45.1,44.5,44.9,42.7,42.8,45.5,47,46.7,48.5,44.5,45.5,47,42.5,44.4,43.1,41.7,42.8,41.9,46.5,41.7,43.3,44.8,44.2,42.8
AST,25.9,25.9,25.4,23.8,22.8,26.5,22.2,26,21.5,21.9,25.9,25.9,24.5,27,24,24,20.2,27,23.4,24.5,27.2,25.3,23.8,23.2,22.1,24.1,24,23.8,23.1,25.6
TOV,14.9,15.1,14.4,14.8,13.6,13.7,14.9,14.9,14.7,13.5,13.1,14.2,12.8,15.3,15.5,12.6,13,16.2,14.4,12.3,15.1,14.1,14.6,15.5,14.3,15.3,16.2,15.3,16.5,14.9
STL,7.4,8.6,8.8,7.1,8.3,8.1,5.9,7.4,8.5,7.6,7.2,8.2,6.3,8,6.5,8.4,6.1,7.6,7.6,7.2,7.8,8.1,6.6,10,7.6,7.4,7.8,8.7,6.9,8.2
BLK,6,6.8,4.9,5,5.6,4.6,4,4.5,5.1,5,5.1,5.4,5,5.6,4.6,5.7,6.2,5.1,4.2,5.5,4,4.3,4.1,4.1,4.7,4.5,5.1,5.7,3.2,4.6
BLKA,4.6,3.7,5.3,4.9,5.6,4.5,4.6,4.2,4.9,4.1,4.5,3.9,4,5.3,5.3,4.8,5,4.8,4.3,4.4,5.6,5,5,5.9,5,5.6,6.4,5.5,6.3,4.9
PF,19.2,20.6,21.5,22,21.4,20,20,20.4,21.6,18.8,19.6,20.6,19,20.8,20.7,17.6,21.4,21,21.9,19.2,22.1,22.6,18.8,21.8,22.2,19.7,23.1,21.4,18.3,20.1
PFD,21.3,21.4,20,22.8,20.6,20,20.6,21.5,20.8,22.8,18.6,20.3,20.8,19.7,20.9,19.2,19.7,20.6,19.3,19.7,22.8,22.4,20.6,19.2,19.8,19.8,21,21.6,19.6,20.1
