TEAM,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,POSS,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Toronto Raptors 10/22/2019,130,42,103,40.8,14,40,35.0,32,38,84.2,16,41,57,23,17,7,3,9,24,34,8,113.0,108.9,4.1,54.8,1.35,14.2,40.0,72.9,55.6,14.8,47.6,54.3,102.79,53.1,115,47.6,0.369,14.8,40.0,22,19,20,56,61.2,38.8,43.1,0.0,32.3,15.4,24.6,16.9,43.1,35.7,64.3,92.9,7.1,54.8,45.2
New Orleans Pelicans 10/22/2019,122,43,102,42.2,19,45,42.2,17,20,85.0,16,37,53,30,19,4,9,3,34,24,-8,108.9,113.0,-4.1,69.8,1.58,19.0,27.1,60.0,44.4,17.0,51.5,55.1,102.79,46.9,112,51.5,0.196,17.0,27.1,20,9,13,38,55.9,44.1,39.3,8.2,46.7,10.7,13.9,16.4,31.1,58.3,41.7,84.2,15.8,69.8,30.2
Los Angeles Clippers 10/22/2019,112,42,81,51.9,11,31,35.5,17,24,70.8,11,34,45,24,14,8,5,7,25,24,10,115.5,105.2,10.3,57.1,1.71,18.2,25.6,72.0,50.5,14.4,58.6,61.2,97.00,58.0,97,58.6,0.296,14.4,25.6,25,12,22,42,61.7,38.3,55.4,17.9,29.5,19.6,15.2,22.3,37.5,45.2,54.8,90.9,9.1,57.1,42.9
Los Angeles Lakers 10/22/2019,102,37,85,43.5,13,33,39.4,15,21,71.4,9,32,41,20,15,4,7,5,24,25,-10,105.2,115.5,-10.3,54.1,1.33,15.3,28.0,74.4,49.5,15.5,51.2,54.1,97.00,42.0,97,51.2,0.247,15.5,28.0,17,6,5,40,61.2,38.8,47.1,7.8,38.2,4.9,14.7,16.7,39.2,29.2,70.8,100,0.0,54.1,45.9
Charlotte Hornets 10/23/2019,126,45,88,51.1,23,44,52.3,13,16,81.3,9,32,41,28,19,3,4,4,18,20,1,120.0,120.2,-0.2,62.2,1.47,19.3,27.3,59.6,45.5,18.1,64.2,66.3,104.50,50.6,105,64.2,0.182,18.1,27.3,13,12,25,42,50.0,50.0,34.9,1.6,54.8,19.8,10.3,10.3,33.3,36.4,63.6,87.0,13.0,62.2,37.8
Chicago Bulls 10/23/2019,125,49,105,46.7,9,30,30.0,18,22,81.8,20,29,49,25,12,11,4,4,20,18,-1,120.2,120.0,0.2,51.0,2.08,16.4,40.4,72.7,54.5,11.5,51.0,54.5,104.50,49.4,104,51.0,0.210,11.5,40.4,29,17,21,78,71.4,28.6,64.0,1.6,21.6,16.8,14.4,23.2,62.4,42.5,57.5,88.9,11.1,51.0,49.0
Indiana Pacers 10/23/2019,110,41,89,46.1,8,21,38.1,20,24,83.3,10,26,36,26,15,8,6,6,28,21,-9,106.8,115.5,-8.7,63.4,1.73,18.3,26.0,72.5,46.7,14.6,50.6,55.2,103.00,43.0,103,50.6,0.270,14.6,26.0,17,19,8,50,76.4,23.6,60.0,14.5,21.8,7.3,18.2,15.5,45.5,60.6,39.4,75.0,25.0,63.4,36.6
Detroit Pistons 10/23/2019,119,41,78,52.6,11,24,45.8,26,33,78.8,10,35,45,26,18,5,6,6,21,28,9,115.5,106.8,8.7,63.4,1.44,18.6,27.5,74.0,53.3,17.5,59.6,64.3,103.00,57.0,103,59.6,0.423,17.5,27.5,14,17,12,46,69.2,30.8,50.4,11.8,27.7,10.1,21.8,11.8,38.7,53.3,46.7,90.9,9.1,63.4,36.6
Orlando Magic 10/23/2019,94,37,86,43.0,9,30,30.0,11,19,57.9,7,39,46,24,13,12,4,2,18,15,9,94.0,85.0,9.0,64.9,1.85,18.0,16.7,77.6,48.2,13.0,48.3,49.8,100.00,54.6,100,48.3,0.221,13.0,16.7,11,8,14,50,65.1,34.9,59.6,6.4,28.7,14.9,11.7,11.7,53.2,60.7,39.3,77.8,22.2,64.9,35.1
Cleveland Cavaliers 10/23/2019,85,33,88,37.5,9,34,26.5,10,15,66.7,10,44,54,20,16,8,2,4,15,18,-9,85.0,94.0,-9.0,60.6,1.25,15.0,22.4,83.3,51.8,16.0,42.6,44.9,100.00,45.4,100,42.6,0.170,16.0,22.4,11,7,10,42,61.4,38.6,56.5,7.1,31.8,11.8,11.8,12.9,49.4,54.2,45.8,77.8,22.2,60.6,39.4
Brooklyn Nets 10/23/2019,126,48,101,47.5,15,34,44.1,15,26,57.7,10,38,48,19,16,8,9,4,30,22,-1,107.7,106.7,1.0,39.6,1.19,12.8,22.0,72.6,47.9,13.7,55.0,56.0,106.87,46.5,117,55.0,0.257,13.7,22.0,14,8,20,60,66.3,33.7,52.4,4.8,35.7,15.9,11.9,11.1,47.6,30.3,69.7,60.0,40.0,39.6,60.4
Minnesota Timberwolves 10/23/2019,127,46,108,42.6,13,43,30.2,22,28,78.6,12,40,52,23,13,9,4,9,22,30,1,106.7,107.7,-1.0,50.0,1.77,14.5,27.4,78.0,52.1,10.9,48.6,52.8,106.87,53.5,119,48.6,0.259,10.9,27.4,15,14,8,60,60.2,39.8,52.0,4.7,30.7,6.3,17.3,11.8,47.2,36.4,63.6,84.6,15.4,50.0,50.0
Miami Heat 10/23/2019,120,40,85,47.1,7,18,38.9,33,39,84.6,11,40,51,18,21,9,8,7,33,31,19,105.3,88.6,16.7,45.0,0.86,12.5,25.5,75.0,52.4,18.4,51.2,58.7,114.00,62.5,114,51.2,0.459,18.4,25.5,24,16,12,60,78.8,21.2,55.0,5.0,17.5,10.0,27.5,20.0,50.0,42.4,57.6,57.1,42.9,45.0,55.0
Memphis Grizzlies 10/23/2019,101,38,89,42.7,5,32,15.6,20,30,66.7,9,31,40,22,24,9,7,8,31,33,-19,88.6,105.3,-16.7,57.9,0.92,14.7,25.0,74.5,47.6,21.1,45.5,49.4,114.00,37.5,114,45.5,0.337,21.1,25.0,24,15,20,56,64.0,36.0,65.3,9.9,14.9,19.8,19.8,23.8,55.4,57.6,42.4,60.0,40.0,57.9,42.1
Philadelphia 76ers 10/23/2019,107,37,85,43.5,7,29,24.1,26,36,72.2,12,50,62,24,17,6,7,2,34,29,14,103.9,90.3,13.6,64.9,1.41,16.6,34.6,77.3,58.5,16.5,47.6,53.1,103.00,68.1,103,47.6,0.424,16.5,34.6,11,17,14,58,65.9,34.1,56.1,1.9,19.6,13.1,24.3,10.3,54.2,56.7,43.3,100,0.0,64.9,35.1
Boston Celtics 10/23/2019,93,33,90,36.7,7,26,26.9,20,34,58.8,10,31,41,18,11,4,2,7,29,34,-14,90.3,103.9,-13.6,54.5,1.64,13.2,22.7,65.4,41.5,10.7,40.6,44.3,103.00,31.9,103,40.6,0.378,10.7,22.7,20,16,8,44,71.1,28.9,55.9,8.6,22.6,8.6,21.5,21.5,47.3,53.8,46.2,57.1,42.9,54.5,45.5
Dallas Mavericks 10/23/2019,108,35,76,46.1,11,36,30.6,27,33,81.8,5,41,46,17,20,6,5,3,22,32,8,103.8,96.2,7.7,48.6,0.85,13.2,18.2,74.1,50.0,19.2,53.3,59.7,104.00,56.8,104,53.3,0.434,19.2,18.2,18,12,14,36,52.6,47.4,44.4,11.1,30.6,13.0,25.0,16.7,33.3,37.5,62.5,72.7,27.3,48.6,51.4
Washington Wizards 10/23/2019,100,37,93,39.8,11,41,26.8,15,18,83.3,11,36,47,26,17,6,3,5,32,22,-8,96.2,103.8,-7.7,70.3,1.53,17.9,25.9,81.8,50.0,16.3,45.7,49.5,104.00,43.2,104,45.7,0.194,16.3,25.9,17,19,20,44,55.9,44.1,52.0,8.0,33.0,20.0,15.0,17.0,44.0,61.5,38.5,90.9,9.1,70.3,29.7
San Antonio Spurs 10/23/2019,120,42,83,50.6,7,21,33.3,29,36,80.6,10,41,51,22,21,6,5,1,18,32,9,110.1,100.9,9.2,52.4,1.05,15.6,22.2,86.3,56.3,19.3,54.8,60.7,109.50,55.7,109,54.8,0.434,19.3,22.2,16,15,30,54,74.7,25.3,58.3,13.3,17.5,25.0,24.2,13.3,45.0,42.9,57.1,100,0.0,52.4,47.6
New York Knicks 10/23/2019,111,44,94,46.8,10,30,33.3,13,18,72.2,5,34,39,24,14,16,1,5,32,18,-9,100.9,110.1,-9.2,54.5,1.71,17.1,13.7,77.8,43.8,12.7,52.1,54.5,109.50,44.3,110,52.1,0.191,12.7,13.7,32,6,29,58,68.1,31.9,61.3,9.0,27.0,26.1,11.7,28.8,52.3,44.1,55.9,90.0,10.0,54.5,45.5
