Away, Away_Score, Home, Home_Score
Minnesota Timberwolves, 106, Los Angeles Clippers, 118
New York Knicks, 92, Indiana Pacers, 85
Miami Heat, 102, Orlando Magic, 89
Golden State Warriors, 131, Cleveland Cavaliers, 112
Brooklyn Nets, 107, Washington Wizards, 113
Philadelphia 76ers, 95, Boston Celtics, 116
Atlanta Hawks, 100, Dallas Mavericks, 123
Charlotte Hornets, 90, San Antonio Spurs, 114
Los Angeles Lakers, 129, Sacramento Kings, 113
Utah Jazz, 107, Portland Trail Blazers, 124
Denver Nuggets, 123, Detroit Pistons, 128
New Orleans Pelicans, 109, Houston Rockets, 117
Phoenix Suns, 108, Milwaukee Bucks, 129
Chicago Bulls, 102, Toronto Raptors, 129
Orlando Magic, 112, Charlotte Hornets, 100
New York Knicks, 139, Cleveland Cavaliers, 134
Dallas Mavericks, 112, Indiana Pacers, 103
Golden State Warriors, 125, Washington Wizards, 117
Boston Celtics, 123, Atlanta Hawks, 115
Phoenix Suns, 97, Brooklyn Nets, 119
Philadelphia 76ers, 106, Miami Heat, 137
Detroit Pistons, 82, Memphis Grizzlies, 96
Minnesota Timberwolves, 109, Sacramento Kings, 113
San Antonio Spurs, 105, Los Angeles Clippers, 108
Milwaukee Bucks, 120, New Orleans Pelicans, 108
Charlotte Hornets, 110, Houston Rockets, 125
Portland Trail Blazers, 99, Denver Nuggets, 127
San Antonio Spurs, 102, Los Angeles Lakers, 129
Phoenix Suns, 108, Detroit Pistons, 116
Orlando Magic, 100, Boston Celtics, 116
Golden State Warriors, 88, Brooklyn Nets, 129
Indiana Pacers, 118, Toronto Raptors, 119
Atlanta Hawks, 127, Minnesota Timberwolves, 120
Cleveland Cavaliers, 103, Oklahoma City Thunder, 109
Memphis Grizzlies, 121, Dallas Mavericks, 107
Denver Nuggets, 98, Utah Jazz, 95
Miami Heat, 111, Los Angeles Clippers, 128
Orlando Magic, 103, New York Knicks, 105
New Orleans Pelicans, 125, Chicago Bulls, 119
Philadelphia 76ers, 101, Milwaukee Bucks, 112
San Antonio Spurs, 117, Portland Trail Blazers, 125
Houston Rockets, 121, Los Angeles Lakers, 111
Memphis Grizzlies, 107, Philadelphia 76ers, 119
Dallas Mavericks, 118, Washington Wizards, 119
Atlanta Hawks, 107, Boston Celtics, 112
Toronto Raptors, 115, Indiana Pacers, 106
Detroit Pistons, 101, Oklahoma City Thunder, 108
Houston Rockets, 91, Phoenix Suns, 127
Miami Heat, 97, Sacramento Kings, 105
Portland Trail Blazers, 114, Utah Jazz, 117
Milwaukee Bucks, 111, Orlando Magic, 95
Dallas Mavericks, 116, Charlotte Hornets, 100
New York Knicks, 95, Detroit Pistons, 92
New Orleans Pelicans, 124, Indiana Pacers, 117
Brooklyn Nets, 118, Toronto Raptors, 119
Los Angeles Clippers, 115, Minnesota Timberwolves, 142
Los Angeles Lakers, 125, Golden State Warriors, 120
Denver Nuggets, 117, Phoenix Suns, 108
San Antonio Spurs, 102, Sacramento Kings, 122
Boston Celtics, 112, Oklahoma City Thunder, 111
New York Knicks, 135, Atlanta Hawks, 140
Chicago Bulls, 111, Philadelphia 76ers, 118
Memphis Grizzlies, 106, Washington Wizards, 99
Utah Jazz, 114, Houston Rockets, 113
Los Angeles Clippers, 133, Cleveland Cavaliers, 92
Miami Heat, 109, Portland Trail Blazers, 115
Charlotte Hornets, 87, Detroit Pistons, 76
Brooklyn Nets, 106, Indiana Pacers, 105
Atlanta Hawks, 126, Orlando Magic, 135
Minnesota Timberwolves, 126, Toronto Raptors, 137
Sacramento Kings, 111, Milwaukee Bucks, 123
Utah Jazz, 123, Dallas Mavericks, 119
San Antonio Spurs, 120, Denver Nuggets, 127
Miami Heat, 113, Golden State Warriors, 101
Phoenix Suns, 100, Los Angeles Lakers, 125
Los Angeles Clippers, 103, Philadelphia 76ers, 110
Chicago Bulls, 114, Washington Wizards, 126
Portland Trail Blazers, 117, New Orleans Pelicans, 138
San Antonio Spurs, 114, Oklahoma City Thunder, 106
Boston Celtics, 105, Houston Rockets, 116
Atlanta Hawks, 105, Cleveland Cavaliers, 127
Detroit Pistons, 112, Orlando Magic, 116
Toronto Raptors, 91, Brooklyn Nets, 101
Milwaukee Bucks, 111, Indiana Pacers, 118
Washington Wizards, 114, New York Knicks, 96
Portland Trail Blazers, 104, Memphis Grizzlies, 111
Charlotte Hornets, 115, Minnesota Timberwolves, 108
Sacramento Kings, 111, Dallas Mavericks, 130
Golden State Warriors, 106, Phoenix Suns, 112
Miami Heat, 101, Utah Jazz, 116
Los Angeles Lakers, 120, Denver Nuggets, 116
Los Angeles Clippers, 133, Boston Celtics, 141
Oklahoma City Thunder, 123, New Orleans Pelicans, 118
Milwaukee Bucks, 126, Detroit Pistons, 106
Miami Heat, 124, Atlanta Hawks, 129
Charlotte Hornets, 103, Chicago Bulls, 93
Brooklyn Nets, 104, Philadelphia 76ers, 112
Memphis Grizzlies, 125, Sacramento Kings, 129
Houston Rockets, 135, Golden State Warriors, 105
Dallas Mavericks, 122, Orlando Magic, 106
Cleveland Cavaliers, 113, Washington Wizards, 108
Indiana Pacers, 106, New York Knicks, 98
Phoenix Suns, 101, Toronto Raptors, 118
Boston Celtics, 127, Minnesota Timberwolves, 117
Denver Nuggets, 101, Oklahoma City Thunder, 113
San Antonio Spurs, 113, Utah Jazz, 104
Memphis Grizzlies, 105, Los Angeles Lakers, 117
New Orleans Pelicans, 128, Portland Trail Blazers, 115
Sacramento Kings, 112, Los Angeles Clippers, 103
Brooklyn Nets, 115, Charlotte Hornets, 86
Dallas Mavericks, 107, Atlanta Hawks, 111
Phoenix Suns, 112, Chicago Bulls, 104
Cleveland Cavaliers, 105, Miami Heat, 124
Philadelphia 76ers, 98, Milwaukee Bucks, 119
Houston Rockets, 120, Utah Jazz, 110
Boston Celtics, 112, Los Angeles Lakers, 114
Minnesota Timberwolves, 116, Denver Nuggets, 128
Indiana Pacers, 81, Toronto Raptors, 127
Washington Wizards, 117, Chicago Bulls, 126
San Antonio Spurs, 103, Oklahoma City Thunder, 131
New Orleans Pelicans, 115, Golden State Warriors, 101
Detroit Pistons, 104, Portland Trail Blazers, 107
Miami Heat, 119, Cleveland Cavaliers, 125
Atlanta Hawks, 112, Philadelphia 76ers, 129
Milwaukee Bucks, 137, Washington Wizards, 134
Orlando Magic, 115, Brooklyn Nets, 113
New York Knicks, 112, Houston Rockets, 123
Minnesota Timberwolves, 123, Dallas Mavericks, 139
Phoenix Suns, 131, Utah Jazz, 111
Memphis Grizzlies, 97, Los Angeles Clippers, 124
Charlotte Hornets, 80, Indiana Pacers, 119
Milwaukee Bucks, 108, Toronto Raptors, 97
Oklahoma City Thunder, 124, Chicago Bulls, 122
Detroit Pistons, 98, Denver Nuggets, 115
New Orleans Pelicans, 109, Los Angeles Lakers, 118
Boston Celtics, 118, Portland Trail Blazers, 106
Sacramento Kings, 112, Golden State Warriors, 94
New York Knicks, 101, Charlotte Hornets, 107
Philadelphia 76ers, 94, Cleveland Cavaliers, 108
Brooklyn Nets, 106, Washington Wizards, 110
Orlando Magic, 130, Atlanta Hawks, 120
Minnesota Timberwolves, 129, Miami Heat, 126
Memphis Grizzlies, 112, Houston Rockets, 140
Dallas Mavericks, 109, San Antonio Spurs, 103
Los Angeles Clippers, 102, Phoenix Suns, 92
Boston Celtics, 114, Utah Jazz, 103
New York Knicks, 106, Philadelphia 76ers, 115
Portland Trail Blazers, 100, Indiana Pacers, 106
Sacramento Kings, 108, Oklahoma City Thunder, 112
Los Angeles Lakers, 116, Golden State Warriors, 86
Minnesota Timberwolves, 125, Orlando Magic, 136
Brooklyn Nets, 118, Atlanta Hawks, 141
Charlotte Hornets, 99, Toronto Raptors, 96
Sacramento Kings, 104, Memphis Grizzlies, 101
Dallas Mavericks, 118, Miami Heat, 126
Oklahoma City Thunder, 86, Milwaukee Bucks, 133
Cleveland Cavaliers, 104, New Orleans Pelicans, 116
Detroit Pistons, 113, Phoenix Suns, 111
Washington Wizards, 119, Utah Jazz, 129
Denver Nuggets, 103, Los Angeles Clippers, 132
Chicago Bulls, 115, New York Knicks, 125
Portland Trail Blazers, 117, Atlanta Hawks, 129
Brooklyn Nets, 113, Miami Heat, 116
Indiana Pacers, 113, Cleveland Cavaliers, 104
Los Angeles Lakers, 88, Memphis Grizzlies, 105
Houston Rockets, 111, Boston Celtics, 110
Orlando Magic, 113, San Antonio Spurs, 114
Golden State Warriors, 115, Phoenix Suns, 99
