Away, Away_Score, Home, Home_Score
Milwaukee Bucks, 93, Charlotte Hornets, 85
Philadelphia 76ers, 130, Los Angeles Clippers, 136
Dallas Mavericks, 111, Minnesota Timberwolves, 91
Toronto Raptors, 118, Denver Nuggets, 133
Detroit Pistons, 100, Sacramento Kings, 106
Los Angeles Lakers, 122, New Orleans Pelicans, 114
Washington Wizards, 124, Golden State Warriors, 110
Utah Jazz, 126, Cleveland Cavaliers, 113
Houston Rockets, 123, New York Knicks, 125
Portland Trail Blazers, 130, Orlando Magic, 107
Memphis Grizzlies, 127, Atlanta Hawks, 88
Milwaukee Bucks, 89, Miami Heat, 105
Dallas Mavericks, 107, Chicago Bulls, 109
Indiana Pacers, 116, San Antonio Spurs, 111
San Antonio Spurs, 104, Charlotte Hornets, 103
Brooklyn Nets, 129, Boston Celtics, 120
Minnesota Timberwolves, 139, New Orleans Pelicans, 134
Los Angeles Clippers, 109, Oklahoma City Thunder, 94
Golden State Warriors, 116, Denver Nuggets, 100
Toronto Raptors, 123, Phoenix Suns, 114
Philadelphia 76ers, 107, Los Angeles Lakers, 120
Washington Wizards, 126, Sacramento Kings, 133
Boston Celtics, 112, Cleveland Cavaliers, 106
Oklahoma City Thunder, 114, Detroit Pistons, 107
Indiana Pacers, 100, Milwaukee Bucks, 119
Memphis Grizzlies, 118, Brooklyn Nets, 79
Utah Jazz, 112, New York Knicks, 104
Orlando Magic, 113, Miami Heat, 116
Chicago Bulls, 108, Minnesota Timberwolves, 115
New Orleans Pelicans, 123, Dallas Mavericks, 127
Washington Wizards, 104, Portland Trail Blazers, 125
Denver Nuggets, 114, Charlotte Hornets, 112
Los Angeles Clippers, 120, Houston Rockets, 105
Philadelphia 76ers, 125, Sacramento Kings, 108
Toronto Raptors, 121, Golden State Warriors, 113
Atlanta Hawks, 112, Washington Wizards, 118
San Antonio Spurs, 120, Brooklyn Nets, 139
Oklahoma City Thunder, 126, New York Knicks, 103
Indiana Pacers, 108, Chicago Bulls, 102
Orlando Magic, 132, Minnesota Timberwolves, 118
Miami Heat, 104, New Orleans Pelicans, 110
Utah Jazz, 99, Boston Celtics, 94
Memphis Grizzlies, 96, Dallas Mavericks, 121
Portland Trail Blazers, 117, Phoenix Suns, 127
Milwaukee Bucks, 103, Los Angeles Lakers, 113
Houston Rockets, 99, Charlotte Hornets, 108
Utah Jazz, 111, Detroit Pistons, 105
Denver Nuggets, 102, Cleveland Cavaliers, 104
Atlanta Hawks, 101, Memphis Grizzlies, 118
Philadelphia 76ers, 114, Golden State Warriors, 118
Sacramento Kings, 123, Portland Trail Blazers, 111
Chicago Bulls, 107, Brooklyn Nets, 110
New Orleans Pelicans, 120, Minnesota Timberwolves, 107
Los Angeles Lakers, 112, Los Angeles Clippers, 103
Oklahoma City Thunder, 105, Boston Celtics, 104
Milwaukee Bucks, 131, Phoenix Suns, 140
Miami Heat, 100, Washington Wizards, 89
Indiana Pacers, 112, Dallas Mavericks, 109
Orlando Magic, 126, Houston Rockets, 106
Detroit Pistons, 84, New York Knicks, 96
San Antonio Spurs, 129, Cleveland Cavaliers, 132
Toronto Raptors, 118, Sacramento Kings, 113
Charlotte Hornets, 138, Atlanta Hawks, 143
Milwaukee Bucks, 95, Denver Nuggets, 109
Toronto Raptors, 101, Utah Jazz, 92
New York Knicks, 115, Washington Wizards, 122
Boston Celtics, 114, Indiana Pacers, 111
Minnesota Timberwolves, 111, Houston Rockets, 117
Dallas Mavericks, 109, San Antonio Spurs, 119
Orlando Magic, 120, Memphis Grizzlies, 115
Cleveland Cavaliers, 103, Chicago Bulls, 108
Phoenix Suns, 105, Portland Trail Blazers, 121
Brooklyn Nets, 104, Los Angeles Lakers, 102
Los Angeles Clippers, 131, Golden State Warriors, 107
Detroit Pistons, 106, Philadelphia 76ers, 124
New York Knicks, 136, Atlanta Hawks, 131
Charlotte Hornets, 109, Miami Heat, 98
Denver Nuggets, 97, Dallas Mavericks, 113
