Away, Away_Score, Home, Home_Score
Houston Rockets, 116, Brooklyn Nets, 123
Cleveland Cavaliers, 95, Indiana Pacers, 102
Milwaukee Bucks, 123, Orlando Magic, 91
New York Knicks, 102, Boston Celtics, 104
Detroit Pistons, 106, Chicago Bulls, 112
Los Angeles Lakers, 119, Dallas Mavericks, 110
Utah Jazz, 101, Sacramento Kings, 102
San Antonio Spurs, 127, Golden State Warriors, 110
New Orleans Pelicans, 104, Oklahoma City Thunder, 115
Brooklyn Nets, 109, Detroit Pistons, 113
Denver Nuggets, 91, Orlando Magic, 87
Phoenix Suns, 114, Memphis Grizzlies, 105
Toronto Raptors, 105, Milwaukee Bucks, 115
Minnesota Timberwolves, 131, Washington Wizards, 109
Charlotte Hornets, 93, Golden State Warriors, 87
Philadelphia 76ers, 129, Portland Trail Blazers, 128
Chicago Bulls, 95, Indiana Pacers, 108
Houston Rockets, 100, Miami Heat, 129
Sacramento Kings, 113, New York Knicks, 92
Los Angeles Lakers, 103, San Antonio Spurs, 96
Dallas Mavericks, 131, Cleveland Cavaliers, 111
Utah Jazz, 94, Los Angeles Clippers, 105
Detroit Pistons, 99, Washington Wizards, 115
New Orleans Pelicans, 125, Brooklyn Nets, 135
Houston Rockets, 107, Memphis Grizzlies, 100
Milwaukee Bucks, 134, Minnesota Timberwolves, 106
Philadelphia 76ers, 109, Phoenix Suns, 114
Portland Trail Blazers, 118, Golden State Warriors, 127
Indiana Pacers, 120, Charlotte Hornets, 122
Boston Celtics, 119, Cleveland Cavaliers, 113
San Antonio Spurs, 100, Atlanta Hawks, 108
Los Angeles Lakers, 118, Chicago Bulls, 112
Orlando Magic, 94, Oklahoma City Thunder, 102
Miami Heat, 89, Denver Nuggets, 109
New York Knicks, 102, Detroit Pistons, 122
Washington Wizards, 106, Indiana Pacers, 121
Chicago Bulls, 113, Atlanta Hawks, 93
Golden State Warriors, 112, Houston Rockets, 129
Sacramento Kings, 120, Toronto Raptors, 124
Minnesota Timberwolves, 121, Memphis Grizzlies, 137
Orlando Magic, 106, Dallas Mavericks, 107
Philadelphia 76ers, 104, Utah Jazz, 106
Milwaukee Bucks, 129, Los Angeles Clippers, 124
Boston Celtics, 108, Charlotte Hornets, 87
Oklahoma City Thunder, 112, San Antonio Spurs, 121
Miami Heat, 124, Phoenix Suns, 108
Portland Trail Blazers, 101, Los Angeles Clippers, 107
Detroit Pistons, 106, Indiana Pacers, 112
Memphis Grizzlies, 86, Orlando Magic, 118
Cleveland Cavaliers, 113, Washington Wizards, 100
Sacramento Kings, 121, Atlanta Hawks, 109
Golden State Warriors, 119, Minnesota Timberwolves, 125
Toronto Raptors, 122, New Orleans Pelicans, 104
New York Knicks, 106, Dallas Mavericks, 102
Philadelphia 76ers, 97, Denver Nuggets, 100
Milwaukee Bucks, 100, Utah Jazz, 103
Brooklyn Nets, 119, Portland Trail Blazers, 115
Miami Heat, 80, Los Angeles Lakers, 95
Boston Celtics, 135, San Antonio Spurs, 115
New Orleans Pelicans, 115, Charlotte Hornets, 110
Houston Rockets, 117, Chicago Bulls, 94
Dallas Mavericks, 138, Memphis Grizzlies, 122
Golden State Warriors, 108, Oklahoma City Thunder, 114
Denver Nuggets, 100, Minnesota Timberwolves, 98
Indiana Pacers, 109, Orlando Magic, 102
Charlotte Hornets, 106, Philadelphia 76ers, 114
Milwaukee Bucks, 121, Oklahoma City Thunder, 119
Cleveland Cavaliers, 108, New York Knicks, 87
Brooklyn Nets, 112, Phoenix Suns, 138
Atlanta Hawks, 113, Portland Trail Blazers, 124
Toronto Raptors, 113, Los Angeles Lakers, 104
Minnesota Timberwolves, 120, Detroit Pistons, 114
Dallas Mavericks, 106, Boston Celtics, 116
Memphis Grizzlies, 113, San Antonio Spurs, 109
Houston Rockets, 122, New Orleans Pelicans, 116
Utah Jazz, 122, Golden State Warriors, 108
Toronto Raptors, 88, Los Angeles Clippers, 98
Oklahoma City Thunder, 85, Indiana Pacers, 111
Cleveland Cavaliers, 97, Philadelphia 76ers, 98
Detroit Pistons, 108, Miami Heat, 117
New York Knicks, 102, Chicago Bulls, 120
Atlanta Hawks, 125, Denver Nuggets, 121
Los Angeles Lakers, 123, Phoenix Suns, 115
Brooklyn Nets, 114, Utah Jazz, 119
Portland Trail Blazers, 99, Sacramento Kings, 107
Memphis Grizzlies, 119, Charlotte Hornets, 117
Philadelphia 76ers, 97, Orlando Magic, 112
Washington Wizards, 133, Boston Celtics, 140
Los Angeles Clippers, 93, Houston Rockets, 102
San Antonio Spurs, 114, Minnesota Timberwolves, 129
Golden State Warriors, 94, Los Angeles Lakers, 120
Toronto Raptors, 114, Portland Trail Blazers, 106
Miami Heat, 108, Cleveland Cavaliers, 97
Chicago Bulls, 115, Milwaukee Bucks, 124
Los Angeles Clippers, 127, New Orleans Pelicans, 132
Dallas Mavericks, 103, New York Knicks, 106
Atlanta Hawks, 112, Phoenix Suns, 128
Brooklyn Nets, 93, Denver Nuggets, 101
Detroit Pistons, 106, Charlotte Hornets, 109
San Antonio Spurs, 109, Orlando Magic, 111
Indiana Pacers, 102, Houston Rockets, 111
Utah Jazz, 106, Memphis Grizzlies, 107
Washington Wizards, 137, Minnesota Timberwolves, 116
Philadelphia 76ers, 119, Oklahoma City Thunder, 127
Boston Celtics, 105, Golden State Warriors, 100
Sacramento Kings, 97, Los Angeles Lakers, 99
Brooklyn Nets, 117, Chicago Bulls, 111
Milwaukee Bucks, 102, Indiana Pacers, 83
Charlotte Hornets, 103, New York Knicks, 102
New Orleans Pelicans, 94, Miami Heat, 109
Houston Rockets, 125, Minnesota Timberwolves, 105
Toronto Raptors, 102, Dallas Mavericks, 110
Portland Trail Blazers, 121, San Antonio Spurs, 116
Atlanta Hawks, 101, Los Angeles Clippers, 150
Philadelphia 76ers, 114, Cleveland Cavaliers, 95
Boston Celtics, 99, Sacramento Kings, 100
Denver Nuggets, 131, Memphis Grizzlies, 114
Washington Wizards, 121, Orlando Magic, 125
Golden State Warriors, 100, New Orleans Pelicans, 108
Atlanta Hawks, 101, Los Angeles Lakers, 122
Cleveland Cavaliers, 105, New York Knicks, 123
Indiana Pacers, 115, Brooklyn Nets, 86
Charlotte Hornets, 96, Toronto Raptors, 132
Milwaukee Bucks, 115, Chicago Bulls, 101
Portland Trail Blazers, 108, Houston Rockets, 132
San Antonio Spurs, 110, Dallas Mavericks, 117
Boston Celtics, 99, Phoenix Suns, 85
Minnesota Timberwolves, 112, Utah Jazz, 102
Oklahoma City Thunder, 88, Los Angeles Clippers, 90
Golden State Warriors, 114, Memphis Grizzlies, 95
Portland Trail Blazers, 104, New Orleans Pelicans, 115
Phoenix Suns, 116, Sacramento Kings, 120
Oklahoma City Thunder, 107, Los Angeles Lakers, 112
New York Knicks, 104, Philadelphia 76ers, 109
San Antonio Spurs, 132, Washington Wizards, 138
Milwaukee Bucks, 135, Atlanta Hawks, 127
Charlotte Hornets, 91, Brooklyn Nets, 101
Golden State Warriors, 94, Dallas Mavericks, 142
Cleveland Cavaliers, 100, Miami Heat, 124
Orlando Magic, 97, Toronto Raptors, 113
Detroit Pistons, 89, Chicago Bulls, 109
Utah Jazz, 103, Minnesota Timberwolves, 95
Houston Rockets, 95, Denver Nuggets, 105
Boston Celtics, 104, Los Angeles Clippers, 107
Portland Trail Blazers, 129, Milwaukee Bucks, 137
New Orleans Pelicans, 124, Phoenix Suns, 121
Atlanta Hawks, 103, Detroit Pistons, 128
Charlotte Hornets, 118, Washington Wizards, 125
Sacramento Kings, 97, Brooklyn Nets, 116
Miami Heat, 116, Chicago Bulls, 108
Los Angeles Lakers, 130, Oklahoma City Thunder, 127
San Antonio Spurs, 104, Philadelphia 76ers, 115
Cleveland Cavaliers, 101, Dallas Mavericks, 143
Boston Celtics, 92, Denver Nuggets, 96
Golden State Warriors, 109, Utah Jazz, 113
Houston Rockets, 119, Los Angeles Clippers, 122
Phoenix Suns, 100, Minnesota Timberwolves, 98
Chicago Bulls, 116, Charlotte Hornets, 115
Orlando Magic, 106, Indiana Pacers, 111
Toronto Raptors, 119, Atlanta Hawks, 116
San Antonio Spurs, 111, New York Knicks, 104
Miami Heat, 86, Philadelphia 76ers, 113
Portland Trail Blazers, 104, Cleveland Cavaliers, 110
Los Angeles Lakers, 109, Memphis Grizzlies, 108
Detroit Pistons, 90, Milwaukee Bucks, 104
New Orleans Pelicans, 120, Utah Jazz, 128
Dallas Mavericks, 137, Houston Rockets, 123
Brooklyn Nets, 103, New York Knicks, 101
Sacramento Kings, 113, Washington Wizards, 106
Phoenix Suns, 104, Denver Nuggets, 116
New Orleans Pelicans, 109, Los Angeles Clippers, 134
Brooklyn Nets, 108, Cleveland Cavaliers, 106
Orlando Magic, 88, Detroit Pistons, 103
Memphis Grizzlies, 114, Indiana Pacers, 126
Minnesota Timberwolves, 125, Atlanta Hawks, 113
Sacramento Kings, 102, Boston Celtics, 103
Charlotte Hornets, 100, Miami Heat, 117
Philadelphia 76ers, 96, Toronto Raptors, 101
Portland Trail Blazers, 117, Chicago Bulls, 94
Utah Jazz, 118, Milwaukee Bucks, 122
Los Angeles Lakers, 114, San Antonio Spurs, 104
Oklahoma City Thunder, 100, Golden State Warriors, 97
Los Angeles Clippers, 114, Dallas Mavericks, 99
Washington Wizards, 104, Denver Nuggets, 117
Brooklyn Nets, 110, Boston Celtics, 121
Detroit Pistons, 101, Charlotte Hornets, 102
Orlando Magic, 116, Cleveland Cavaliers, 104
Utah Jazz, 102, Indiana Pacers, 121
Sacramento Kings, 91, Philadelphia 76ers, 97
New York Knicks, 98, Toronto Raptors, 126
Miami Heat, 108, Houston Rockets, 117
Los Angeles Clippers, 121, Memphis Grizzlies, 119
Atlanta Hawks, 102, Milwaukee Bucks, 111
Minnesota Timberwolves, 113, San Antonio Spurs, 101
Washington Wizards, 140, Phoenix Suns, 132
Los Angeles Lakers, 114, New Orleans Pelicans, 110
Oklahoma City Thunder, 119, Portland Trail Blazers, 136
Chicago Bulls, 90, Golden State Warriors, 104
Boston Celtics, 107, Brooklyn Nets, 112
Charlotte Hornets, 110, Detroit Pistons, 107
Toronto Raptors, 90, Orlando Magic, 83
Milwaukee Bucks, 119, Cleveland Cavaliers, 110
Philadelphia 76ers, 101, New York Knicks, 95
