TEAM,Milwaukee Bucks,Boston Celtics,Houston Rockets,Los Angeles Lakers,Dallas Mavericks,Los Angeles Clippers,Oklahoma City Thunder,Sacramento Kings,Toronto Raptors,Atlanta Hawks,Denver Nuggets,Miami Heat,New Orleans Pelicans,Orlando Magic,Philadelphia 76ers,Brooklyn Nets,Charlotte Hornets,Indiana Pacers,Memphis Grizzlies,New York Knicks,Utah Jazz,Washington Wizards,Cleveland Cavaliers,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Detroit Pistons,Golden State Warriors,Minnesota Timberwolves,Chicago Bulls
PTS OFF TO,17.2,17.2,20.5,18.8,12.6,15.6,18.9,19.2,18.3,18.6,15.4,16.8,15.7,16.9,14.1,11.1,12.3,16.3,16.5,12.4,12.7,21.4,15.1,19.2,15.9,14.5,13.5,15.4,19,21.9
2ND PTS,11.5,12.2,9.6,14.1,12.3,11.8,10,11.1,11.7,14.1,13,12.8,16.7,12,14.1,16.3,16,10.7,16.2,17.9,14.8,10.5,12.5,12.1,14.2,10.1,14.2,10.6,12.8,17.1
FBPS,18.3,16.8,16.8,21,11.7,15.5,8.4,12.5,26.7,15.7,11.3,11.8,20.9,11.5,13.5,10.9,11.8,13.3,19.5,7.6,11.7,16.3,10.7,14.3,14.8,10.7,7.9,15.5,14.5,15.3
PITP,46,47.2,43.6,54.2,41,48.2,48.6,46.7,46.8,51.4,53,43.1,54,48.7,45.1,47.8,46.4,49.7,59.6,56.2,48.9,47.1,52.4,48.3,44.3,42.4,46.2,48.5,48.4,49.3
OPP PTS OFF TO,17.5,12.4,14.3,17.9,15.1,14.4,14.6,13,15,18.3,18.3,16.8,21.7,13.8,15.6,14.3,16.6,13.2,18.1,19.7,17.4,14.1,20.9,18.9,15.4,14.1,16.2,18.5,18.2,18.6
OPP 2ND PTS,11.8,14.8,14.5,11.2,13.5,11.9,14.9,12,13.4,17.3,13.6,10.8,12.5,9.9,12.9,12.8,13.1,12.6,10.7,11.5,10.4,17.5,11.7,14.8,15.1,11.6,13,12.6,13.5,16.2
OPP FBPS,14.7,14.4,16,18.4,18.8,12.6,9.8,16.8,11.2,15,11.6,10.4,17.8,9.7,16.5,15,12.9,16.9,15.6,10.5,12.6,9.8,14.1,15.2,19.7,12.1,11.6,15.3,14.5,15
OPP PITP,39.8,44.5,53.6,48.7,48.8,46.4,46.8,47.5,41.6,54.6,47.2,42,54,48.7,49.8,45.3,48,43.7,44.2,46.4,45.1,48.4,53.3,50.2,50.2,49.1,52.2,49.5,57.5,55.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
