TEAM,Oklahoma City Thunder,Toronto Raptors,Denver Nuggets,Memphis Grizzlies,Milwaukee Bucks,Utah Jazz,Los Angeles Lakers,Boston Celtics,Indiana Pacers,Los Angeles Clippers,New Orleans Pelicans,Dallas Mavericks,Miami Heat,Philadelphia 76ers,Portland Trail Blazers,Houston Rockets,Orlando Magic,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Chicago Bulls,Sacramento Kings,Washington Wizards,Brooklyn Nets,Detroit Pistons,New York Knicks,Charlotte Hornets,Cleveland Cavaliers,Minnesota Timberwolves,Golden State Warriors
%FGA 2PT,64.6,58.4,65.1,65.8,58.7,56.9,66.2,63,69.7,64.2,59.9,55.4,56.5,62.1,61.5,55.7,63.7,69.2,64,58.6,59.9,61.5,67.2,57.9,64.8,68.6,60.8,65,55.3,62.1
%FGA 3PT,35.4,41.6,34.9,34.2,41.3,43.1,33.8,37,30.3,35.8,40.1,44.6,43.5,37.9,38.5,44.3,36.3,30.8,36,41.4,40.1,38.5,32.8,42.1,35.2,31.4,39.2,35,44.7,37.9
%PTS 2PT,52.2,49.6,55,56.7,50.2,49,55.4,52.5,59,51.9,49.1,48.3,48.2,55,51,46.4,52.6,56.9,51.1,49.2,54.2,51.6,54.9,48.8,53.1,60.9,48.9,56,47.4,49.1
%PTS 2PT- MR,11.3,5.5,11.7,6.1,8.7,5.5,9.2,8.9,12.4,8.6,5.8,6.9,8.8,10,11.1,4.4,8.5,14,16.4,6.1,3.3,7.7,12.5,4.5,6.3,13.5,4.6,9.5,4.6,13.2
%PTS 3PT,30.5,36.5,28.9,28.6,33.5,36.6,29,31.4,27.2,30.1,34.8,37.8,35.5,30.2,33.4,35.3,31.1,23.6,30.3,33.5,31.3,34.3,27.9,35.9,29.5,25.7,34,31.2,38.3,32.9
%PTS FBPS,9.6,14.7,10.3,17.5,16.1,8.6,18.2,14.4,10.4,9.5,13.6,11.4,8.4,14.9,11.7,12.1,9.8,12.9,10.7,10.5,15.5,13.5,9.7,14.5,10.1,9,11.2,8.3,8.9,13.6
%PTS FT,17.3,14,16.1,14.7,16.4,14.4,15.6,16.1,13.7,17.9,16.1,14,16.3,14.8,15.6,18.3,16.3,19.5,18.6,17.3,14.5,14.1,17.2,15.4,17.4,13.4,17.1,12.7,14.3,18
%PTS OFFTO,13.5,19.6,13.2,15.6,12.3,11.1,17.7,15.6,14.2,12.8,13.4,12.2,11.2,17.3,10.9,13.8,15.2,16.5,11.6,12.6,19.2,14.6,14.2,13.2,16.9,15,15.3,12.7,15.1,16.3
%PTS PITP,40.9,44.1,43.3,50.6,41.4,43.5,46.2,43.7,46.6,43.4,43.3,41.4,39.4,45,39.9,42,44,42.8,34.7,43.1,50.9,43.9,42.4,44.3,46.7,47.4,44.3,46.5,42.8,35.9
2FGM %AST,46.9,54.7,53.4,56.1,51.9,44.7,50,52.3,56.1,50.9,51.9,44,52.4,52.1,41.8,43.2,48.7,54.5,49.2,53.3,48.5,45.5,45.8,52,43.1,43.9,59.1,46.3,54.6,64.8
2FGM %UAST,53.1,45.3,46.6,43.9,48.1,55.3,50,47.7,43.9,49.1,48.1,56,47.6,47.9,58.2,56.8,51.3,45.5,50.8,46.7,51.5,54.5,54.2,48,56.9,56.1,40.9,53.7,45.4,35.2
3FGM %AST,80.9,81.7,83.8,85.3,79.3,73.6,81,71.2,90.2,78.3,87.3,74,84.8,95.7,65.1,71,81.6,86.9,83.8,69.1,79.8,85.1,84.3,78.6,92.5,84.8,89.1,81,86.3,82.6
3FGM %UAST,19.1,18.3,16.2,14.7,20.7,26.4,19,28.8,9.8,21.7,12.7,26,15.2,4.3,34.9,29,18.4,13.1,16.2,30.9,20.2,14.9,15.7,21.4,7.5,15.2,10.9,19,13.7,17.4
FGM %AST,56.4,63.6,61.3,63.5,60.4,54.3,58,57.7,64.1,58.5,63.2,54.3,63.1,63.8,48.9,52.5,58,61.5,59,58.3,57.2,57.6,55.6,60.7,56.5,52.9,68.6,55.7,65.7,70.3
%UAST,43.6,36.4,38.7,36.5,39.6,45.7,42,42.3,35.9,41.5,36.8,45.7,36.9,36.2,51.1,47.5,42,38.5,41,41.7,42.8,42.4,44.4,39.3,43.5,47.1,31.4,44.3,34.3,29.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
