TEAM,Milwaukee Bucks,Toronto Raptors,Memphis Grizzlies,Utah Jazz,Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Clippers,Denver Nuggets,Indiana Pacers,Philadelphia 76ers,New Orleans Pelicans,Miami Heat,Boston Celtics,Dallas Mavericks,Portland Trail Blazers,Houston Rockets,Orlando Magic,Phoenix Suns,San Antonio Spurs,Sacramento Kings,Atlanta Hawks,Washington Wizards,Chicago Bulls,Brooklyn Nets,Detroit Pistons,Charlotte Hornets,New York Knicks,Minnesota Timberwolves,Cleveland Cavaliers,Golden State Warriors
MIN,48,48.3,48,48.3,48,48.3,48,48.3,48.4,48,48.7,48.7,48,48.3,48.3,48,48,48,48,48.7,48,48.3,48.3,48.7,48.9,48.8,48,48.3,48.3,48.7
PTS,119.9,114.1,119,118.1,116.6,115,116.4,112.3,112.5,106.3,121.9,110.9,114.2,116,115,117,104.7,110.2,114.1,113.1,113.9,113.9,106.1,109.3,110.4,101.5,105.8,110.3,107.5,104.9
FGM,43.5,42.1,45.1,43.3,43.6,41.7,41.9,41.7,43.4,39.9,44.1,39.9,41.9,42.6,42.1,40.9,38.4,40,40.7,42.1,40.7,41.9,39.8,39.7,40.2,36.3,41.3,40.2,41.3,37.3
FGA,90.6,90.9,90.4,87.5,89.5,87.3,89.7,90.1,86.5,86.5,91.1,84.4,89.7,90.3,91.3,90.9,89.3,85.3,87,89.8,90.7,89.5,86.2,87.3,86.8,84.7,91.4,91.3,88.3,89
FG%,48,46.4,49.9,49.5,48.7,47.8,46.7,46.3,50.2,46.1,48.4,47.2,46.8,47.2,46.2,45,43,46.9,46.7,46.9,44.9,46.8,46.2,45.5,46.3,42.9,45.1,44,46.8,41.9
3PM,13.4,13.9,11.3,14.4,11.3,11.7,11.7,10.8,10.2,10.7,14.1,13.1,11.9,14.6,12.8,13.8,10.9,8.7,11.5,12.9,12.7,10.6,11.1,13.1,10.9,11.5,9.1,14.1,11.2,11.5
3PA,37.5,37.8,30.9,37.7,30.3,30.9,32.2,31.4,26.2,32.8,36.5,36.7,33.2,40.3,35.1,40.3,32.5,26.3,31.3,34.6,37.5,29.4,34.5,36.8,30.5,33.2,28.7,40.9,30.9,33.7
3P%,35.7,36.7,36.6,38.2,37.3,37.8,36.4,34.4,39,32.6,38.7,35.8,36,36.3,36.4,34.2,33.5,33,36.8,37.4,33.9,36.1,32,35.5,35.7,34.7,31.6,34.4,36.2,34.1
FTM,19.6,15.9,17.5,17.1,18.1,19.9,20.8,18.1,15.4,15.8,19.6,18.1,18.4,16.2,17.9,21.4,17.1,21.5,21.2,15.9,19.7,19.5,15.4,16.8,19.2,17.3,14.2,15.8,13.7,18.9
FTA,26.5,20.7,22.2,22.6,24.8,24.2,27.2,22.6,19.9,21.6,26.7,22.5,22.8,22.3,22.9,27.3,22.7,26,24.9,20.9,24.5,25.1,19.9,23.2,25.6,22.3,20.5,22,17.3,23.3
FT%,74.1,76.8,79,75.5,73.2,82,76.8,80.3,77.7,73,73.5,80.3,80.5,72.8,78.4,78.3,75.3,82.8,85,76.1,80.7,77.9,77.3,72.4,74.9,77.6,69.2,71.8,79.1,81
OREB,8,10.1,8.9,9.7,11.4,8.1,11.5,11.2,8.6,9.5,11.2,7.4,10.5,12,10,10.4,11.4,10.1,8.9,9.2,9.8,10.7,9.3,9.9,9.8,10.8,11.5,10.9,11.2,9.6
DREB,42.9,34.5,36.5,35.6,35.9,36.1,36.8,33.4,31.3,35,35.7,37.1,34.8,33.8,35.1,34.6,35.3,34.7,35.5,34.4,34.9,32.7,30.2,35.3,32.8,31.3,34.3,33.9,33.1,33.3
REB,50.9,44.5,45.5,45.3,47.4,44.2,48.3,44.6,39.9,44.5,46.9,44.5,45.3,45.8,45.1,45,46.7,44.8,44.4,43.6,44.7,43.3,39.5,45.2,42.6,42.1,45.8,44.8,44.3,42.9
AST,26.2,26.8,28.6,23.5,25.3,23.5,24.5,25.6,27.9,25.5,27.9,25.1,24.2,23.1,20.6,21.5,22.3,24.6,24,24.3,23.7,23.3,22.8,24.1,22.7,24.9,21.8,26.4,23,26.2
TOV,13.5,12.9,14.4,12.7,14.4,12.8,13.8,12.6,12.1,12.8,16.1,12.8,14.3,12.2,11.8,14.9,12.1,15,11.5,14.4,15.6,14.8,14.4,16.1,14.6,14.6,13.4,15.4,16.4,15.2
STL,6.5,9.6,8.5,5.7,8.2,7.3,5.8,8.6,7.6,8.2,6.9,5.5,8.6,5.1,5.7,7.5,8.6,7.7,6.3,7.9,7.4,6.7,10,7.1,8.5,5.8,7.3,8.3,6.1,8.7
BLK,6.2,4.4,6.6,4.1,7.1,4.8,5.2,4.7,4.7,4.9,6.2,4.1,5.3,4.9,6.4,5.2,4.3,4.5,5.1,3.9,5.6,5,3.6,4.1,4.9,3.8,4.6,5.6,2.9,3.6
BLKA,4.5,5.7,4.5,4.5,4.4,4.1,4.9,5.6,3.7,3.2,4,4.4,5.4,3.9,5.3,6.1,4.9,5.6,4,3.9,5.2,4.4,5.2,5.1,6.1,5.4,5.4,5.9,5.4,5
PF,18.7,22.2,20.5,19.1,19.9,16.9,22.1,20,18.8,20,20.2,19.1,21.1,19.3,19.7,21.9,17.5,22.5,19.7,23,26.3,22.7,19.8,19.3,20.6,19.1,20.9,21,19.6,20.2
PFD,22.2,18.9,20.5,19.3,20.9,23.1,23.8,19.8,18.4,20.2,22.6,18.6,19.8,20.7,20.5,21.9,19,22.2,19.9,19.5,21.9,22.3,17.4,20.3,20.9,21.3,18.6,19.4,18.1,19.9
+/-,9.6,8,4.5,9.6,6.4,5.9,3.1,1.8,1.5,1.6,3.2,2.3,4.9,2.1,-1.9,0.7,0.1,0.2,0.8,-1.9,-5.2,-7.1,-4.8,-4.4,-1.9,-7.8,-6.8,-3.9,-8.3,-11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
