TEAM,Brooklyn Nets,Dallas Mavericks,Los Angeles Clippers,Los Angeles Lakers,Toronto Raptors,Utah Jazz,Denver Nuggets,Indiana Pacers,Memphis Grizzlies,Miami Heat,New York Knicks,Oklahoma City Thunder,Orlando Magic,Portland Trail Blazers,Sacramento Kings,Washington Wizards,Boston Celtics,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Golden State Warriors,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,Philadelphia 76ers,Phoenix Suns,San Antonio Spurs,Atlanta Hawks,Houston Rockets,Detroit Pistons
OPP FGM,41.8,42.9,38.6,37.2,40.2,38.8,39.8,40.6,36.4,36,39.8,39.3,42.6,39.6,40.4,42.3,39.8,40.7,38,43,41.2,39.8,46.2,44.4,43.2,44.8,42.8,44.8,41.4,40.2
OPP FGA,94.8,93,87.8,89,87.8,87.8,84.3,90.4,94.2,84.2,88.5,88.3,85.8,92.4,85.4,82,88.2,84.3,76.8,87.2,85.8,91.5,90.3,93.8,81,89.3,88.4,90.6,85,81.6
OPP FG%,44.1,46.1,44,41.8,45.8,44.2,47.2,44.9,38.6,42.8,45,44.5,49.7,42.9,47.3,51.6,45.1,48.2,49.5,49.3,48,43.5,51.1,47.3,53.3,50.1,48.4,49.4,48.7,49.3
OPP 3PM,14.4,12.3,11.6,11,14.2,11.2,13.3,13,12.2,14,13.5,11.5,13.6,15.2,16,11.3,12.6,12.8,11.2,13.2,13.8,12.3,11.5,13.2,11.4,14.3,14.4,14.2,13.4,9.8
OPP 3PA,40.2,35.4,37.2,37.2,40.2,32.6,37.5,39.2,41.2,36.6,39.5,35,35,38.2,40.8,28.2,36.2,36.8,32.2,32.6,33.8,35.8,33.8,37,29.2,33.5,34.8,34.4,33.2,28.8
OPP 3P%,35.8,34.7,31.2,29.6,35.3,34.4,35.6,33.2,29.6,38.3,34.2,32.9,38.9,39.8,39.2,40.2,34.8,34.8,34.8,40.5,40.8,34.4,34,35.7,39,42.5,41.4,41.3,40.4,34
OPP FTM,15.4,8.7,20.8,20.8,18.4,14.6,16.7,16.8,16.8,16,23.2,15.8,18.2,18.8,19.2,19.8,17.8,14.3,21.4,16.2,21.8,16.7,16.5,17.8,19.8,19.3,19.8,23.6,21.8,20
OPP FTA,20.2,13.9,27.4,27.2,23.4,18.8,22,20.6,20,20.8,28.3,20.5,22.8,22,25.6,25.2,23,19,28.4,19.8,25,20,24.2,23.2,26,24.3,26.2,31.2,29.6,25.6
OPP FT%,76.2,62.9,75.9,76.5,78.6,77.7,75.8,81.6,84,76.9,81.8,76.8,79.8,85.5,75,78.8,77.4,75.4,75.4,81.8,87.2,83.3,68.3,76.7,76.2,79.4,75.6,75.6,73.6,78.1
OPP OREB,9.2,9.3,9.2,12.2,8.6,11.8,9,10.2,13.6,9.4,8.8,9.8,8,12.8,7,8.7,12.2,11.3,8.6,10,9.8,8.2,8.2,8.2,6.6,8.5,10,10.4,11.2,10.8
