TEAM,Milwaukee Bucks,Los Angeles Lakers,Indiana Pacers,Boston Celtics,Denver Nuggets,Houston Rockets,Los Angeles Clippers,Philadelphia 76ers,Toronto Raptors,Brooklyn Nets,Dallas Mavericks,Miami Heat,Sacramento Kings,Utah Jazz,Minnesota Timberwolves,Charlotte Hornets,Oklahoma City Thunder,Chicago Bulls,New Orleans Pelicans,Orlando Magic,Phoenix Suns,Portland Trail Blazers,Washington Wizards,Detroit Pistons,Memphis Grizzlies,San Antonio Spurs,Cleveland Cavaliers,Golden State Warriors,New York Knicks,Atlanta Hawks
OPP FGM,39.2,38.8,37.8,38.5,36.9,40.7,37.4,38.8,37.2,40.9,41.1,37.2,37.6,40.3,41.7,43.2,42.4,38.9,42.4,39.1,42.8,41.7,44.6,40.4,42.9,42.5,43.9,42.3,37.6,43.9
OPP FGA,93.7,87.8,87.9,89.6,87.4,91.3,90.3,83.1,89.7,93.3,91.8,83.8,82.2,92.2,94.3,87.3,88.9,84.1,88.4,85.7,88.2,93.7,89.9,87,91.3,88.6,89.8,89.9,81.8,89.3
OPP FG%,41.8,44.2,43,43,42.2,44.6,41.5,46.7,41.5,43.9,44.7,44.4,45.7,43.7,44.2,49.5,47.7,46.2,47.9,45.7,48.6,44.5,49.6,46.4,47,48,48.8,47,46,49.2
OPP 3PM,14.5,11.5,11.3,12.7,10.2,12,12.2,9.8,12.2,11.3,11.9,11.6,10.1,10.9,11.3,13.6,10.5,10.3,13,11.7,12.8,11.5,12.5,11.6,13.8,12.8,11.9,13.1,13.3,14.1
OPP 3PA,37.4,33,32.8,37.1,34.2,35.7,36.2,26.1,38.2,33.2,33.5,34.2,31.2,33.9,31.9,34.2,28.1,33.1,33.4,31.9,33.6,33.9,32.7,31.1,36.3,32.1,32.6,33.1,34.9,36.1
OPP 3P%,38.7,34.7,34.3,34.3,29.8,33.6,33.7,37.3,32,34.1,35.4,33.9,32.3,32.1,35.4,39.7,37.5,31,39,36.8,38,33.8,38.1,37.2,38,40,36.4,39.6,38.1,39.2
OPP FTM,14.6,16.1,16.8,15.1,15.8,17.5,19.5,17.8,16.6,18.5,16.2,18.1,19.2,16.6,20.1,13,16,21.9,20.1,14.7,17.1,21.3,20,15.7,17.1,17.2,13.5,16.3,20.7,22
OPP FTA,18.8,20.7,21.3,20.2,21.8,23.3,25.9,23.8,22.7,23.3,22.2,23.2,24.8,21.5,25.1,17.5,19.8,29.3,25.7,19.3,22.5,26.7,24.5,20.8,22.4,22,17.5,21.3,27.3,28
OPP FT%,77.4,77.5,78.8,74.9,72.5,75.4,75.4,74.5,73.2,79.4,73,78.1,77.3,77.4,80.3,74.3,80.9,74.5,78.3,76.3,75.8,79.8,81.5,75.6,76.1,78.1,76.8,76.8,75.9,78.6
OPP OREB,10.1,9.6,8.1,11.9,9.5,10.9,11.6,7.4,12.8,11.3,11.5,8.8,9.3,10.9,11.2,9.9,11.1,10.3,9.3,8.9,9.5,12,10,10.1,9.8,8.9,10.5,11.4,9.4,11
