date,time,away,score_away,home,score_home,audience
"Fri, Nov 1, 2019",7:00p,Houston Rockets,116,Brooklyn Nets,123,"17,732"
"Fri, Nov 1, 2019",7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,"16,079"
"Fri, Nov 1, 2019",7:00p,Milwaukee Bucks,123,Orlando Magic,91,"15,105"
"Fri, Nov 1, 2019",7:30p,New York Knicks,102,Boston Celtics,104,"18,624"
"Fri, Nov 1, 2019",8:00p,Detroit Pistons,106,Chicago Bulls,112,"20,671"
"Fri, Nov 1, 2019",9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,"20,358"
"Fri, Nov 1, 2019",10:00p,Utah Jazz,101,Sacramento Kings,102,"16,273"
"Fri, Nov 1, 2019",10:30p,San Antonio Spurs,127,Golden State Warriors,110,"18,064"
"Sat, Nov 2, 2019",5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,"18,203"
"Sat, Nov 2, 2019",7:00p,Brooklyn Nets,109,Detroit Pistons,113,"17,222"
"Sat, Nov 2, 2019",7:00p,Denver Nuggets,91,Orlando Magic,87,"17,025"
"Sat, Nov 2, 2019",8:00p,Phoenix Suns,114,Memphis Grizzlies,105,"14,144"
"Sat, Nov 2, 2019",8:00p,Toronto Raptors,105,Milwaukee Bucks,115,"17,637"
"Sat, Nov 2, 2019",8:00p,Minnesota Timberwolves,131,Washington Wizards,109,"15,150"
"Sat, Nov 2, 2019",8:30p,Charlotte Hornets,93,Golden State Warriors,87,"18,064"
"Sat, Nov 2, 2019",10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,"19,669"
"Sun, Nov 3, 2019",5:00p,Chicago Bulls,95,Indiana Pacers,108,"17,073"
"Sun, Nov 3, 2019",6:00p,Houston Rockets,100,Miami Heat,129,"19,724"
"Sun, Nov 3, 2019",6:00p,Sacramento Kings,113,New York Knicks,92,"19,812"
"Sun, Nov 3, 2019",7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,"18,610"
"Sun, Nov 3, 2019",7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,"18,078"
"Sun, Nov 3, 2019",9:00p,Utah Jazz,94,Los Angeles Clippers,105,"19,068"
"Mon, Nov 4, 2019",7:00p,Detroit Pistons,99,Washington Wizards,115,"13,052"
"Mon, Nov 4, 2019",7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,"17,194"
"Mon, Nov 4, 2019",8:00p,Houston Rockets,107,Memphis Grizzlies,100,"14,197"
"Mon, Nov 4, 2019",8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,"16,271"
"Mon, Nov 4, 2019",9:00p,Philadelphia 76ers,109,Phoenix Suns,114,"14,285"
"Mon, Nov 4, 2019",10:30p,Portland Trail Blazers,118,Golden State Warriors,127,"18,064"
"Tue, Nov 5, 2019",7:00p,Indiana Pacers,120,Charlotte Hornets,122,"13,341"
"Tue, Nov 5, 2019",7:00p,Boston Celtics,119,Cleveland Cavaliers,113,"17,709"
"Tue, Nov 5, 2019",7:30p,San Antonio Spurs,100,Atlanta Hawks,108,"14,025"
"Tue, Nov 5, 2019",8:00p,Los Angeles Lakers,118,Chicago Bulls,112,"21,193"
"Tue, Nov 5, 2019",8:00p,Orlando Magic,94,Oklahoma City Thunder,102,"18,203"
"Tue, Nov 5, 2019",9:00p,Miami Heat,89,Denver Nuggets,109,"18,010"
"Wed, Nov 6, 2019",7:00p,New York Knicks,102,Detroit Pistons,122,"15,463"
"Wed, Nov 6, 2019",7:00p,Washington Wizards,106,Indiana Pacers,121,"16,171"
"Wed, Nov 6, 2019",7:30p,Chicago Bulls,113,Atlanta Hawks,93,"15,049"
"Wed, Nov 6, 2019",7:30p,Golden State Warriors,112,Houston Rockets,129,"18,055"
"Wed, Nov 6, 2019",7:30p,Sacramento Kings,120,Toronto Raptors,124,"19,800"
"Wed, Nov 6, 2019",8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,"13,503"
