TEAM,Los Angeles Clippers,Miami Heat,Philadelphia 76ers,Toronto Raptors,Utah Jazz,Boston Celtics,Dallas Mavericks,Denver Nuggets,Houston Rockets,Los Angeles Lakers,Minnesota Timberwolves,Phoenix Suns,Portland Trail Blazers,San Antonio Spurs,Atlanta Hawks,Charlotte Hornets,Cleveland Cavaliers,Detroit Pistons,Milwaukee Bucks,Orlando Magic,Brooklyn Nets,Chicago Bulls,Golden State Warriors,Indiana Pacers,Memphis Grizzlies,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Washington Wizards,Sacramento Kings
OPP FGM,39.2,37.8,35.5,37.8,33.6,35.8,42.5,37.6,47.5,34.3,42.5,34.6,36.4,42.3,36,45,40.8,43.4,41.3,35,44.8,40.2,46.5,39.8,41,44.8,38.8,36.4,43.3,44.2
OPP FGA,85.5,89,82.8,97,82.4,81.8,92.3,85,96,84.3,90.5,83.8,86.2,95,85.8,93.6,88.8,88.4,95.8,84.8,97,86.6,89.3,83,91.3,96.6,85.4,91,92.5,88.6
OPP FG%,45.8,42.5,42.9,39,40.8,43.7,46.1,44.2,49.5,40.7,47,41.3,42.2,44.5,42,48.1,45.9,49.1,43.1,41.3,46.1,46.4,52.1,47.9,44.9,46.4,45.4,40,46.8,49.9
OPP 3PM,12.8,10.6,8.5,13.4,9.2,11.5,11.5,11,16.8,9,12.8,9.2,11.4,10.3,10.6,11.6,12.5,10.2,15.3,8.8,13.8,13.4,15.8,11.3,10.3,12.4,11.8,9.8,12.3,13.2
OPP 3PA,33.7,40.8,26.8,37.4,27.2,34.3,34,32.6,41.8,31.3,31,29.4,33.6,30.8,35.4,35.6,33.8,26.8,43,33.5,31.8,33.6,36.8,27.5,32.8,37.2,33.2,35.4,35.3,33.6
OPP 3P%,38.1,26,31.8,35.8,33.8,33.6,33.8,33.7,40.1,28.8,41.1,31.3,33.9,33.3,29.9,32.6,37,38.1,35.5,26.1,43.3,39.9,42.9,40.9,31.3,33.3,35.5,27.7,34.8,39.3
OPP FTM,18.3,21.2,21,16.2,16,20.3,14.3,20.2,15.8,20,15,27.8,26,16.8,21.8,16,14.3,15.6,19.8,15,18.8,17.8,17.5,17.5,28.5,22,19.4,18.8,20.3,14
OPP FTA,23.7,29.6,32.5,20.4,21.4,27.8,18,25.4,21.8,22.8,23.8,35.2,32.8,22.3,27.4,20,19.8,20,27,20,25.3,23.4,23.8,24.5,34.8,26.8,26.4,23.6,26.3,17.4
OPP FT%,77.5,71.6,64.6,79.4,74.8,73,79.2,79.5,72.4,87.9,63.2,79,79.3,75.3,79.6,80,72.2,78,73.1,75,74.3,76.1,73.7,71.4,82,82.1,73.5,79.7,77.1,80.5
OPP OREB,9,10.6,7.3,13.6,6.6,9.5,11,10,10.5,10,10.5,8.6,11.2,8.3,12,12.4,7.5,8,8.3,8.8,10,13.8,8.8,12.3,10.3,12.2,11.2,9.8,13,9
OPP DREB,33.5,32.6,31.5,35,32.8,42.5,37.3,35.8,36.3,34,36.3,36.4,36.6,35.8,32.8,33.8,33.5,31,42.8,41.8,35.3,39.4,35,35.5,40.5,37.2,35.4,35,35,36.4
OPP REB,42.5,43.2,38.8,48.6,39.4,52,48.3,45.8,46.8,44,46.8,45,47.8,44,44.8,46.2,41,39,51,50.5,45.3,53.2,43.8,47.8,50.8,49.4,46.6,44.8,48,45.4
OPP AST,23.5,23.2,18.3,24.2,18.4,20.5,23.3,24.4,27.8,20.5,23.5,20.2,21.6,22.3,21,26.8,25.3,27.4,25.5,20,24.5,24.6,31.5,22.8,22.3,26.8,22,18.6,23.5,26.2
OPP TOV,16.7,18.8,19.3,16,16.8,19.8,14.5,15.2,15.5,18.5,20.3,18.8,17.2,12.3,17.6,16,12.3,14.6,13.5,15.5,15,19.4,19,19.3,17.5,16,15.8,14.8,15.3,16.8
OPP STL,7.2,9.6,10,7.4,6.8,4.5,6,6.6,7.3,8.3,8.8,7.2,8.2,8,9.8,10.2,8.5,10.8,4.8,5.8,10.3,5.2,10,5.5,9.5,7,8.4,8.2,7.3,8.6
OPP BLK,3.8,4.8,4.5,5.2,4.6,5.3,2.8,4.4,4.8,3.5,7.3,6.4,4,4.5,7.6,6.2,4.8,3.4,4,5.8,5,7,5.3,5.3,7,3.8,5.4,5.4,5.8,4.6
OPP BLKA,4.5,7,6.8,5,3.6,5.8,5,5,5.3,8,4.3,4,5.8,6.5,5.2,3.8,4.8,4.4,6.3,5.8,5.3,4.6,2.5,3.8,6.5,5,5,4,5.3,4.6
OPP PF,24.7,24.8,25.8,22.2,23.2,27.3,27,23.2,27.8,24.3,27.3,26,22.2,24.3,20.8,21.2,21,21.8,24.3,19,26.5,20.8,23,19.5,23.8,22.2,21.8,24.2,20.8,21
OPP PFD,25,25.2,29,23.8,24.4,23.8,19.3,23,23.8,21.5,20.3,29.4,27,21,22,21.4,19.5,20.4,23.8,17.5,24.3,21.8,20,24.3,27,25.4,24.6,23,23.8,21.8
OPP PTS,109.5,107.4,100.5,105.2,92.4,103.3,110.8,106.4,127.5,97.5,112.8,106.2,110.2,111.5,104.4,117.6,108.3,112.6,117.5,93.8,122,111.6,126.3,108.3,120.8,124,108.8,101.4,119,115.6
