,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,team_name
0,42.0,240.6,42.8,89.3,0.48,11.9,33.0,0.36,30.9,56.3,0.55,17.1,23.5,0.73,10.3,32.3,42.6,26.0,6.6,4.7,13.4,20.0,114.5,44.4,90.4,0.49,13.0,33.1,0.39,31.4,57.3,0.55,17.9,22.3,0.8,10.4,34.4,44.8,25.9,7.4,4.7,12.9,20.0,119.6,25.7,17.0,25.0,15.0,27.0,-5.12,0.56,-4.56,114.0,119.1,-5.1,100.2,0.26,0.37,0.57,0.55,11.9,23.1,0.19,0.56,11.4,Sacramento Kings
0,41.0,240.6,41.1,87.9,0.47,16.9,42.8,0.4,24.2,45.1,0.54,17.7,22.6,0.78,11.0,36.9,47.8,23.7,6.5,5.4,14.4,18.9,116.7,41.5,91.4,0.45,11.1,31.0,0.36,30.4,60.5,0.5,14.9,19.1,0.78,9.9,32.5,42.4,22.5,7.5,4.1,11.7,19.9,108.9,28.5,30.0,11.0,30.0,11.0,7.85,0.54,8.39,117.7,109.8,7.9,98.9,0.26,0.49,0.6,0.56,12.9,25.2,0.2,0.51,10.5,Utah Jazz
0,41.0,240.6,41.6,89.6,0.47,10.9,31.8,0.34,30.7,57.8,0.53,20.7,27.0,0.77,9.2,34.5,43.7,24.9,7.5,3.5,14.3,22.0,114.9,43.3,91.0,0.48,13.2,34.6,0.38,30.1,56.4,0.53,20.0,25.8,0.78,10.2,36.9,47.1,24.4,8.0,4.7,15.0,22.6,120.0,26.4,15.0,26.0,15.0,26.0,-5.05,0.69,-4.36,109.9,114.8,-4.9,104.3,0.3,0.35,0.57,0.53,12.4,20.0,0.23,0.55,12.8,Washington Wizards
0,41.0,242.4,42.8,88.9,0.48,13.1,34.5,0.38,29.7,54.4,0.55,15.3,19.0,0.8,9.3,35.5,44.9,26.4,6.8,4.5,16.1,20.0,114.0,42.0,89.0,0.47,11.2,32.5,0.34,30.8,56.5,0.55,18.6,24.1,0.77,9.2,33.4,42.5,23.7,8.6,4.7,13.6,18.8,113.8,25.2,19.0,22.0,21.0,20.0,0.17,-0.53,-0.36,111.8,111.7,0.1,100.9,0.21,0.39,0.59,0.56,14.2,21.8,0.17,0.54,12.0,Chicago Bulls
0,43.0,242.9,41.7,86.4,0.48,10.6,30.3,0.35,31.1,56.0,0.55,17.5,23.4,0.75,9.8,35.6,45.4,24.7,7.1,5.8,15.0,19.0,111.5,40.0,88.2,0.45,11.6,32.9,0.35,28.5,55.3,0.52,14.6,19.2,0.76,9.0,32.7,41.7,25.2,8.2,4.2,14.6,21.6,106.2,28.8,28.0,15.0,29.0,14.0,5.3,-0.5,4.81,111.6,106.3,5.3,98.7,0.27,0.35,0.58,0.54,13.4,23.0,0.2,0.52,13.1,Los Angeles Lakers
0,42.0,241.2,39.7,87.0,0.46,12.7,34.9,0.36,27.0,52.1,0.52,20.4,24.9,0.82,11.3,34.7,46.0,24.4,7.0,5.0,14.2,19.9,112.6,40.5,88.9,0.46,11.7,33.8,0.34,28.8,55.1,0.52,17.8,22.0,0.81,10.5,32.2,42.6,23.7,7.7,5.3,12.5,20.7,110.5,24.9,22.0,20.0,24.0,18.0,2.12,-0.39,1.73,114.8,112.6,2.2,97.6,0.29,0.4,0.57,0.53,12.6,26.0,0.23,0.52,11.3,Atlanta Hawks
0,43.0,240.6,41.0,88.8,0.46,13.9,37.9,0.37,27.1,50.9,0.53,17.1,22.1,0.78,7.9,35.3,43.1,27.7,8.2,4.9,14.8,21.8,112.9,39.8,89.3,0.45,13.0,35.2,0.37,26.9,54.2,0.5,20.4,26.2,0.78,11.0,37.7,48.7,23.7,7.6,4.8,15.7,20.5,113.1,26.9,22.0,21.0,21.0,22.0,-0.19,0.49,0.3,109.3,109.5,-0.2,103.0,0.25,0.43,0.57,0.54,13.1,17.2,0.19,0.52,13.5,Golden State Warriors
0,41.0,240.6,38.5,88.5,0.43,13.1,40.2,0.33,25.4,48.3,0.53,16.8,22.6,0.74,9.0,33.2,42.3,22.1,8.0,5.4,14.6,20.0,106.9,41.4,88.2,0.47,12.7,33.7,0.38,28.7,54.5,0.53,18.3,23.5,0.78,10.0,38.5,48.5,24.1,8.1,5.6,15.6,19.8,113.7,27.6,11.0,30.0,12.0,29.0,-6.88,-0.69,-7.57,105.0,111.7,-6.7,101.5,0.26,0.45,0.54,0.51,12.9,19.0,0.19,0.54,13.6,Houston Rockets
0,41.0,243.0,42.2,89.1,0.47,12.3,33.9,0.36,29.9,55.2,0.54,16.3,20.8,0.79,8.6,33.2,41.8,26.8,8.6,6.1,14.0,20.3,113.1,41.2,88.3,0.47,11.9,31.6,0.38,29.4,56.7,0.52,18.3,22.9,0.8,10.2,34.6,44.8,25.8,7.5,5.3,15.4,18.7,112.6,26.8,19.0,22.0,21.0,20.0,0.49,0.53,1.02,111.7,111.2,0.5,100.0,0.23,0.38,0.58,0.54,12.5,19.9,0.18,0.53,13.5,Indiana Pacers
0,43.0,240.6,38.9,85.9,0.45,10.6,28.4,0.37,28.3,57.5,0.49,16.3,21.3,0.77,10.4,35.6,46.0,20.9,6.9,4.6,13.6,20.6,104.7,37.7,85.2,0.44,12.1,36.3,0.34,25.5,48.9,0.52,17.3,22.5,0.77,9.3,34.3,43.6,22.8,6.8,5.7,12.3,18.3,104.8,25.1,21.0,22.0,21.0,22.0,-0.05,-0.59,-0.63,108.9,109.0,-0.1,95.9,0.25,0.33,0.55,0.51,12.5,23.2,0.19,0.51,11.5,New York Knicks
