Away, Away_Score, Home, Home_Score
New York Knicks, 112, Brooklyn Nets, 114
Utah Jazz, 103, Dallas Mavericks, 111
Sacramento Kings, 106, Minnesota Timberwolves, 116
Detroit Pistons, 132, Oklahoma City Thunder, 108
Cleveland Cavaliers, 125, San Antonio Spurs, 101
Washington Wizards, 101, Toronto Raptors, 103
Phoenix Suns, 133, Houston Rockets, 130
Chicago Bulls, 113, Indiana Pacers, 97
New Orleans Pelicans, 107, Atlanta Hawks, 123
Philadelphia 76ers, 106, Boston Celtics, 96
Los Angeles Lakers, 110, Toronto Raptors, 101
Memphis Grizzlies, 124, Miami Heat, 112
Detroit Pistons, 119, Denver Nuggets, 134
Milwaukee Bucks, 121, Golden State Warriors, 122
Portland Trail Blazers, 116, Los Angeles Clippers, 133
Minnesota Timberwolves, 137, Indiana Pacers, 141
Washington Wizards, 131, Orlando Magic, 116
New York Knicks, 99, Boston Celtics, 101
New Orleans Pelicans, 111, Brooklyn Nets, 139
Memphis Grizzlies, 131, Atlanta Hawks, 113
Dallas Mavericks, 93, Houston Rockets, 102
Charlotte Hornets, 113, Oklahoma City Thunder, 102
San Antonio Spurs, 96, Denver Nuggets, 106
Utah Jazz, 113, Phoenix Suns, 117
Los Angeles Lakers, 104, Miami Heat, 110
Chicago Bulls, 122, Toronto Raptors, 113
Cleveland Cavaliers, 129, Oklahoma City Thunder, 102
Milwaukee Bucks, 101, Dallas Mavericks, 116
Phoenix Suns, 103, Los Angeles Clippers, 113
Detroit Pistons, 113, Sacramento Kings, 101
Portland Trail Blazers, 103, Utah Jazz, 122
Indiana Pacers, 111, Orlando Magic, 106
Minnesota Timberwolves, 136, Boston Celtics, 145
Memphis Grizzlies, 129, New York Knicks, 133
Chicago Bulls, 108, Atlanta Hawks, 120
Philadelphia 76ers, 94, New Orleans Pelicans, 101
San Antonio Spurs, 119, Denver Nuggets, 121
Charlotte Hornets, 127, Milwaukee Bucks, 119
Washington Wizards, 110, Golden State Warriors, 107
Houston Rockets, 109, Los Angeles Clippers, 126
Toronto Raptors, 135, Cleveland Cavaliers, 115
Los Angeles Lakers, 126, Brooklyn Nets, 101
Philadelphia 76ers, 117, Oklahoma City Thunder, 93
Sacramento Kings, 112, Utah Jazz, 128
Houston Rockets, 109, Golden State Warriors, 125
Washington Wizards, 106, Phoenix Suns, 134
Detroit Pistons, 103, Portland Trail Blazers, 118
Atlanta Hawks, 105, Charlotte Hornets, 101
Boston Celtics, 105, Denver Nuggets, 87
New Orleans Pelicans, 116, Cleveland Cavaliers, 109
Milwaukee Bucks, 124, Orlando Magic, 87
San Antonio Spurs, 119, Dallas Mavericks, 117
Indiana Pacers, 132, Memphis Grizzlies, 125
Chicago Bulls, 117, Minnesota Timberwolves, 121
Toronto Raptors, 96, New York Knicks, 102
Detroit Pistons, 124, Los Angeles Clippers, 131
Miami Heat, 107, Portland Trail Blazers, 98
Philadelphia 76ers, 113, Dallas Mavericks, 95
Los Angeles Lakers, 96, New York Knicks, 111
San Antonio Spurs, 120, Orlando Magic, 97
Chicago Bulls, 90, Memphis Grizzlies, 101
Sacramento Kings, 110, New Orleans Pelicans, 117
Washington Wizards, 125, Utah Jazz, 121
Denver Nuggets, 107, Golden State Warriors, 116
Houston Rockets, 120, Phoenix Suns, 126
Brooklyn Nets, 127, Minnesota Timberwolves, 97
Los Angeles Clippers, 126, Indiana Pacers, 115
Atlanta Hawks, 108, Toronto Raptors, 103
Los Angeles Lakers, 101, Charlotte Hornets, 93
Oklahoma City Thunder, 96, Utah Jazz, 106
Miami Heat, 86, Phoenix Suns, 106
Boston Celtics, 116, Portland Trail Blazers, 115
Milwaukee Bucks, 130, Minnesota Timberwolves, 105
Cleveland Cavaliers, 103, Charlotte Hornets, 90
Brooklyn Nets, 117, Philadelphia 76ers, 123
San Antonio Spurs, 112, Toronto Raptors, 117
Orlando Magic, 115, Chicago Bulls, 106
Los Angeles Clippers, 100, Detroit Pistons, 98
New York Knicks, 116, New Orleans Pelicans, 106
Indiana Pacers, 132, Houston Rockets, 124
Golden State Warriors, 147, Oklahoma City Thunder, 109
Dallas Mavericks, 114, Memphis Grizzlies, 113
Miami Heat, 106, Denver Nuggets, 123
Washington Wizards, 123, Sacramento Kings, 111
Milwaukee Bucks, 120, Atlanta Hawks, 109
Golden State Warriors, 119, Cleveland Cavaliers, 101
Boston Celtics, 121, Los Angeles Lakers, 113
Sacramento Kings, 114, Phoenix Suns, 122
Indiana Pacers, 111, Utah Jazz, 119
Oklahoma City Thunder, 104, Detroit Pistons, 110
Los Angeles Clippers, 103, Philadelphia 76ers, 106
New Orleans Pelicans, 115, Washington Wizards, 117
Charlotte Hornets, 115, Brooklyn Nets, 130
Orlando Magic, 102, Toronto Raptors, 113
Memphis Grizzlies, 126, Chicago Bulls, 115
Denver Nuggets, 128, Houston Rockets, 99
Miami Heat, 111, Minnesota Timberwolves, 119
Portland Trail Blazers, 107, San Antonio Spurs, 106
New York Knicks, 117, Dallas Mavericks, 109
Utah Jazz, 115, Los Angeles Lakers, 127
Cleveland Cavaliers, 96, Chicago Bulls, 106
Detroit Pistons, 100, Washington Wizards, 121
Golden State Warriors, 114, Boston Celtics, 119
Memphis Grizzlies, 128, Milwaukee Bucks, 115
San Antonio Spurs, 111, Phoenix Suns, 85
Indiana Pacers, 117, Atlanta Hawks, 129
New Orleans Pelicans, 112, New York Knicks, 122
Brooklyn Nets, 107, Miami Heat, 109
Portland Trail Blazers, 101, Charlotte Hornets, 109
Houston Rockets, 114, Orlando Magic, 110
Oklahoma City Thunder, 106, Toronto Raptors, 112
Sacramento Kings, 121, Dallas Mavericks, 107
Minnesota Timberwolves, 105, Los Angeles Clippers, 124
Cleveland Cavaliers, 105, Detroit Pistons, 109
Chicago Bulls, 102, Boston Celtics, 96
Golden State Warriors, 107, Philadelphia 76ers, 96
San Antonio Spurs, 109, Indiana Pacers, 94
Houston Rockets, 91, Miami Heat, 113
Phoenix Suns, 128, Milwaukee Bucks, 127
Oklahoma City Thunder, 107, Washington Wizards, 119
Memphis Grizzlies, 137, Denver Nuggets, 139
Utah Jazz, 111, Los Angeles Lakers, 97
