Away, Away_Score, Home, Home_Score
Golden State Warriors, 99, Brooklyn Nets, 125
Los Angeles Clippers, 116, Los Angeles Lakers, 109
Charlotte Hornets, 114, Cleveland Cavaliers, 121
New York Knicks, 107, Indiana Pacers, 121
Miami Heat, 107, Orlando Magic, 113
Washington Wizards, 107, Philadelphia 76ers, 113
New Orleans Pelicans, 113, Toronto Raptors, 99
Milwaukee Bucks, 121, Boston Celtics, 122
Atlanta Hawks, 124, Chicago Bulls, 104
San Antonio Spurs, 131, Memphis Grizzlies, 119
Detroit Pistons, 101, Minnesota Timberwolves, 111
Sacramento Kings, 124, Denver Nuggets, 122
Utah Jazz, 120, Portland Trail Blazers, 100
Dallas Mavericks, 102, Phoenix Suns, 106
New Orleans Pelicans, 98, Miami Heat, 111
Golden State Warriors, 99, Milwaukee Bucks, 138
Brooklyn Nets, 123, Boston Celtics, 95
Dallas Mavericks, 115, Los Angeles Lakers, 138
Los Angeles Clippers, 121, Denver Nuggets, 108
Atlanta Hawks, 122, Memphis Grizzlies, 112
Oklahoma City Thunder, 109, Charlotte Hornets, 107
Cleveland Cavaliers, 128, Detroit Pistons, 119
Orlando Magic, 130, Washington Wizards, 120
Philadelphia 76ers, 109, New York Knicks, 89
Indiana Pacers, 125, Chicago Bulls, 106
Toronto Raptors, 114, San Antonio Spurs, 119
Minnesota Timberwolves, 116, Utah Jazz, 111
Houston Rockets, 126, Portland Trail Blazers, 128
Phoenix Suns, 103, Sacramento Kings, 106
Dallas Mavericks, 124, Los Angeles Clippers, 73
San Antonio Spurs, 95, New Orleans Pelicans, 98
Orlando Magic, 120, Washington Wizards, 113
Brooklyn Nets, 104, Charlotte Hornets, 106
Philadelphia 76ers, 94, Cleveland Cavaliers, 118
Milwaukee Bucks, 110, New York Knicks, 130
Boston Celtics, 107, Indiana Pacers, 108
Golden State Warriors, 129, Chicago Bulls, 128
Phoenix Suns, 116, Sacramento Kings, 100
Minnesota Timberwolves, 91, Los Angeles Lakers, 127
Memphis Grizzlies, 116, Brooklyn Nets, 111
Detroit Pistons, 120, Atlanta Hawks, 128
Utah Jazz, 110, Oklahoma City Thunder, 109
Houston Rockets, 111, Denver Nuggets, 124
Portland Trail Blazers, 115, Los Angeles Lakers, 107
New York Knicks, 95, Cleveland Cavaliers, 86
Golden State Warriors, 116, Detroit Pistons, 106
Boston Celtics, 116, Indiana Pacers, 111
Chicago Bulls, 115, Washington Wizards, 107
Toronto Raptors, 93, Philadelphia 76ers, 100
Milwaukee Bucks, 144, Miami Heat, 97
Orlando Magic, 118, Oklahoma City Thunder, 107
New Orleans Pelicans, 86, Phoenix Suns, 111
Denver Nuggets, 115, Sacramento Kings, 125
Minnesota Timberwolves, 101, Los Angeles Clippers, 124
Milwaukee Bucks, 108, Miami Heat, 119
Atlanta Hawks, 141, Brooklyn Nets, 145
Memphis Grizzlies, 107, Boston Celtics, 126
Charlotte Hornets, 118, Dallas Mavericks, 99
Los Angeles Lakers, 121, San Antonio Spurs, 107
Portland Trail Blazers, 105, Los Angeles Clippers, 128
Cleveland Cavaliers, 99, Indiana Pacers, 119
Chicago Bulls, 133, Washington Wizards, 130
Philadelphia 76ers, 116, Orlando Magic, 92
Sacramento Kings, 119, Houston Rockets, 122
New York Knicks, 83, Toronto Raptors, 100
New Orleans Pelicans, 113, Oklahoma City Thunder, 80
Phoenix Suns, 106, Utah Jazz, 95
